DateTime,AddedIPs,RemovedIPs
1591963838,2,1
1591967447,1,2
1591971044,2,2
1591974648,2,1
1591978230,1,2
1591981839,1,2
1591985444,1,1
1591989051,1,1
1591996244,0,1
1591999850,1,2
1592003442,2,1
1592007054,1,0
1592010668,2,1
1592014262,2,2
1592017855,1,2
1592021460,0,2
1592025061,0,2
1592028659,1,0
1592032248,1,0
1592036000,2,1
1592043061,1,2
1592046660,2,1
1592050263,1,1
1592053861,1,1
1592057468,1,1
1592061078,1,1
1592064672,0,1
1592071871,1,2
1592075479,0,1
1592079064,1,1
1592082680,2,1
1592089925,1,1
1592093550,3,1
1592097285,1,1
1592100935,1,0
1592104573,0,2
1592108166,0,2
1592111808,0,1
1592115487,1,0
1592126423,1,0
1592136892,1,1
1592140498,1,0
1592144028,2,0
1592147614,1,1
1592151273,1,1
1592154906,2,1
1592158458,1,2
1592162088,1,2
1592165643,0,2
1592169259,1,1
1592172907,0,1
1592176520,1,0
1592180112,2,0
1592183677,1,1
1592187331,2,1
1592190923,1,2
1592194496,2,2
1592198117,1,0
1592201655,2,2
1592205305,1,2
1592208923,1,1
1592212521,2,1
1592216082,1,1
1592219664,2,1
1592226902,2,2
1592230848,2,2
1592234118,1,2
1592237730,2,2
1592241292,2,1
1592244912,1,2
1592248485,0,2
1592259325,0,2
1592262913,1,1
1592270130,2,0
1592273764,1,1
1592277466,3,1
1592281385,1,0
1592285547,1,2
1592288147,1,2
1592295331,0,1
1592298992,1,0
1592302774,1,1
1592306559,2,1
1592309802,1,1
1592313362,1,2
1592317031,1,1
1592320568,2,1
1592324321,1,1
1592328182,1,2
1592331671,0,1
1592335298,0,2
1592338877,2,0
1592342619,2,1
1592346070,1,1
1592349919,3,2
1592353601,0,1
1592357436,1,1
1592360767,1,2
1592364552,2,0
1592368116,1,2
1592371882,1,1
1592375635,2,2
1592379274,1,1
1592385864,1,1
1592389237,1,1
1592392663,2,0
1592396604,1,2
1592400229,2,1
1592403895,2,2
1592407497,2,2
1592410989,2,2
1592414286,1,2
1592418192,0,2
1592421916,1,1
1592425663,2,1
1592429138,2,1
1592433255,1,1
1592436586,1,2
1592440258,0,1
1592443811,1,2
1592447351,2,0
1592451015,2,1
1592454346,2,2
1592457903,0,1
1592461557,2,2
1592465420,1,2
1592468935,1,0
1592472593,1,2
1592476354,2,1
1592479869,1,1
1592483667,1,2
1592486725,1,1
1592490746,2,1
1592493643,2,1
1592497562,0,2
1592501418,1,2
1592504905,1,0
1592508355,2,1
1592511842,1,1
1592515850,2,2
1592518988,1,2
1592523081,3,1
1592525233,1,2
1592528708,0,1
1592532324,2,4
1592535932,2,20
1592539536,8,2
1592543145,4,5
1592546740,8,4
1592550340,5,2
1592553932,5,3
1592557548,2,6
1592561148,5,3
1592564741,3,4
1592568353,3,3
1592571957,3,3
1592575555,2,6
1592579151,4,0
1592582747,1,4
1592586356,5,4
1592587677,10,3
1592589964,2,1
