DateTime,AddedIPs,RemovedIPs
1591856504,0,1
1591860040,1,1
1591863663,0,1
1591867261,1,0
1591870848,1,1
1591874664,1,0
1591878183,0,1
1591881918,1,0
1591885386,1,1
1591888996,1,1
1591892630,0,1
1591896209,0,1
1591899933,1,1
1591911229,1,0
1591914828,1,1
1591918511,1,0
1591922255,0,1
1591926065,0,2
1591929853,1,1
1591937192,1,0
1591940985,1,0
1591944652,1,1
1591951731,0,1
1591955341,1,1
1591962547,1,1
1591966301,1,1
1591973512,1,1
1591977120,0,1
1591980663,1,0
1591987965,1,1
1591995218,0,1
1591998849,1,1
1592002442,1,0
1592009740,1,1
1592013481,1,1
1592017098,1,1
1592020568,0,1
1592024245,0,1
1592031683,1,3
1592035008,1,0
1592038885,0,1
1592042478,1,1
1592046035,1,1
1592053258,1,0
1592056841,1,1
1592060436,1,1
1592064067,0,1
1592067944,1,1
1592078752,1,1
1592082333,1,1
1592085892,1,0
1592089780,0,1
1592093297,1,1
1592097230,0,1
1592100850,1,0
1592104559,0,1
1592108202,0,1
1592126553,1,0
1592141524,1,1
1592144710,1,0
1592152063,0,1
1592155918,1,0
1592159515,1,1
1592166439,0,1
1592170089,1,1
1592191935,1,1
1592195542,1,1
1592199136,1,0
1592202828,1,1
1592206162,1,1
1592209664,0,1
1592217543,2,1
1592220659,2,1
1592224267,1,0
1592227994,1,0
1592231672,2,2
1592235611,2,2
1592238714,2,1
1592242411,1,2
1592246099,0,2
1592249710,0,1
1592275038,2,0
1592278255,1,1
1592283093,2,1
1592287535,1,2
1592297689,0,1
1592301397,2,0
1592305050,2,1
1592308426,1,1
1592312286,2,2
1592315994,1,1
1592319513,2,1
1592323873,2,2
1592327176,2,2
1592331635,0,2
1592335414,0,2
1592342236,1,0
1592346039,1,1
1592349622,2,0
1592353193,1,1
1592357186,1,1
1592361035,1,2
1592364503,1,1
1592367643,1,2
1592371589,1,0
1592375832,2,2
1592379518,2,0
1592383234,2,2
1592387029,2,1
1592390439,2,2
1592393825,1,2
1592397842,1,2
1592401124,1,2
1592404409,1,1
1592409062,1,1
1592412166,2,1
1592416339,0,1
1592419992,1,2
1592422570,1,2
1592430351,2,1
1592434764,2,1
1592442057,2,2
1592445272,1,2
1592448661,2,0
1592452174,1,1
1592456422,1,1
1592459618,1,2
1592462769,1,1
1592466849,2,1
1592470408,1,1
1592474843,1,0
1592477826,2,2
1592481403,2,2
1592485819,1,2
1592489455,2,2
1592492468,1,0
1592495909,0,1
1592499562,0,2
1592503298,1,0
1592506835,1,0
1592510564,0,2
1592514239,2,1
1592518238,2,1
1592523438,1,1
1592525790,1,0
1592529282,1,2
1592532953,0,2
1592536585,0,1
1592540228,2,0
1592543859,1,0
1592547433,3,2
1592551064,1,2
1592554666,2,1
1592558291,2,2
1592561919,1,1
1592565452,1,2
1592569139,2,1
1592572736,2,2
1592576373,1,1
1592579938,0,1
1592583578,2,1
1592587208,0,2
1592588471,0,1
1592590820,0,1
1592594305,1,0
1592598002,0,1
1592601665,2,0
1592605226,1,1
1592608831,2,0
1592612552,2,2
1592616202,2,1
1592619629,1,2
1592623341,1,0
1592626890,0,2
1592630619,0,1
1592634284,1,1
1592637804,2,1
1592641459,2,1
1592645080,0,1
1592648604,2,2
1592652285,2,1
1592655769,1,0
1592659507,1,1
1592663046,2,2
1592666719,0,2
1592670327,1,2
1592673902,1,2
1592681146,2,0
1592684753,1,0
1592688359,1,2
1592691956,1,1
1592695568,2,0
1592699169,2,2
1592702792,2,2
1592706365,2,2
1592710208,2,2
1592713573,1,2
1592717218,1,1
1592720807,0,2
1592724478,0,1
1592728026,2,1
1592731650,1,1
1592735433,2,0
1592738850,1,2
1592742666,1,1
1592746267,2,2
1592749815,2,0
1592753456,2,2
1592757073,1,2
1592760735,0,2
1592764279,0,2
1592767935,1,0
1592775125,2,0
1592778683,1,0
1592782280,1,1
1592786037,0,1
1592793153,2,2
1592800442,1,1
1592807672,1,0
1592814858,2,2
1592822002,2,1
1592829351,1,2
1592836409,2,2
1592843748,2,1
1592850964,2,2
1592865333,1,1
1592872540,1,2
1592879762,2,1
1592887043,0,1
1592894195,1,2
1592901466,2,0
1592908710,1,1
1592916004,2,1
1592923201,2,2
1592930331,1,2
1592937514,1,1
1592944627,2,2
1592951805,1,1
1592959137,1,2
1592966278,1,2
1592973568,2,0
1592980751,1,3
1592987960,2,2
1592995135,1,2
1593002380,2,2
1593009623,1,2
1593016826,0,1
1593024069,2,1
1593031241,2,2
1593038473,2,0
1593045734,1,2
1593052850,2,1
1593060062,1,2
1593067621,2,2
1593074579,0,2
1593081749,1,1
1593089052,1,1
1593096181,2,0
1593103437,2,2
1593110697,2,1
1593117895,2,2
1593125143,0,2
1593132372,2,2
1593139552,1,2
1593146912,2,0
1593154067,1,2
1593161139,2,1
1593168342,2,1
1593175526,1,1
1593182717,2,2
1593189888,1,2
1593197130,1,1
1593204322,2,2
1593211528,2,2
