DateTime,AddedIPs,RemovedIPs
1591266627,1,1
1591269975,1,1
1591274341,1,0
1591277805,1,1
1591281388,1,1
1591284398,0,1
1591292031,1,0
1591296240,1,1
1591303325,1,1
1591306845,0,1
1591310589,1,0
1591314096,1,1
1591320967,1,1
1591324897,1,1
1591328359,1,1
1591332184,0,1
1591335879,1,1
1591339014,0,1
1591342991,1,0
1591346919,1,0
1591350501,1,1
1591353817,1,1
1591356958,0,1
1591360510,1,0
1591364486,0,1
1591375545,2,1
1591379136,1,2
1591383928,1,1
1591388746,1,0
1591391152,1,1
1591393859,0,1
1591400949,1,1
1591404950,1,0
1591407318,1,1
1591411115,1,1
1591415639,1,1
1591420160,0,1
1591423730,0,1
1591427482,1,0
1591431084,1,0
1591434665,1,1
1591438285,0,1
1591445508,1,0
1591449109,1,1
1591452704,0,1
1591456328,1,1
1591460285,77,1
1591463954,1,0
1591467616,0,1
1591471171,0,60
1591474832,1,0
1591478824,1,1
1591486434,0,1
1591489438,1,0
1591493109,0,1
1591500874,13,0
1591504529,2,0
1591507568,1,0
1591510601,0,17
1591514512,1,1
1591518305,1,0
1591521456,0,1
1591525020,1,2
1591532348,1,0
1591535857,1,2
1591539469,1,0
1591543077,1,0
1591550340,0,1
1591554024,2,1
1591561136,1,2
1591564870,0,1
1591582969,1,0
1591586881,22,0
1591594155,0,1
1591597824,0,17
1591615267,0,1
1591636932,1,1
1591640762,1,0
1591647990,1,1
1591651769,0,1
1591659927,1,0
1591663420,1,0
1591666885,0,1
1591677525,0,1
1591681086,29,1
1591684891,3,0
1591689557,1,0
1591693690,0,19
1591695734,2,1
1591700054,0,2
1591704037,1,0
1591710377,1,0
1591714119,0,1
1591717591,1,1
1591721183,1,1
1591724771,1,1
1591728396,2,1
1591732094,0,1
1591738498,1,3
1591743037,2,1
1591749440,1,0
1591755229,16,7
1591762508,2,1
1591769726,2,1
1591776968,2,12
1591784197,2,0
1591791435,0,1
1591798647,0,2
1591805843,1,1
1591809444,2,3
1591813129,1,1
1591816718,1,1
1591820367,3,1
1591823979,0,2
1591827567,0,1
1591831231,1,1
1591834870,3,1
1591838450,3,1
1591842081,27,1
1591845677,0,1
1591849288,0,3
1591852866,2,27
1591860147,0,1
1591863784,1,0
1591867378,1,1
1591870963,1,0
1591874755,1,1
1591878324,0,1
1591881978,1,0
1591885523,1,1
1591889129,1,1
1591892736,0,1
1591896336,0,1
1591900035,0,1
1591907640,1,0
1591911300,1,0
1591914905,1,0
1591918540,0,1
1591922328,0,1
1591926117,1,1
1591929922,1,0
1591933592,1,0
1591937277,14,1
1591941031,4,2
1591944692,1,1
1591948219,0,8
1591951817,1,0
1591955420,1,0
1591959109,1,1
1591962622,1,1
1591966395,1,1
1591970082,0,1
1591973607,4,1
1591977214,0,1
1591984470,0,3
1591988062,0,1
1591998927,1,0
1592002523,1,0
1592013588,1,1
1592017210,0,1
1592024364,1,1
1592031929,15,0
1592039132,0,1
1592042711,0,12
1592049667,0,1
1592056950,1,0
1592082507,1,0
1592115745,1,1
1592119510,1,0
1592126738,9,0
1592138304,0,20
1592148835,0,1
1592152371,1,0
1592195870,0,1
1592199513,1,0
1592203171,0,1
1592206257,1,0
1592224486,17,0
1592228140,1,0
1592231764,0,1
1592235747,0,32
1592260549,1,0
1592275235,0,1
1592319666,26,0
1592331846,1,13
1592338791,4,0
1592342559,0,1
1592346286,1,0
1592349929,4,0
1592357457,4,1
1592361214,1,4
1592364707,4,4
1592368004,0,4
1592379732,4,0
1592387314,4,4
1592390755,1,0
1592394326,1,5
1592398094,4,0
1592401512,1,5
1592404842,4,1
1592409314,1,0
1592412612,1,5
1592416710,4,4
1592420335,0,1
1592423108,17,0
1592427676,1,1
1592430644,0,4
1592435332,5,22
1592437867,0,4
1592445783,4,2
1592448962,0,4
1592452616,1,1
1592460048,0,4
1592463268,0,1
1592467489,0,1
1592490227,4,0
1592492812,4,0
1592503585,0,4
1592507140,4,4
1592514857,4,0
1592518644,10,0
1592523708,0,4
1592525806,4,0
1592529300,13,19
1592532968,5,0
1592536603,1,0
1592540250,1,14
1592543882,5,1
1592547457,1,5
1592551090,1,1
1592554701,1,1
1592558317,1,1
1592561946,1,5
1592565481,1,1
1592569170,5,1
1592572767,5,1
1592576402,1,1
1592579971,1,5
1592583607,5,1
1592587227,1,1
1592588502,5,5
1592590840,1,1
1592594342,5,1
1592598026,1,5
1592601690,5,1
1592605246,1,5
1592608852,5,5
1592612588,5,5
1592616243,1,1
1592619651,16,1
1592623387,7,5
1592626929,5,1
1592630661,2,11
1592634318,5,5
1592637847,1,5
1592641502,1,5
1592645118,1,5
1592648646,5,1
1592652321,1,1
1592655814,1,1
1592659529,1,1
1592663092,1,1
1592666741,1,1
1592670348,5,1
1592673928,5,1
1592677578,1,5
1592681170,1,1
1592684776,1,5
1592688389,5,1
1592691981,5,5
1592695614,1,1
1592699212,1,5
1592702850,1,1
1592706398,5,1
1592710233,24,1
1592713626,1,6
1592717276,2,1
1592720867,1,24
1592724535,5,5
1592728085,2,1
1592731710,1,6
1592735459,2,1
1592738910,1,2
1592742714,6,1
1592746315,6,6
1592749842,2,1
1592753487,1,5
1592757135,5,2
1592760809,1,2
1592764353,5,1
1592768010,1,5
1592775197,2,1
1592778750,6,1
1592782352,2,6
1592786107,1,2
1592793227,2,6
1592800517,15,6
1592807727,2,1
1592814922,2,2
1592822086,2,23
1592829388,2,2
1592836492,2,2
1592843783,2,2
1592851027,1,2
1592858232,2,1
1592865365,1,2
1592872574,1,1
1592879847,2,1
1592887134,14,2
1592894285,2,2
1592901561,2,2
1592908806,2,14
1592916041,2,2
1592923240,1,2
1592930418,2,1
1592937608,2,2
1592944716,2,2
1592951905,1,8
1592959231,2,2
1592966379,2,1
1592973632,2,2
1592980827,19,1
1592988029,3,2
1592995223,1,3
1593002437,2,9
1593009659,2,1
1593016862,2,2
1593024157,2,2
1593031282,2,2
1593038575,2,2
1593045849,2,2
1593052907,2,2
1593060148,1,1
1593067717,24,2
1593074685,1,2
1593081868,1,2
1593089130,0,15
1593096280,1,1
1593103524,0,1
1593110740,2,0
1593117938,1,1
1593125183,0,1
1593132492,1,1
1593139618,0,1
1593147024,1,0
1593154190,19,0
1593161179,3,1
1593168383,1,1
1593175566,1,19
1593182756,2,2
1593189942,1,2
1593197169,0,1
1593204358,2,1
1593211564,1,4
1593218837,1,0
1593226181,1,1
1593233447,1,0
1593240390,3,1
1593247760,20,1
1593254910,1,1
1593262250,0,1
1593269469,0,19
1593305593,1,1
1593312647,0,2
1593320003,3,0
1593334574,13,0
1593356157,0,16
1593363376,0,1
1593377792,0,1
1593384986,1,0
1593407642,16,0
1593418589,0,11
1593422190,0,1
1593425830,0,2
1593432987,2,0
1593480085,11,0
1593490856,0,21
1593509047,0,2
1593548795,2,0
1593570496,15,0
1593573985,1,0
1593581325,1,25
1593595634,0,1
1593641585,1,4
1593649003,2,0
1593652705,13,0
1593656234,1,1
1593659873,1,2
1593663490,1,17
1593667088,1,2
1593670765,1,1
1593674338,1,1
1593681515,1,1
1593692364,1,1
1593699626,1,1
1593703217,0,1
1593706888,1,0
1593710512,1,1
1593717644,1,1
1593721306,1,1
1593725071,1,0
1593728522,1,1
1593732233,0,1
1593739521,20,2
1593742981,1,0
1593746621,1,0
1593750314,1,19
1593753875,1,1
1593757473,1,1
1593760968,0,1
1593764729,1,0
1593768207,0,1
1593771958,1,1
1593775487,1,0
1593779181,1,1
1593782758,1,1
1593786359,1,1
1593790133,1,1
1593793642,1,1
1593797243,1,1
1593800776,0,1
1593804417,1,0
1593807956,1,1
1593811720,1,1
1593815383,0,1
1593826229,1,0
1593829696,1,1
1593833427,20,1
1593840602,1,0
1593844312,1,1
1593847728,0,10
1593851510,1,1
1593855092,1,1
1593862338,1,2
1593869485,1,1
1593873084,1,1
1593876654,1,0
1593883862,1,1
1593887660,1,1
