DateTime,Entries,UniqueIPs
1593210841,29966,29966
1593212690,30094,30094
1593214594,30165,30165
1593216500,29968,29968
1593218412,30031,30031
1593220350,29262,29262
1593222252,28736,28736
1593224172,28356,28356
1593226110,27120,27120
1593228020,26390,26390
1593229927,25333,25333
1593231869,24276,24276
1593233796,24243,24243
1593235691,24238,24238
1593237651,24244,24244
1593239533,24208,24208
1593241698,24177,24177
1593243620,24358,24358
1593245554,24439,24439
1593247476,24525,24525
1593249377,24597,24597
1593251314,24470,24470
1593253228,24034,24034
1593255151,26411,26411
1593257052,28753,28753
1593258968,31855,31855
1593261182,33710,33710
1593263309,34436,34436
1593265211,35611,35611
1593267154,37167,37167
1593269051,39497,39497
1593270993,41193,41193
1593273174,41782,41782
1593275057,42561,42561
1593276972,43152,43152
1593278913,43659,43659
1593281788,46708,46708
1593283690,47935,47935
1593285608,48550,48550
1593287567,50333,50333
1593289450,50757,50757
1593291389,52649,52649
1593293286,54393,54393
1593296176,57029,57029
1593298096,58886,58886
1593300029,59967,59967
1593301959,61721,61721
1593303850,62664,62664
1593305794,64387,64387
1593307688,66034,66034
1593310584,68613,68613
1593312494,70275,70275
1593314429,70981,70981
1593316330,70938,70938
1593318252,70965,70965
1593320199,70933,70933
1593322091,71045,71045
1593324975,71087,71087
1593326913,71137,71137
1593328825,71069,71069
1593330731,70964,70964
1593332675,71053,71053
1593334570,71070,71070
1593336498,71418,71418
1593338457,71372,71372
1593340335,70709,70709
1593343233,67872,67872
1593345133,65731,65731
1593347061,64217,64217
1593348989,63704,63704
1593350888,62948,62948
1593353770,61729,61729
1593355954,59489,59489
1593357852,58046,58046
1593359793,57267,57267
1593361692,56313,56313
1593363658,55621,55621
1593365529,54867,54867
1593367472,52510,52510
1593369388,50716,50716
1593371303,50050,50050
1593373211,48336,48336
1593375160,47277,47277
1593377059,49280,49280
1593378978,47596,47596
1593380914,45958,45958
1593382812,44437,44437
1593384730,42796,42796
1593386683,41668,41668
1593388568,40054,40054
1593390490,39188,39188
1593392452,37619,37619
1593394335,36227,36227
1593396498,34469,34469
1593398413,32853,32853
1593400354,31468,31468
1593402249,30697,30697
1593404414,29737,29737
1593406348,28753,28753
1593408296,28007,28007
1593410166,26805,26805
1593412088,26064,26064
1593414057,26723,26723
1593415929,26686,26686
1593417865,26597,26597
1593419791,26623,26623
1593421700,26555,26555
1593423609,26623,26623
1593425556,26713,26713
1593427451,26471,26471
1593429395,26431,26431
1593431315,26443,26443
1593433208,26387,26387
1593435128,26060,26060
1593437071,26034,26034
1593438970,26053,26053
1593440884,26068,26068
1593442845,26135,26135
1593444736,25977,25977
1593446893,26007,26007
1593448809,26027,26027
1593450759,25944,25944
1593452651,26026,26026
1593454574,26385,26385
1593456524,26489,26489
1593458412,26598,26598
1593460329,26686,26686
1593462293,26611,26611
1593464169,24003,24003
1593466087,22367,22367
1593468972,22440,22440
1593470912,22510,22510
1593472813,22528,22528
1593474729,22561,22561
1593476673,22687,22687
1593478572,22740,22740
1593480732,22748,22748
1593482688,22763,22763
1593484596,22743,22743
1593486496,22895,22895
1593488414,22988,22988
1593490358,23072,23072
1593492253,23029,23029
1593494174,23075,23075
1593496132,23065,23065
1593498038,23109,23109
1593499927,23166,23166
1593501896,23201,23201
1593503773,23198,23198
1593505689,23245,23245
1593507650,23219,23219
1593509536,23243,23243
1593511772,23293,23293
1593513614,23312,23312
1593515554,23229,23229
1593517448,23167,23167
1593519373,23157,23157
1593521313,23146,23146
1593523209,23161,23161
1593525126,22748,22748
1593527072,22771,22771
1593529055,22773,22773
1593530913,22846,22846
1593532836,22921,22921
1593534758,23953,23953
1593536655,26109,26109
1593538603,27214,27214
1593540525,27977,27977
1593542412,28893,28893
1593544365,29797,29797
1593546274,29966,29966
1593548179,29967,29967
1593550120,29919,29919
1593552030,29909,29909
1593553927,30051,30051
1593556120,30324,30324
1593558972,30814,30814
1593560893,31139,31139
1593562858,31519,31519
1593564727,31937,31937
1593566651,32290,32290
1593568595,33251,33251
1593570492,33731,33731
1593572431,34397,34397
1593574353,34948,34948
1593576344,35552,35552
1593578191,36023,36023
1593580362,36607,36607
1593582267,36779,36779
1593584185,36884,36884
1593586121,36142,36142
1593588303,36708,36708
1593590211,37185,37185
1593592112,37572,37572
1593594974,38040,38040
1593596916,38102,38102
1593598808,38189,38189
1593600771,38506,38506
1593602684,39162,39162
1593604575,40150,40150
1593606647,40998,40998
1593608696,42209,42209
1593610575,43189,43189
1593612492,43977,43977
1593614436,44906,44906
1593616331,45669,45669
1593618280,46701,46701
1593620173,46743,46743
1593622115,46006,46006
1593624009,45295,45295
1593625927,44841,44841
1593627872,44436,44436
1593629770,43964,43964
1593631963,44004,44004
1593634809,44135,44135
1593636732,44234,44234
1593638673,46924,46924
1593640569,46793,46793
1593642509,46735,46735
1593645382,46545,46545
1593647294,46369,46369
1593649248,46165,46165
1593651143,45868,45868
1593653058,45636,45636
1593654993,45439,45439
1593656893,45460,45460
1593659774,45395,45395
1593661703,45369,45369
1593663623,45311,45311
1593665529,45256,45256
1593667450,45131,45131
1593669377,45075,45075
1593671309,45025,45025
1593674178,44809,44809
1593676100,44633,44633
1593678018,44420,44420
1593679938,44188,44188
1593681885,44120,44120
1593683774,44078,44078
1593685727,44080,44080
1593688583,43550,43550
1593690492,42831,42831
1593692439,42114,42114
1593694334,40941,40941
1593696254,39638,39638
1593698190,38491,38491
1593700086,37483,37483
1593702036,36339,36339
1593703954,35067,35067
1593705931,33867,33867
1593707797,33205,33205
1593709696,32574,32574
1593711613,31368,31368
1593713553,30983,30983
1593715448,30407,30407
1593717616,30426,30426
1593719543,30399,30399
1593721479,30410,30410
1593723369,30404,30404
1593725307,26631,26631
1593728174,26679,26679
1593730116,26732,26732
1593732010,26678,26678
