DateTime,AddedIPs,RemovedIPs
1593208836,6,1
1593210842,1,3
1593212709,4,1
1593214595,3,3
1593216501,1,9
1593218413,4,6
1593220351,2,42
1593222253,3,5
1593224173,0,3
1593226111,2,16
1593228026,2,11
1593229928,3,21
1593231869,2,14
1593233800,1,4
1593235691,3,2
1593237667,3,4
1593239535,2,2
1593241698,6,5
1593243633,4,1
1593245555,5,1
1593247481,3,1
1593249378,2,3
1593251314,1,3
1593253230,4,2
1593255152,456,3
1593257052,318,5
1593258968,649,4
1593261188,402,7
1593263315,138,6
1593265212,230,3
1593267154,348,4
1593269051,415,9
1593270994,366,4
1593273175,145,7
1593275059,149,4
1593276980,100,6
1593278914,133,2
1593281788,699,12
1593283738,440,10
1593285609,240,6
1593287569,574,8
1593289451,131,3
1593291389,681,4
1593293286,569,0
1593296176,976,4
1593298097,394,0
1593300030,249,3
1593301960,438,0
1593303851,147,2
1593305797,622,1
1593307689,430,2
1593310585,830,0
1593312495,507,0
1593314430,190,1
1593316331,2,1
1593318253,2,0
1593320215,2,0
1593322092,0,3
1593324065,1,0
1593325928,2,1
1593328108,1,4
1593330010,4,4
1593331952,23,7
1593333864,23,1
1593335770,55,2
1593337711,14,2
1593339607,2,3
1593341547,2,447
1593343449,1,306
1593345386,2,642
1593347286,0,373
1593350192,5,170
1593352094,29,227
1593354027,1,469
1593355961,1,349
1593357853,2,301
1593359793,0,123
1593361692,1,130
1593364570,3,149
1593366515,1,338
1593368422,2,501
1593370330,2,394
1593372268,0,286
1593374167,1,496
1593376085,34,152
1593379012,10,937
1593380915,6,696
1593382813,2,610
1593384730,1,345
1593386684,2,233
1593388569,2,462
1593390504,1,154
1593392470,3,604
1593394335,0,436
1593396499,1,626
1593398413,4,529
1593400354,1,300
1593402249,2,7
1593404415,3,13
1593406357,1,15
1593408296,2,13
1593410167,2,15
1593412089,6,12
1593414973,32,1
1593416916,2,5
1593418818,1,2
1593420728,4,2
1593422681,2,3
1593424567,4,3
1593426495,1,2
1593429399,4,73
1593431316,0,3
1593433208,2,21
1593435128,1,72
1593437071,2,41
1593438971,2,30
1593440884,3,1
1593442861,0,3
1593444736,1,3
1593446893,3,0
1593448809,2,2
1593450760,3,3
1593452651,2,0
1593454575,11,0
1593456525,4,4
1593458412,2,2
1593460329,1,3
1593462294,5,3
1593464170,2,36
1593466087,8,44
1593468973,2,3
1593470912,1,1
1593472813,4,1
1593474729,1,2
1593476673,3,3
1593478572,2,3
1593482702,1,3
1593484596,2,4
1593486496,0,2
1593488414,1,2
1593490359,3,2
1593492253,4,3
1593494174,0,4
1593496132,1,1
1593498039,4,3
1593499927,4,0
1593501899,5,0
1593503778,2,1
1593505689,3,4
1593507667,5,3
1593509537,3,2
1593511773,5,4
1593513614,3,2
1593515555,1,3
1593517449,0,3
1593519373,7,4
1593521313,5,0
1593523209,1,4
1593525126,2,3
1593527072,2,4
1593529055,1,1
1593530913,3,2
1593532863,0,3
1593534758,11,1
1593536674,25,3
1593538605,17,1
1593540526,15,6
1593542413,12,3
1593544365,10,1
1593546274,3,1
1593548179,2,3
1593550120,0,3
1593552034,4,0
1593553928,5,3
1593556120,5,1
1593558973,0,3
1593560894,1,2
1593562860,3,3
1593564727,4,2
1593566651,4,1
1593568595,9,1
1593570492,5,1
1593572449,12,1
1593574353,9,1
1593576357,6,0
1593578192,7,2
1593580364,12,1
1593582268,4,0
1593584193,1,0
1593586123,4,36
1593588312,11,3
1593590219,12,3
1593592114,9,1
1593594976,11,2
1593596916,2,2
1593598808,5,0
1593600772,6,0
1593602685,6,0
1593604581,21,4
1593606648,12,4
1593608699,27,2
1593610575,15,1
1593612493,10,1
1593614437,9,1
1593616332,7,1
1593618282,11,0
1593620179,3,0
1593622115,4,11
1593624009,0,12
1593625927,2,10
1593627873,1,8
1593629771,1,8
1593631968,1,0
1593634810,1,4
1593636732,4,0
1593638673,43,2
1593640569,1,5
1593642509,3,7
1593645383,3,2
1593647294,1,1
1593649249,3,1
1593651144,1,5
1593653058,1,2
1593654994,1,4
1593656894,1,0
1593659801,2,5
1593661705,2,0
1593663624,1,0
1593665530,1,1
1593667451,1,6
1593669378,2,1
1593671309,2,1
1593673242,0,5
1593675149,1,3
1593677075,0,2
1593678990,1,1
1593680894,5,0
1593682808,1,2
1593685000,0,5
1593686892,2,2
1593688829,2,8
1593690730,4,16
1593692648,3,11
1593694593,2,22
1593696509,2,18
1593698427,7,13
1593700351,2,9
1593702278,3,10
1593704166,4,11
1593706363,3,14
1593708251,1,7
1593710172,2,16
1593712118,2,19
1593714013,8,10
1593715930,3,6
1593717876,4,2
1593719765,3,2
1593721685,5,5
1593724817,2,39
1593726725,3,23
1593728671,5,1
1593730566,3,4
1593732494,6,1
1593734485,2,4
1593736331,1,1
1593738516,2,1
1593740408,3,2
1593742355,3,4
1593744251,2,2
1593746205,2,2
1593748089,7,2
1593750046,2,1
1593751926,1,2
1593753746,1,1
1593755793,5,3
1593757688,4,3
1593760580,5,1
1593762490,1,1
1593764438,1,2
1593766345,2,3
1593768254,1,6
1593770197,4,4
1593772090,3,2
1593774977,2,1
1593776893,3,5
1593778837,2,5
1593780728,5,3
1593782655,5,3
1593784594,4,6
1593786493,4,2
1593788428,2,3
1593790355,4,5
1593792289,2,4
1593794169,3,2
1593796119,2,4
1593798017,4,1
1593799984,3,6
1593801847,1,5
1593803772,4,1
1593805722,1,3
1593807631,0,5
1593809529,4,2
1593811474,0,2
1593813373,3,1
