DateTime,AddedIPs,RemovedIPs
1592605949,2,0
1592607870,1,1
1592609768,1,1
1592613609,0,2
1592615530,1,0
1592619373,2,1
1592630888,1,0
1592633801,1,1
1592635694,0,1
1592637640,1,0
1592641453,1,0
1592643379,0,2
1592645311,1,0
1592652031,4,0
1592653929,0,1
1592663809,2,0
1592665971,2,1
1592671688,1,0
1592673610,0,2
1592675551,13,1
1592677450,30,0
1592681309,1,0
1592683270,3,0
1592685151,0,1
1592689214,1,1
1592691131,11,0
1592693071,1,1
1592694975,0,2
1592700728,0,1
1592704602,3,0
1592706512,0,2
1592716085,0,1
1592719953,0,1
1592721851,1,0
1592723772,0,1
1592727609,0,1
1592731472,1,1
1592735286,1,0
1592738196,1,4
1592740108,1,0
1592747769,1,0
1592749710,0,2
1592751680,0,1
1592753556,0,1
1592758346,0,1
1592762218,2,1
1592764106,3,0
1592766970,1,1
1592768911,0,3
1592770807,1,0
1592774672,0,1
1592776578,0,53
1592781375,1,1
1592785213,1,0
1592789093,1,0
1592790982,0,3
1592797927,1,0
1592803688,1,0
1592806595,1,0
1592808494,0,1
1592810444,1,0
1592812352,1,0
1592814256,1,0
1592816174,1,0
1592818091,0,1
1592821955,0,1
1592823868,0,1
1592825772,1,0
1592827816,1,1
1592829868,1,0
1592833686,1,0
1592835634,1,1
1592837538,1,0
1592847157,1,0
1592849130,0,2
1592850972,1,4
1592854811,1,0
1592856734,1,0
1592858683,0,1
1592860581,1,0
1592862491,3,0
1592864414,4,0
1592866349,0,1
1592870170,1,0
1592872134,1,1
1592874993,0,1
1592882678,1,1
1592886734,1,0
1592888898,1,0
1592890836,1,1
1592892985,1,1
1592894966,1,0
1592896819,2,1
1592898758,0,1
1592900693,0,1
1592902596,0,1
1592904490,1,0
1592908354,1,0
1592912168,0,1
1592914198,1,1
1592916010,2,1
1592919852,2,1
1592921781,0,1
1592923721,1,0
1592925608,2,1
1592927528,2,0
1592929475,1,0
1592931369,1,0
1592933286,0,1
1592935404,2,0
1592937369,0,1
1592939556,0,1
1592943395,0,1
1592947229,1,2
1592949130,1,3
1592951070,0,3
1592952992,1,0
1592956900,0,1
1592958753,1,1
1592968591,0,1
1592972454,0,1
1592974335,1,1
1592976253,0,1
1592978222,1,0
1592980089,1,1
1592983232,0,3
1592985128,1,0
1592987052,1,0
1592990889,0,1
1592993779,1,0
1592995693,0,1
1592999528,1,0
1593001452,0,3
1593005551,1,2
1593009392,2,1
1593013208,0,2
1593015153,0,3
1593018972,1,1
1593020946,2,1
1593022832,1,1
1593030486,1,0
1593032459,0,1
1593034355,1,0
1593036268,0,1
1593038171,1,0
1593040114,2,1
1593042007,2,0
1593044176,0,1
1593049926,1,0
1593053772,2,0
1593055686,2,0
1593057643,4,0
1593059529,5,0
1593061455,1,1
1593063392,0,1
1593067238,0,1
1593071077,0,1
1593072977,0,1
1593076829,1,0
1593078727,1,1
1593080678,1,0
1593082592,1,0
