DateTime,AddedIPs,RemovedIPs
1590971055,0,2
1590972983,1,1
1590976896,0,1
1590978732,0,2
1590982585,4,2
1590986658,1,0
1590990507,0,1
1590992486,0,2
1591000092,0,1
1591002974,0,4
1591012573,0,1
1591014504,0,1
1591024332,0,1
1591026267,0,1
1591028173,0,3
1591035851,1,0
1591037785,0,3
1591041712,0,2
1591043557,0,2
1591058889,1,1
1591068488,0,2
1591070527,0,2
1591074260,0,1
1591087930,1,0
1591093687,1,0
1591100659,1,0
1591116968,1,0
1591118887,1,0
1591121833,0,1
1591133533,1,0
1591137498,6,0
1591139321,4,0
1591141215,1,0
1591145100,0,1
1591150815,3,0
1591152746,1,0
1591158741,2,0
1591170256,4,0
1591172169,1,0
1591176029,0,1
1591179873,0,1
1591186106,0,1
1591191855,1,0
1591203372,3,1
1591205313,0,1
1591219693,1,1
1591223548,1,0
1591225702,0,10
1591227611,0,1
1591237221,0,3
1591239139,0,1
1591244892,0,2
1591246955,1,0
1591256691,0,4
1591258569,0,1
1591278732,0,1
1591289290,0,3
1591306814,0,1
1591310663,0,1
1591316419,1,0
1591324092,1,0
1591326976,1,0
1591328909,30,0
1591332727,0,1
1591373058,1,0
1591396089,1,0
1591399070,1,0
1591402821,0,1
1591411466,0,1
1591413390,1,1
1591415295,0,30
1591428016,1,0
1591444569,1,0
1591459971,0,1
1591478167,1,0
1591482011,0,1
1591485863,0,1
1591489689,1,0
1591500277,0,1
1591513944,0,1
1591523536,1,0
1591531291,0,1
1591562423,0,1
1591576089,0,1
1591593371,1,0
1591599154,1,0
1591608979,0,1
1591636336,1,0
1591638266,7,0
1591645932,1,0
1591653940,2,0
1591678972,0,1
1591684830,0,1
1591723685,0,3
1591725681,0,5
1591733541,0,1
1591739771,0,1
1591751772,2,1
1591757533,1,0
1591759456,1,0
1591775782,1,0
1591777695,1,0
1591791140,1,0
1591819294,2,0
1591834671,1,0
1591838422,0,2
1591840335,41,0
1591844189,0,1
1591846089,0,1
1591862696,0,2
1591878010,1,1
1591890249,5,0
1591892179,2,0
1591897988,2,0
1591899853,2,0
1591901787,1,0
1591906579,1,2
1591920975,2,0
1591922907,0,1
1591926731,0,41
1591939468,1,0
1591964667,0,1
1591966573,1,0
1591977145,0,7
1591985773,0,4
1591987711,1,1
1591993448,0,1
1592000421,1,0
1592006180,1,2
1592010045,1,0
1592025864,0,1
1592029692,1,0
1592033567,4,0
1592052734,0,1
1592074903,0,1
1592078658,2,0
1592080585,2,0
1592082494,2,0
1592086354,0,1
1592094016,0,1
1592096122,0,1
1592115611,0,1
1592121369,1,4
1592143961,1,0
1592145855,1,0
1592149747,4,0
1592151618,1,0
1592161452,2,0
1592165304,0,2
1592167211,0,3
1592169149,0,1
1592184509,1,0
1592195054,1,0
1592200957,1,0
1592206812,0,1
1592226152,3,0
1592227953,2,0
1592231783,0,2
1592235628,2,3
1592237778,3,2
1592247412,0,1
1592249291,0,1
1592260810,1,0
1592264667,1,0
1592270555,4,1
1592272588,1,0
1592281227,0,1
1592283154,1,0
1592286988,1,1
1592302387,1,0
1592311935,0,2
1592313870,0,3
1592321818,0,2
1592323703,0,2
1592325612,0,1
1592331370,3,0
1592333290,4,0
1592339051,1,0
1592347700,0,1
1592349627,4,1
1592351530,3,0
1592353480,1,0
1592355372,0,1
1592357322,1,4
1592361394,1,0
1592371003,0,1
1592372936,0,1
1592374810,1,0
1592385638,1,0
1592389455,0,1
1592393292,1,0
1592407689,2,0
1592412732,1,0
1592414679,1,0
1592416591,1,3
1592420501,0,4
1592422337,1,0
1592426198,1,1
1592430283,5,0
1592436039,0,4
1592437933,0,3
1592439854,0,1
1592443689,0,1
1592447549,0,1
1592461214,0,1
1592465068,1,0
1592471771,0,1
1592479472,0,1
1592483303,1,0
1592487131,2,0
1592493155,0,1
1592495052,0,1
1592498904,1,1
1592500813,0,1
1592502736,0,1
1592508513,1,1
1592511369,1,1
1592517138,0,5
1592519147,1,0
1592520971,1,0
1592522888,1,0
1592526969,1,0
1592540668,1,0
1592544485,3,0
1592551229,0,1
1592566569,1,0
1592570417,0,1
1592572334,0,2
1592583852,0,1
1592592500,1,0
1592594429,0,1
1592598251,0,1
1592605950,0,2
1592609768,12,1
1592611738,11,0
1592613609,0,1
1592621313,1,0
1592627075,2,1
1592630889,0,3
1592652031,0,1
1592657768,1,0
1592679374,0,1
1592696898,1,12
1592698838,0,11
1592706513,0,1
1592714192,0,2
1592721852,1,0
1592743964,0,1
1592749710,1,0
1592756430,1,0
1592783314,0,1
1592802506,1,0
1592806595,2,0
1592808494,0,1
1592810444,1,0
1592812353,1,0
1592835634,0,1
1592843291,0,1
1592850043,1,0
1592851935,1,0
1592889611,1,1
1592891554,0,1
1592893755,0,1
