DateTime,AddedIPs,RemovedIPs
1591969941,1,0
1591973772,0,1
1591979598,1,0
1591983375,0,3
1591985307,1,0
1591989131,1,0
1591992978,1,0
1591996870,2,0
1591998735,0,1
1592002584,0,1
1592010500,1,1
1592012409,0,1
1592025865,0,2
1592031767,0,1
1592037372,1,0
1592039321,0,1
1592043137,0,1
1592054654,1,0
1592056586,0,1
1592062333,1,0
1592066186,0,1
1592071945,1,1
1592075777,1,1
1592077714,1,0
1592079612,1,1
1592081575,0,1
1592083466,1,1
1592085408,1,0
1592087294,1,0
1592094987,0,1
1592098832,1,0
1592102655,1,0
1592104576,1,0
1592110336,1,0
1592123084,0,1
1592124972,1,0
1592138658,1,0
1592140678,1,1
1592143016,1,0
1592147772,0,1
1592151620,1,0
1592157402,2,0
1592159292,1,1
1592163385,0,2
1592165306,0,1
1592169152,1,1
1592172977,0,2
1592184511,1,0
1592187386,1,1
1592189323,0,1
1592191213,0,1
1592196971,0,1
1592198908,1,0
1592210693,0,1
1592220252,1,0
1592222195,1,0
1592226189,2,2
1592228172,1,1
1592232014,1,0
1592234573,2,0
1592236614,1,0
1592238495,0,1
1592243535,0,1
1592245454,0,2
1592247414,1,0
1592249293,1,0
1592252432,4,0
1592254330,0,1
1592258186,1,0
1592260087,2,0
1592265851,2,0
1592267837,1,0
1592269705,0,1
1592271609,1,0
1592273774,0,1
1592277630,2,0
1592281456,1,0
1592285289,0,1
1592296112,1,0
1592306672,0,1
1592308574,0,1
1592310811,0,2
1592314819,0,1
1592316759,1,0
1592318695,0,2
1592322529,0,2
1592324421,1,0
1592328272,1,0
1592332416,1,0
1592334323,0,2
1592336178,0,1
1592338109,1,3
1592343871,0,1
1592345792,0,1
1592347703,0,1
1592351558,0,1
1592353484,0,2
1592357324,1,0
1592359416,0,1
1592361398,2,0
1592363299,0,1
1592365214,0,1
1592367160,1,1
1592369065,2,0
1592380583,1,0
1592382533,0,1
1592386569,1,0
1592390439,1,0
1592400014,1,0
1592401955,1,1
1592405793,1,0
1592410820,0,1
1592412735,1,0
1592414681,1,1
1592416593,1,0
1592418492,0,1
1592424492,0,1
1592438203,1,0
1592444888,0,1
1592446831,2,0
1592448753,0,2
1592452587,0,1
1592454493,0,2
1592462192,1,0
1592464103,1,0
1592467962,0,1
1592469854,1,0
1592473709,1,1
1592475672,1,1
1592485284,2,1
1592487132,0,1
1592491215,1,1
1592496969,1,0
1592498904,0,1
1592500814,1,1
1592502737,1,1
1592517139,1,0
1592522889,1,0
1592524983,0,1
1592529179,2,0
1592533069,1,2
1592536811,1,0
1592542606,2,0
1592544486,1,0
1592548351,0,1
1592550274,1,0
1592552170,0,1
1592554112,1,0
1592556010,0,1
1592559872,0,1
1592561775,1,1
1592571389,0,2
1592577174,0,1
1592582911,0,1
1592588675,0,2
1592592501,1,0
1592594430,1,0
1592605952,1,1
1592607873,2,0
1592609770,0,1
1592615533,1,2
1592619403,0,1
1592621315,1,0
1592623210,1,1
1592628977,0,1
1592630891,0,2
1592636675,0,1
1592640738,0,1
1592642651,1,0
1592648451,0,1
1592652249,1,0
1592656120,1,0
1592658105,1,0
1592660511,1,0
1592668579,1,0
1592670509,1,0
1592673394,2,0
1592677233,1,0
1592679151,1,1
1592681051,0,1
