DateTime,AddedIPs,RemovedIPs
1593208092,2,1
1593210049,5,3
1593211937,2,2
1593213870,1,14
1593217689,2,11
1593219713,2,0
1593221543,2,0
1593223501,2,3
1593225389,0,2
1593227317,1,0
1593229215,3,0
1593231152,3,2
1593233055,6,1
1593234973,2,1
1593236917,0,3
1593238810,7,1
1593240729,1,1
1593242724,1,4
1593244573,1,1
1593246491,1,1
1593248513,4,0
1593250331,5,1
1593252576,3,3
1593254429,4,4
1593256333,2,2
1593258250,5,3
1593260206,3,2
1593262148,3,6
1593264048,2,2
1593265971,4,4
1593267852,2,0
1593269777,3,8
1593271741,1,1
1593274594,2,3
1593276498,3,3
1593278429,2,1
1593280348,5,3
1593282254,4,0
1593284181,4,3
1593286131,6,2
1593289026,3,6
1593290893,1,2
1593292840,2,5
1593294730,3,2
1593296653,5,5
1593298599,0,3
1593300491,3,0
1593302484,1,0
1593304412,1,3
1593306282,2,1
1593308170,1,2
1593310111,1,2
1593312015,2,1
1593313930,2,0
1593315870,2,3
1593317886,6,4
1593319695,1,5
1593321630,3,2
1593323532,2,1
1593325482,3,6
1593327371,4,1
1593329392,4,2
1593331260,7,0
1593333142,4,2
1593335316,3,4
1593337210,1,6
1593339414,2,3
1593341306,4,3
1593343237,2,3
1593345165,3,5
1593347079,5,2
1593349015,2,2
1593350891,2,1
1593353773,6,7
1593355966,3,2
1593357867,3,1
1593359797,4,1
1593361696,2,4
1593364808,7,2
1593366732,4,5
1593368675,4,4
1593370569,5,4
1593372493,4,3
1593375375,3,6
1593377314,3,1
1593379208,2,2
1593381129,7,3
1593383073,3,5
1593384971,1,0
1593386890,3,3
1593388948,1,1
1593390993,0,1
1593392892,0,2
1593394811,2,1
1593396752,5,0
1593398671,0,2
1593400586,2,2
1593402514,1,3
1593404418,1,5
1593406374,1,1
1593408299,2,3
1593410171,5,3
1593412094,2,2
1593414182,1,5
1593415985,5,3
1593417923,3,8
1593419796,3,2
1593421707,2,4
1593423613,0,2
1593425559,3,0
1593427455,3,4
1593429404,6,4
1593431319,4,3
1593433217,4,4
1593435132,3,3
1593437074,2,2
1593438976,2,2
1593440888,3,4
1593443006,4,4
1593444988,2,4
1593446896,6,3
1593448843,8,4
1593450763,2,5
1593452671,3,2
1593454579,3,5
1593456548,2,5
1593458416,1,3
1593460332,4,1
1593462343,4,4
1593464173,1,2
1593466090,2,4
1593468976,4,8
1593470916,2,2
1593472827,0,1
1593474733,6,2
1593476677,1,1
1593480737,1,2
1593482757,2,5
1593484600,2,0
1593486500,1,1
