DateTime,AddedIPs,RemovedIPs
1593040115,0,2
1593042009,1,0
1593044179,1,0
1593046095,1,1
1593048033,0,1
1593049930,0,1
1593051879,1,1
1593053775,3,0
1593055689,3,2
1593057752,0,1
1593059795,2,0
1593061698,1,0
1593063612,2,3
1593065806,0,2
1593067719,1,3
1593069616,2,0
1593071574,0,1
1593073455,0,2
1593075400,1,2
1593077291,1,0
1593079321,2,4
1593081156,0,2
1593083075,2,0
1593084975,1,2
1593086925,0,2
1593088813,1,1
1593090733,2,1
1593092681,1,1
1593096498,1,1
1593100334,1,2
1593102256,1,0
1593104238,1,2
1593106403,2,0
1593108312,2,1
1593112100,1,0
1593114016,3,1
1593115958,2,1
1593117854,1,0
1593119790,1,1
1593121723,6,3
1593123617,1,1
1593125534,3,0
1593127474,0,3
1593131292,2,0
1593133319,1,1
1593137096,1,2
1593138990,6,1
1593140904,0,1
1593142814,2,0
1593145005,4,2
1593146895,1,4
1593148853,2,1
1593150734,0,2
1593152655,1,0
1593154592,0,1
1593156493,0,3
1593159381,1,2
1593161292,2,2
1593163245,1,0
1593165132,1,2
1593167052,0,1
1593168995,0,1
1593170895,0,1
1593174755,2,1
1593176693,1,2
1593181069,2,0
1593182966,0,2
1593186829,1,1
1593188754,1,1
1593190584,0,2
1593192536,1,2
1593195607,0,1
1593197608,1,1
1593199515,1,1
1593201401,0,4
1593203288,3,1
1593206182,1,1
1593208093,0,4
1593210050,1,2
1593211939,2,3
1593215772,2,0
1593217690,0,2
1593219777,1,2
1593221788,2,0
1593223723,0,3
1593225614,1,5
1593227549,2,0
1593229448,0,1
1593231616,2,4
1593233570,1,1
1593235470,1,1
1593237368,1,1
1593239288,1,2
1593241351,1,0
1593243392,1,0
1593245289,1,1
1593247247,3,2
1593249152,1,0
1593251052,1,1
1593253002,3,2
1593260742,2,0
1593262901,1,2
1593264785,3,0
1593268573,0,3
1593270498,2,0
1593272432,3,2
1593276262,1,1
1593278193,1,1
1593280092,3,0
1593282009,2,0
1593285851,1,0
1593287805,2,0
1593289691,0,3
1593291707,0,2
1593293570,1,0
1593295794,2,1
1593297610,0,1
1593299530,0,1
1593301490,0,2
1593305296,0,2
1593307231,2,1
1593309133,2,1
1593312989,3,1
1593314904,2,2
1593317887,0,1
1593321631,0,1
1593323533,0,1
1593327372,1,0
1593329427,0,2
1593332410,1,3
1593334330,1,0
1593336281,2,2
1593338169,1,2
1593340130,2,2
1593342108,3,0
1593343953,1,0
1593346152,0,1
1593348017,0,1
1593351874,3,3
1593355968,3,1
1593359798,1,2
1593361697,1,1
1593363800,1,0
1593365788,2,3
1593367720,2,1
1593371549,1,1
1593373453,4,2
1593377315,1,0
1593379209,1,1
1593381129,1,1
1593383075,1,3
1593388974,1,0
1593390995,1,0
1593392893,1,0
1593394812,1,2
1593396753,0,1
1593398675,1,1
1593400587,0,2
1593402515,2,0
1593404419,3,0
1593406375,3,0
1593408300,0,1
1593412096,1,1
1593414195,4,1
1593416214,0,1
1593418364,0,1
1593420255,2,1
1593422176,1,2
