DateTime,AddedIPs,RemovedIPs
1593053778,1,1
1593055691,3,1
1593057866,0,30
1593059829,2,0
1593061701,0,1
1593063614,1,1
1593065809,0,4
1593067729,1,1
1593069622,0,1
1593073484,0,1
1593075403,2,1
1593077295,1,0
1593079446,0,1
1593081368,2,1
1593083331,1,1
1593085283,1,3
1593087128,0,4
1593089108,1,0
1593090975,2,0
1593093154,1,0
1593095057,1,0
1593097002,1,2
1593098891,1,4
1593102044,3,2
1593104240,0,2
1593106404,0,1
1593108318,1,2
1593110195,2,2
1593112101,0,1
1593114017,1,1
1593115960,6,3
1593117856,0,2
1593119791,0,5
1593123618,2,2
1593127524,1,2
1593129375,4,1
1593131294,3,0
1593133364,0,1
1593135389,2,1
1593139215,1,0
1593141151,1,1
1593143053,1,1
1593145006,0,1
1593146910,1,0
1593148855,1,1
1593152657,1,0
1593154593,1,3
1593159635,2,0
1593161533,0,1
1593163456,0,3
1593167290,1,3
1593169284,1,2
1593171156,0,1
1593173068,1,0
1593174971,1,2
1593178003,1,4
1593179889,1,3
1593182092,2,1
1593184004,4,0
1593185931,0,2
1593187808,2,2
1593189911,2,0
1593191925,1,1
1593193878,2,2
1593195755,2,1
1593197611,1,1
1593199575,1,1
1593201426,1,4
1593203290,1,2
1593206185,28,0
1593208141,1,0
1593210072,2,1
1593213876,2,1
1593215775,2,2
1593217696,2,1
1593219795,1,1
1593221791,1,2
1593223753,1,0
1593225617,0,1
1593227552,1,0
1593229451,7,1
1593231622,6,2
1593235476,1,0
1593239291,2,1
1593241398,2,0
1593245292,1,2
1593249155,1,0
1593254900,3,1
1593256813,6,1
1593260765,0,1
1593263015,0,2
1593264816,1,1
1593266693,0,1
1593268575,2,2
1593270500,2,3
1593272436,1,2
1593274366,0,1
1593276264,5,0
1593278213,3,0
1593280095,2,1
1593282012,3,3
1593284029,2,0
1593285854,3,0
1593287820,3,0
1593289694,2,0
1593291794,0,3
1593295800,1,1
1593297612,3,1
1593299532,2,0
1593301493,1,0
1593303402,2,1
1593305298,1,1
1593307236,3,1
1593309137,4,1
1593311059,1,1
1593312992,5,1
1593314907,1,1
1593317913,0,11
1593319933,1,0
1593321861,1,2
1593323773,1,1
1593325692,4,0
1593327875,4,1
1593329804,2,1
1593331694,2,1
1593333633,1,0
1593335573,0,1
1593337456,3,0
1593339419,1,1
1593341334,2,24
1593343241,1,7
1593345169,3,0
1593347084,2,0
1593349019,3,1
1593350894,3,1
1593354032,2,1
1593355969,2,2
1593357892,3,0
1593359800,1,0
1593361699,1,0
1593363883,1,0
1593365806,1,3
1593367722,2,1
1593371550,1,4
1593373468,6,1
1593375379,1,2
1593377317,0,1
1593379210,4,2
1593383080,1,1
1593384978,3,2
1593386893,2,0
1593388984,4,2
1593390999,2,1
1593392894,2,1
1593394814,0,2
1593396754,0,4
1593398681,5,1
1593400589,1,11
1593404421,2,1
1593406377,1,0
1593410175,1,2
1593412098,3,7
1593414200,0,5
1593416228,0,2
1593418366,1,3
1593420258,0,1
1593422178,0,2
1593424145,2,2
1593426017,1,3
1593427934,1,2
1593429879,4,1
1593431778,0,4
1593433735,1,3
1593436826,2,7
1593438742,5,1
1593440682,0,2
1593442590,0,2
1593444554,1,3
1593446649,1,1
1593448594,1,1
1593450515,2,2
1593452418,2,1
1593454362,2,1
1593456332,5,0
1593458247,1,2
1593460118,1,3
1593462040,2,0
1593463933,0,2
1593465880,0,3
1593467814,0,1
1593471896,0,2
1593473794,1,3
1593475698,0,3
1593477621,2,1
1593479556,1,3
1593481467,1,1
1593485321,0,5
1593487280,2,2
1593489132,0,1
1593491073,0,1
1593494891,2,0
1593497038,0,2
1593498995,0,2
1593502814,2,1
1593508576,2,0
1593510521,0,2
1593512411,1,0
1593514334,1,0
1593516310,0,3
1593520092,22,2
1593522156,3,2
1593524190,4,2
1593526130,2,1
1593528105,3,0
1593531862,1,1
1593533805,1,0
1593535731,1,3
1593537641,3,0
1593539532,0,2
1593541453,0,2
1593543396,0,2
1593545291,2,1
1593548412,2,4
1593550353,2,0
1593552277,3,1
1593554173,0,1
1593556125,3,1
1593558161,5,1
1593559972,1,1
1593563774,3,0
1593567663,5,2
1593569562,1,0
1593573382,0,2
1593575300,1,0
1593581081,1,1
1593585380,1,0
1593587326,2,0
1593589252,1,0
1593591288,0,1
1593595224,1,4
1593599054,1,0
1593601103,3,0
1593602919,3,0
1593606039,2,1
1593607966,0,22
1593609857,1,1
1593611795,3,3
1593613714,1,2
1593615743,2,1
1593617552,1,0
1593619542,0,2
1593621397,1,1
1593623307,1,5
1593625384,1,0
1593629355,3,1
1593631215,1,1
1593635080,1,1
1593636996,3,0
1593638896,7,3
1593642010,1,1
1593643951,0,2
1593645866,5,1
1593647802,1,0
1593649689,1,1
1593651725,3,0
1593653549,1,3
1593655494,2,0
1593659331,1,2
1593661217,1,2
1593667036,1,1
1593670827,0,1
1593672756,1,1
1593674668,2,2
1593676606,2,2
1593681610,1,1
1593683565,0,1
1593685470,0,3
1593687864,2,3
1593690024,3,2
1593691936,1,0
1593693901,0,1
1593695792,2,2
1593697695,5,1
1593699635,0,2
1593701560,0,3
1593703453,2,10
1593705393,0,1
1593707308,2,1
1593710182,3,0
1593712122,3,1
1593714021,1,0
1593715934,0,1
1593717902,3,1
1593719770,1,0
1593721690,1,2
1593723835,2,1
1593725794,3,1
1593729616,1,0
1593731556,3,2
1593733450,5,2
1593735390,3,2
1593737323,2,1
1593739210,1,2
1593741148,4,1
1593743078,0,2
1593746915,0,1
1593750052,2,1
1593751937,3,0
1593753750,1,0
1593755797,2,1
1593757693,2,0
1593759792,5,0
1593761774,1,2
1593763737,4,1
1593765609,2,2
1593767450,4,1
1593769484,3,0
1593771415,1,0
1593773293,2,2
1593775241,3,1
1593777170,4,3
1593779051,1,0
1593782895,2,2
1593785067,1,3
1593786975,2,0
1593788934,3,1
1593790817,2,0
1593792734,1,0
1593794686,1,0
1593796598,2,2
1593798497,0,2
1593802334,0,1
1593804285,1,4
1593806180,0,1
1593808097,1,2
1593810175,1,1
1593812194,1,4
1593814090,1,1
1593816014,1,1
1593817960,3,1
1593819854,0,4
1593821775,4,3
1593823722,32,2
1593825611,1,1
1593827571,0,4
1593829456,2,0
1593836435,2,2
1593838339,1,5
1593840256,0,1
1593842200,0,2
1593844091,1,2
1593846293,0,4
1593848217,2,1
1593850098,1,4
1593852061,0,4
1593853943,0,3
1593855887,1,3
1593857781,2,2
1593859720,0,8
1593861643,8,0
1593863529,0,1
1593865460,0,1
1593868616,3,1
1593870524,1,1
1593872444,1,3
1593874357,0,3
1593876283,1,1
1593878184,0,1
1593880096,0,2
1593882258,4,2
1593884203,15,0
1593886119,14,0
1593888029,6,0
1593890004,4,0
1593891868,1,1
1593893819,1,3
1593895728,3,1
1593897620,0,1
1593901488,0,1
1593905296,2,3
1593907443,2,1
1593909399,3,34
1593911294,2,2
1593913216,1,0
1593915163,0,1
1593917076,1,0
1593920922,0,3
1593922819,0,1
1593926689,0,1
1593928593,0,1
1593930496,1,0
1593934599,0,1
1593936492,3,1
1593940386,2,0
1593942262,0,1
1593944229,1,3
1593946147,2,0
1593948051,1,5
1593950041,1,0
1593951864,2,0
1593957811,3,2
1593959770,2,0
1593961724,1,2
1593963613,1,0
1593965534,1,1
1593967484,1,0
1593969417,0,10
1593971296,1,14
1593973237,1,14
1593975131,1,1
1593977054,0,2
1593979005,3,1
1593980892,1,1
1593983782,2,3
1593985696,1,0
1593987627,0,1
1593989539,1,0
1593993382,1,0
1593995293,1,3
1593997343,1,1
1593999158,0,2
1594003011,2,1
1594004927,1,0
1594009011,2,0
1594016656,1,1
1594020490,1,0
1594022556,3,3
1594026214,3,2
1594028170,1,1
1594029992,2,1
1594031844,2,3
1594033736,1,5
1594035620,2,0
1594037571,0,1
1594039457,0,2
1594041391,1,0
1594043328,0,1
1594045216,0,1
1594047167,1,1
1594049093,0,1
1594050978,2,2
1594052899,2,1
1594055121,1,0
1594057007,0,1
1594058899,2,1
1594060813,1,0
1594062765,1,1
1594064657,2,1
1594066641,4,3
1594068519,1,3
1594070426,1,1
1594072367,0,1
1594074287,2,0
1594076179,2,1
1594078102,1,1
1594080071,0,1
1594081928,2,1
1594087722,0,1
1594089616,2,1
1594091562,2,1
1594095371,0,1
1594103009,1,0
1594105039,0,2
1594106972,0,1
1594108892,0,1
1594110758,3,0
1594112653,0,2
1594114569,1,1
1594116521,3,5
1594118431,1,1
1594120598,5,4
1594122550,1,0
1594126381,29,0
1594128258,1,0
1594130181,0,1
1594134194,0,1
1594136169,0,1
1594138028,0,1
1594141938,1,1
1594143880,1,0
1594147714,2,1
1594149612,0,1
1594151718,0,1
1594153771,1,1
1594157772,0,1
1594159749,1,2
1594163532,3,1
1594165596,5,0
1594167652,2,0
1594169670,1,3
1594171767,0,1
1594174004,3,0
1594175816,2,2
1594179647,0,1
1594187533,1,1
1594189485,0,1
1594193269,0,1
1594197369,1,0
1594199328,1,0
1594203134,1,3
