DateTime,AddedIPs,RemovedIPs
1593221790,8,9
1593223752,16,10
1593225617,11,11
1593227552,67,8
1593229451,144,7
1593231622,19,12
1593233573,131,8
1593235476,71,17
1593237371,17,5
1593239291,8,25
1593241395,9,5
1593243397,163,17
1593245292,168,11
1593247271,107,17
1593249155,142,24
1593251055,12,37
1593253005,15,50
1593254900,9,7
1593256813,12,13
1593258762,11,10
1593260748,98,12
1593262998,257,44
1593264815,231,257
1593266692,204,241
1593268575,19,287
1593270499,10,240
1593272436,164,287
1593274366,230,266
1593276264,217,293
1593278213,323,288
1593280094,126,243
1593282011,8,128
1593284021,165,272
1593285854,153,248
1593287820,107,298
1593289693,195,234
1593291788,21,163
1593293772,8,12
1593295799,9,8
1593297612,49,14
1593299531,147,198
1593301492,42,79
1593303401,65,41
1593305298,120,128
1593307236,19,9
1593309136,11,11
1593311058,9,13
1593312991,10,8
1593314906,88,163
1593317913,83,64
1593319932,86,124
1593321861,104,76
1593323772,26,19
1593325692,6,6
1593327864,5,10
1593329804,100,164
1593331693,111,166
1593333632,63,104
1593335573,149,149
1593337456,20,13
1593339419,2,14
1593341334,9,8
1593343240,161,12
1593345168,65,10
1593347083,194,90
1593349018,72,243
1593350893,10,215
1593354031,101,249
1593355969,39,13
1593357874,184,53
1593359799,57,234
1593361699,13,205
1593363877,56,332
1593365789,86,250
1593367721,77,11
1593369612,153,60
1593371550,23,229
1593373468,5,65
1593375378,26,207
1593377316,68,81
1593379210,56,16
1593381131,113,6
1593383079,20,15
1593384977,10,105
1593386892,4,122
1593388983,45,24
1593390999,37,150
1593392894,41,43
1593394813,112,11
1593396754,19,11
1593398681,8,4
1593400588,5,60
1593402516,43,87
1593404421,21,33
1593406377,88,88
1593408303,40,106
1593410175,7,24
1593412098,11,7
1593414199,8,7
1593416228,12,102
1593418366,9,122
1593420257,11,65
1593422178,3,141
1593424144,7,18
1593426016,6,3
1593427934,8,8
1593429878,6,183
1593431777,5,46
1593433734,21,222
1593436826,14,48
1593438741,6,9
1593440681,6,103
1593442589,6,39
1593444553,8,213
1593446648,10,25
1593448594,10,23
1593450514,30,61
1593452416,19,78
1593454361,8,101
1593456332,12,132
1593458246,8,10
1593460117,10,5
1593462040,8,30
1593463933,6,70
1593465879,9,71
1593467814,6,96
1593469695,5,17
1593471895,8,7
1593473794,5,13
1593475698,7,42
1593477621,3,31
1593479556,3,56
1593481467,10,103
1593483377,6,15
1593485321,2,4
1593487277,4,9
1593489132,5,43
1593491073,2,28
1593492971,10,85
1593494890,6,35
1593497005,8,9
1593498994,6,20
1593500897,6,3
1593502813,5,13
1593504763,15,10
1593506651,4,10
1593508575,29,4
1593510521,22,5
1593512410,13,2
1593514334,13,6
1593516309,11,7
1593518176,9,4
1593520092,11,18
1593522147,6,7
1593524190,7,8
1593526130,8,4
1593528105,15,6
1593529933,10,6
1593531862,12,5
1593533805,11,10
1593535731,7,5
1593537641,8,44
1593539532,12,8
1593541451,4,4
1593543396,16,10
1593545290,8,9
1593548412,7,14
1593550352,5,7
1593552277,6,9
1593554173,100,4
1593556124,17,6
1593558143,10,8
1593559972,9,6
1593561862,8,3
1593563773,4,6
1593565729,8,2
1593567662,8,9
1593569561,7,5
1593571480,7,2
1593573381,9,4
1593575299,5,4
1593577215,8,2
1593579245,11,8
1593581081,10,8
1593582976,9,9
1593585366,13,8
1593587323,9,4
1593589252,13,5
1593591286,7,15
1593593316,26,11
1593595223,8,30
1593597130,7,23
1593599053,6,16
1593601088,10,11
1593602919,9,10
1593604914,14,12
1593606978,18,8
1593608963,7,7
1593610832,14,4
1593612736,6,10
1593614665,10,10
1593616590,13,12
1593618533,7,13
1593620427,7,8
1593622337,5,13
1593625384,15,14
1593627377,3,8
1593629354,9,14
1593631214,5,8
1593633134,9,5
1593635079,11,6
1593636978,7,7
1593638895,9,20
1593640957,8,87
1593642989,12,11
1593644943,10,12
1593646821,6,9
1593648741,9,6
1593650676,8,5
1593652574,7,12
1593654740,20,8
1593656655,17,5
1593658597,5,7
1593660508,15,5
1593663628,11,14
1593665534,13,11
1593667453,6,9
1593669406,14,8
1593671312,9,10
1593674221,13,16
1593676109,3,11
1593678031,7,13
1593679945,3,23
1593681894,11,9
1593683781,9,9
1593685791,11,4
1593687821,14,13
1593690024,16,13
1593691936,11,24
1593693901,14,3
1593695792,7,11
1593697695,7,10
1593699634,6,8
1593701560,12,5
1593703453,18,14
1593705393,12,8
1593707308,20,10
1593709260,5,7
1593711133,6,7
1593713300,27,9
1593715217,9,9
1593717166,7,7
1593719053,8,7
1593720987,13,10
1593722920,6,12
1593724826,1,9
1593726741,6,8
1593728676,5,10
1593730577,9,7
1593732498,9,6
1593734606,6,11
1593736596,8,7
1593738520,8,4
1593740412,11,20
1593742358,5,11
1593744257,13,11
1593746210,12,12
1593748094,6,12
1593750051,6,6
1593751937,14,11
1593753750,11,7
1593755797,13,15
1593757692,12,9
1593759786,8,7
1593761774,9,9
1593763737,8,9
1593765609,25,4
1593767450,5,10
1593769484,13,10
1593771415,8,11
1593773293,15,8
1593775241,15,17
1593777170,8,15
1593779051,13,17
1593781003,12,8
1593782894,10,6
1593785056,11,6
1593786974,12,11
1593788934,12,16
1593790817,7,12
1593792734,7,10
1593794686,8,18
1593796597,9,7
1593798497,3,11
1593800504,7,23
1593802333,9,11
1593804284,9,5
1593806179,8,10
1593808097,7,10
1593810170,17,9
1593812194,8,6
1593814089,3,5
1593816013,6,4
1593817960,5,11
1593819853,6,5
1593821774,5,2
1593823722,4,9
1593825611,6,7
1593827570,6,9
1593829456,9,8
1593831390,5,15
1593833293,5,7
1593836435,5,9
1593838338,7,15
1593840256,6,13
1593842200,11,15
1593844091,8,13
1593846291,11,8
1593848217,12,9
1593850098,7,8
1593852060,9,21
1593853943,3,7
1593855887,4,13
1593857780,7,5
1593859719,22,17
1593861643,11,13
1593863529,4,10
1593865460,8,17
1593868616,10,17
1593870524,6,8
1593872444,7,7
1593874357,10,14
1593876283,6,9
1593878183,5,6
1593880095,7,9
1593882257,7,11
1593884202,6,6
1593886118,3,7
1593888028,10,10
1593890004,9,5
1593891868,9,10
1593893818,7,6
1593895728,5,6
1593897619,2,20
1593899548,1,7
1593901488,16,1
1593903399,13,6
1593905295,6,7
1593907436,8,3
1593909398,10,5
1593911294,6,4
1593913215,9,5
1593915163,9,8
1593917076,7,9
1593919005,10,4
1593920922,5,6
1593922819,9,2
1593924751,11,7
1593926689,6,7
1593928592,10,9
1593930496,12,6
1593932633,7,13
1593934599,12,13
1593936491,8,7
1593938412,8,9
1593940386,10,6
1593942262,13,2
1593944228,28,7
1593946146,15,21
1593948050,18,14
1593950040,13,5
1593951863,10,5
1593953807,12,4
1593955692,12,7
1593957775,10,8
1593959770,10,9
1593961724,8,10
1593963612,3,8
1593965534,13,5
1593967483,13,4
1593969409,12,10
1593971296,7,6
1593973236,10,5
1593975130,17,8
1593977053,10,10
1593979004,43,8
1593980892,15,5
1593983781,24,5
1593985695,16,1
1593987626,5,12
1593989539,6,10
1593991504,5,9
1593993382,10,7
1593995293,15,8
1593997325,8,9
1593999157,1,7
1594000994,12,9
1594003010,12,7
1594004926,11,8
1594006812,8,6
1594009011,12,9
1594010895,10,10
1594012813,11,10
1594014730,9,8
1594016656,14,10
1594018611,13,13
1594020489,9,7
1594022542,12,6
1594024361,15,10
1594026205,9,10
1594028170,10,11
1594029990,31,24
1594031819,31,12
1594033735,8,22
1594035619,9,13
1594037571,16,12
1594039456,11,12
1594041391,13,12
1594043327,13,7
1594045216,6,14
1594047167,23,6
1594049093,18,6
1594050978,15,9
1594052898,10,15
1594055120,9,6
1594057006,25,17
1594058899,8,7
1594060813,15,18
1594062765,7,8
1594064657,25,23
1594066637,19,30
1594068519,11,21
1594070425,10,15
1594072367,10,17
1594074286,9,4
1594076179,8,7
1594078101,4,5
1594081027,28,14
1594082897,4,9
1594084813,5,4
1594086762,7,7
1594088681,11,12
1594090598,7,14
1594092515,7,10
1594094555,4,10
1594096356,4,4
1594098531,10,13
1594100412,11,12
1594102334,5,12
1594104287,9,10
1594106175,11,9
1594108092,11,8
1594110080,7,22
1594111984,7,7
1594113853,12,11
1594115828,10,33
1594117695,11,27
1594119841,10,13
1594121804,5,9
1594123695,8,15
1594125638,11,7
1594127857,22,16
1594129701,5,13
1594131678,5,5
1594133537,1,21
1594135459,5,18
1594137405,11,17
1594139349,8,9
1594141408,7,10
1594143620,7,27
1594145536,12,8
1594147487,9,15
1594149408,5,8
1594151717,10,25
1594153770,13,27
1594155828,14,8
1594157771,8,16
1594159749,8,11
1594161642,7,8
1594163532,6,9
1594165595,17,8
1594167652,14,17
1594169670,7,5
1594171766,9,7
1594174003,17,12
1594175815,10,6
1594177725,12,4
1594179646,22,6
1594181686,15,9
1594183733,15,6
1594185619,6,9
1594187533,16,10
1594189485,13,8
1594191402,3,7
1594193268,7,12
1594195411,13,10
1594197369,5,8
1594199327,6,14
1594201241,11,8
1594203134,6,5
