DateTime,AddedIPs,RemovedIPs
1592146570,0,1
1592151622,0,2
1592155479,0,1
1592157404,1,0
1592163387,0,1
1592165309,0,1
1592167216,0,1
1592172980,0,2
1592174911,0,1
1592182573,1,0
1592184513,1,1
1592189326,2,1
1592191216,1,1
1592195058,1,0
1592196973,0,1
1592201068,1,0
1592202998,2,0
1592204911,1,0
1592206817,0,1
1592210696,1,1
1592212584,0,1
1592214504,1,1
1592220255,1,0
1592222206,0,1
1592226277,1,0
1592230121,1,0
1592234576,2,0
1592236619,1,0
1592240549,1,0
1592244275,0,1
1592246177,1,0
1592257941,1,1
1592270561,2,1
1592276592,0,2
1592278574,0,1
1592280513,1,1
1592282418,0,1
1592288417,1,2
1592292279,0,1
1592296115,2,1
1592300914,0,1
1592302816,1,1
1592304740,2,0
1592312923,1,1
1592316762,0,1
1592320601,0,2
1592322533,0,1
1592324425,0,1
1592328277,1,0
1592334395,1,1
1592336457,0,1
1592346033,2,1
1592357918,1,1
1592363772,1,0
1592365717,2,0
1592375545,2,0
1592377491,0,1
1592381304,0,2
1592388989,0,2
1592390907,1,1
1592394761,1,1
1592396684,1,0
1592402665,0,1
1592404598,1,0
1592408416,1,0
1592414174,0,1
1592418024,0,1
1592423781,0,1
1592427796,1,0
1592431933,1,1
1592437697,1,1
1592439651,1,0
1592443459,1,0
1592445413,2,1
1592447299,1,1
1592449387,0,1
1592451391,1,0
1592463212,1,2
1592471073,1,0
1592474902,0,1
1592480656,2,0
1592486421,0,1
1592490295,1,0
1592492209,2,1
1592507785,1,0
1592509712,0,1
1592517374,1,1
1592519205,1,1
1592523388,0,1
1592529185,0,1
1592533075,0,2
1592536824,0,1
1592538748,2,0
1592540707,0,2
1592550276,1,1
1592557939,0,1
1592559875,0,1
1592563693,1,0
1592565648,1,1
1592569454,1,0
1592571391,1,0
1592579099,0,2
1592582913,0,1
1592590625,1,0
1592598253,0,2
1592600191,0,1
1592605029,0,1
1592606896,0,1
1592608851,1,0
1592614598,1,0
1592624439,1,1
1592630176,1,0
1592637854,0,1
1592641728,1,0
1592646499,2,1
