DateTime,AddedIPs,RemovedIPs
1591300967,2,0
1591316172,1,0
1591323854,0,1
1591335406,1,0
1591343173,0,1
1591345220,0,1
1591347129,1,0
1591350985,1,0
1591352888,1,0
1591360813,0,1
1591362759,1,0
1591364662,1,2
1591366572,0,1
1591370423,1,1
1591372336,1,0
1591382909,1,0
1591384823,1,0
1591386735,1,1
1591388654,0,1
1591402105,0,1
1591404032,1,0
1591419393,1,0
1591421300,0,1
1591423510,1,0
1591433120,1,1
1591436903,0,1
1591440742,1,1
1591450592,0,2
1591452493,1,0
1591458282,0,2
1591460175,1,0
1591469782,0,1
1591471690,0,1
1591474817,0,1
1591485371,1,0
1591487305,1,0
1591489212,0,1
1591498972,2,0
1591506744,0,1
1591508652,0,1
1591510569,1,0
1591520170,0,1
1591522091,1,0
1591525958,0,1
1591527889,2,0
1591531720,1,0
1591539677,0,1
1591547304,0,1
1591553546,1,0
1591555456,1,0
1591559324,1,0
1591568894,3,0
1591572018,0,1
1591573942,0,1
1591584769,1,2
1591596329,0,1
1591607783,0,1
1591613536,0,2
1591617390,0,1
1591621348,1,0
1591629385,1,0
1591638992,1,1
1591640895,0,1
1591644969,1,0
1591646904,0,1
1591652667,1,0
1591656508,0,3
1591660434,1,0
1591664170,1,0
1591670900,0,1
1591688169,1,0
1591692008,1,0
1591707750,0,1
1591709784,2,0
1591715559,0,1
1591719406,1,0
1591725128,0,1
1591728966,1,0
1591730893,0,1
1591734733,1,0
1591736600,1,0
1591738705,0,1
1591740729,2,0
1591744577,2,0
1591746497,1,1
1591750336,0,1
1591773372,0,1
1591777227,1,0
1591779137,0,1
1591790664,1,0
1591794761,1,1
1591796662,2,1
1591798650,1,0
1591806509,0,1
1591816112,1,1
1591821867,0,2
1591827625,0,2
1591829532,1,1
1591831468,0,1
1591833415,0,1
1591841305,1,0
1591847079,1,0
1591862912,0,1
1591868894,1,0
1591878497,1,1
1591880659,0,1
1591882603,0,1
1591884498,0,2
1591888251,1,0
1591890257,1,0
1591900100,1,0
1591902992,0,1
1591904901,2,0
1591914495,1,0
1591916703,0,1
1591922423,1,0
1591928177,0,1
1591933966,0,1
1591957241,0,1
1591962978,1,0
1591964899,0,1
1591970901,1,0
1591975018,0,1
1591976980,0,1
1591984586,1,0
1591986491,1,1
1591989375,1,0
1591991294,0,2
1591993224,1,0
1591998989,1,0
1592000923,0,1
1592006935,1,0
1592008958,0,1
1592016740,1,0
1592026573,2,0
1592028509,1,0
1592050829,1,1
1592054656,1,0
1592056589,1,0
1592058497,1,1
1592060590,1,0
1592064545,1,0
1592072179,0,2
