DateTime,Entries,UniqueIPs
1593227556,1464,1464
1593229455,1440,1440
1593231626,1437,1437
1593233615,1446,1446
1593235480,1449,1449
1593237375,1444,1444
1593239295,1420,1420
1593241456,1422,1422
1593243441,1427,1427
1593245296,1413,1413
1593247299,1414,1414
1593249159,1401,1401
1593251060,1396,1396
1593253011,1402,1402
1593254906,1396,1396
1593256817,1402,1402
1593258767,1380,1380
1593260778,1371,1371
1593263095,1361,1361
1593265003,1370,1370
1593266905,1382,1382
1593268843,1385,1385
1593270736,1387,1387
1593272772,1392,1392
1593274636,1392,1392
1593276547,1397,1397
1593278520,1398,1398
1593280355,1414,1414
1593282262,1417,1417
1593284252,1422,1422
1593286148,1427,1427
1593288169,1421,1421
1593290079,1410,1410
1593292164,1405,1405
1593294015,1410,1410
1593296220,1412,1412
1593298114,1416,1416
1593300042,1421,1421
1593301970,1426,1426
1593303859,1423,1423
1593305807,1414,1414
1593307697,1391,1391
1593310607,1382,1382
1593312504,1373,1373
1593314439,1382,1382
1593316342,1380,1380
1593318273,1378,1378
1593320272,1371,1371
1593322106,1369,1369
1593324304,1357,1357
1593326202,1356,1356
1593328119,1356,1356
1593330020,1361,1361
1593331959,1359,1359
1593333874,1371,1371
1593335782,1381,1381
1593337720,1379,1379
1593339616,1374,1374
1593341557,1377,1377
1593343457,1372,1372
1593345421,1373,1373
1593347392,1380,1380
1593349310,1384,1384
1593351154,1390,1390
1593353113,1373,1373
1593354972,1375,1375
1593356990,1374,1374
1593358818,1370,1370
1593360760,1382,1382
1593362685,1386,1386
1593364578,1385,1385
1593366522,1352,1352
1593368521,1345,1345
1593370338,1359,1359
1593372276,1347,1347
1593374175,1348,1348
1593376092,1364,1364
1593379051,1378,1378
1593380921,1356,1356
1593382819,1358,1358
1593384737,1351,1351
1593386692,1345,1345
1593388577,1339,1339
1593390511,1343,1343
1593392648,1359,1359
1593394597,1370,1370
1593396506,1381,1381
1593398421,1376,1376
1593400362,1375,1375
1593402258,1368,1368
1593404426,1367,1367
1593406398,1373,1373
1593408309,1375,1375
1593410180,1377,1377
1593412104,1385,1385
1593414212,1374,1374
1593416244,1392,1392
1593418373,1399,1399
1593420285,1400,1400
1593422232,1372,1372
1593424151,1356,1356
1593426035,1337,1337
1593427940,1332,1332
1593429885,1329,1329
1593431793,1343,1343
1593433752,1349,1349
1593435792,1346,1346
1593437795,1358,1358
1593439697,1367,1367
1593441626,1362,1362
1593443570,1371,1371
1593445456,1371,1371
1593447377,1351,1351
1593449319,1332,1332
1593451225,1312,1312
1593453165,1306,1306
1593455075,1284,1284
1593456980,1325,1325
1593458915,1394,1394
1593461087,1398,1398
1593463011,1376,1376
1593464921,1358,1358
1593466817,1373,1373
1593468753,1447,1447
1593470654,1478,1478
1593472579,1481,1481
1593474516,1472,1472
1593476421,1459,1459
1593478356,1486,1486
1593480288,1538,1538
1593482213,1525,1525
1593484096,1524,1524
1593486314,1518,1518
1593488193,1520,1520
1593490097,1550,1550
1593492123,1596,1596
1593493957,1602,1602
1593495876,1606,1606
1593497789,1604,1604
1593499720,1630,1630
1593501615,1646,1646
1593503534,1641,1641
1593505516,1641,1641
1593507389,1656,1656
1593509550,1671,1671
1593511495,1684,1684
1593513436,1702,1702
1593515305,1703,1703
1593517218,1699,1699
1593519182,1670,1670
1593521054,1676,1676
1593522985,1712,1712
1593524919,1714,1714
1593526813,1714,1714
1593529168,1707,1707
1593531168,1692,1692
1593533147,1711,1711
1593534979,1735,1735
1593536926,1752,1752
1593538816,1765,1765
1593540762,1784,1784
1593542686,1770,1770
1593544827,1698,1698
1593546737,1701,1701
1593548689,1728,1728
1593550616,1743,1743
1593552519,1744,1744
1593554788,1695,1695
1593556837,1656,1656
1593558729,1657,1657
1593560681,1702,1702
1593562574,1718,1718
1593564493,1689,1689
1593566439,1661,1661
1593568329,1683,1683
1593570254,1700,1700
1593572204,1729,1729
1593574090,1731,1731
1593575894,1714,1714
1593578014,1674,1674
1593579952,1665,1665
1593581854,1692,1692
1593583757,1695,1695
1593585820,1688,1688
1593587871,1685,1685
1593589791,1693,1693
1593591741,1682,1682
1593593780,1683,1683
1593595693,1669,1669
1593597951,1667,1667
1593599797,1635,1635
1593601991,1644,1644
1593603863,1677,1677
1593605826,1691,1691
1593607703,1664,1664
1593609620,1650,1650
1593611564,1648,1648
1593613468,1638,1638
1593615380,1631,1631
1593617304,1643,1643
1593620432,1645,1645
1593622342,1626,1626
1593624345,1646,1646
1593626178,1666,1666
1593628097,1665,1665
1593630248,1673,1673
1593632201,1653,1653
1593634135,1647,1647
1593636306,1631,1631
1593638181,1648,1648
1593640118,1646,1646
1593642014,1656,1656
1593643956,1660,1660
1593645870,1632,1632
1593647806,1617,1617
1593649693,1623,1623
1593651804,1609,1609
1593653772,1592,1592
1593655838,1588,1588
1593657648,1566,1566
1593659544,1564,1564
1593661477,1551,1551
1593663632,1538,1538
1593665548,1535,1535
1593667471,1518,1518
1593669410,1505,1505
1593671318,1522,1522
1593673450,1508,1508
1593675371,1488,1488
1593677594,1505,1505
1593679458,1494,1494
1593681376,1497,1497
1593683323,1506,1506
1593685212,1524,1524
1593687160,1541,1541
1593689057,1527,1527
1593691008,1509,1509
1593692897,1505,1505
1593695069,1494,1494
1593696970,1497,1497
1593698915,1515,1515
1593700817,1521,1521
1593702734,1522,1522
1593704676,1517,1517
1593706576,1517,1517
1593708536,1510,1510
1593710410,1500,1500
1593712331,1488,1488
1593714280,1486,1486
1593716176,1488,1488
1593718093,1488,1488
1593720281,1481,1481
1593722199,1468,1468
1593724099,1469,1469
1593726027,1485,1485
1593727965,1483,1483
1593729855,1499,1499
1593731772,1514,1514
1593733725,1528,1528
1593735609,1534,1534
1593737531,1536,1536
1593739485,1537,1537
1593741405,1535,1535
1593743315,1551,1551
1593745305,1553,1553
1593747132,1562,1562
1593749158,1573,1573
1593750974,1568,1568
1593752953,1445,1445
1593754874,1441,1441
1593756735,1450,1450
1593758681,1452,1452
1593760585,1447,1447
1593762524,1434,1434
1593764477,1441,1441
1593766369,1461,1461
1593768274,1453,1453
1593770201,1438,1438
1593772095,1424,1424
1593774137,1410,1410
1593775968,1406,1406
1593777837,1400,1400
1593779801,1401,1401
1593781722,1399,1399
1593783666,1380,1380
1593785537,1378,1378
1593787485,1401,1401
1593789453,1397,1397
1593791304,1422,1422
1593793244,1399,1399
1593795178,1390,1390
1593797060,1401,1401
1593799005,1411,1411
1593800895,1417,1417
1593802991,1425,1425
1593804998,1443,1443
1593806889,1461,1461
1593808811,1479,1479
1593810766,1472,1472
1593812657,1460,1460
1593814593,1456,1456
