DateTime,AddedIPs,RemovedIPs
1593225621,71,67
1593227555,85,79
1593229454,82,96
1593231625,80,78
1593233601,96,102
1593235480,62,66
1593237375,60,75
1593239295,64,86
1593241429,54,98
1593243417,83,75
1593245295,79,82
1593247299,84,98
1593249158,63,85
1593251059,58,77
1593253011,74,83
1593254905,2776,92
1593256816,2875,78
1593258767,3796,66
1593260777,2610,62
1593263078,655,80
1593265002,1211,46
1593266904,1363,47
1593268842,2997,54
1593270735,1961,48
1593272769,768,41
1593274635,594,44
1593276544,987,50
1593278479,465,29
1593280355,1926,52
1593282261,2014,51
1593284214,1125,43
1593286147,1184,43
1593288144,1683,50
1593290078,918,42
1593292163,2210,49
1593294014,1930,69
1593296219,2074,66
1593298113,1892,45
1593300041,1185,25
1593301969,1815,37
1593303858,992,52
1593305806,1780,45
1593307696,1692,54
1593310606,2691,96
1593312504,1713,35
1593314439,808,45
1593316341,57,44
1593318272,39,41
1593320271,70,39
1593322105,48,19
1593324302,46,36
1593326201,51,33
1593328118,38,29
1593330020,31,41
1593331958,129,42
1593333873,151,38
1593335781,251,23
1593337719,138,32
1593339615,27,72
1593341556,40,2120
1593343457,43,1831
1593345393,28,2309
1593347391,39,1368
1593349277,42,323
1593351153,34,594
1593353098,56,868
1593354971,33,2203
1593356954,32,2049
1593358817,47,872
1593360760,44,595
1593362684,44,996
1593364577,57,401
1593366521,53,1724
1593368521,47,2157
1593370337,47,1140
1593372275,56,978
1593374174,47,1888
1593376091,105,613
1593379051,95,3134
1593380921,52,1971
1593382818,50,1748
1593384736,69,1796
1593386691,72,1171
1593388576,65,1864
1593390510,39,1005
1593392639,53,1739
1593394596,51,2021
1593396506,75,1699
1593398420,56,1783
1593400361,43,1485
1593402257,49,883
1593404426,57,1151
1593406398,50,1111
1593408308,60,762
1593410179,50,1353
1593412103,73,902
1593414208,81,85
1593416243,65,58
1593418372,77,76
1593420284,75,74
1593422232,103,77
1593424150,95,80
1593426022,93,83
1593427939,86,408
1593429883,98,80
1593431793,142,73
1593433751,146,224
1593435783,117,506
1593437795,117,67
1593439696,96,89
1593441624,119,66
1593443570,98,62
1593445455,78,68
1593447376,84,71
1593449318,67,81
1593451224,71,92
1593453164,302,84
1593455075,513,66
1593456980,234,84
1593458914,133,76
1593461076,127,74
1593462990,127,203
1593464920,357,100
1593466817,254,92
1593468752,176,88
1593470654,135,81
1593472579,102,100
1593474515,135,101
1593476420,246,94
1593478331,187,93
1593480288,145,86
1593482213,152,96
1593484096,126,180
1593486292,244,113
1593488192,204,88
1593490096,156,76
1593492122,156,96
1593493956,135,58
1593495876,130,91
1593497788,143,77
1593499719,189,81
1593501614,166,87
1593503534,115,74
1593505515,137,61
1593507388,111,84
1593509549,160,128
1593511488,117,100
1593513436,123,100
1593515304,89,109
1593517218,85,145
1593519182,123,161
1593521054,104,136
1593522985,110,132
1593524919,136,138
1593526813,97,146
1593529168,141,153
1593531168,105,121
1593533146,96,125
1593534979,739,85
1593536926,1097,50
1593538815,94,91
1593540761,94,147
1593542685,94,92
1593544827,94,99
1593546736,113,89
1593548688,80,121
1593550615,83,127
1593552519,91,117
1593554762,65,109
1593556581,108,94
1593558529,96,114
1593560419,82,130
1593562346,95,141
1593564286,98,129
1593566183,66,131
1593568101,848,123
1593570045,696,102
1593571938,1006,149
1593573868,792,127
1593575893,921,118
1593578013,628,105
1593579952,480,92
1593581853,102,114
1593583757,87,104
1593585820,99,126
1593587869,81,122
1593589790,97,81
1593591741,74,95
1593593779,66,100
1593595692,94,89
1593597931,109,92
1593599796,79,89
1593601990,75,79
1593603862,59,71
1593605823,63,81
1593607702,73,78
1593609620,72,71
1593611563,61,91
1593613467,48,72
1593615379,69,74
1593617303,48,64
1593620431,117,244
1593622341,54,714
1593624344,67,436
1593626178,61,64
1593628096,72,88
1593630245,90,89
1593632200,71,70
1593634133,80,56
1593636282,71,74
1593638181,64,68
1593640117,65,83
1593642014,45,67
1593643955,59,76
1593645869,62,68
1593647806,52,85
1593649692,61,72
1593651794,62,117
1593653771,53,118
1593655829,76,93
1593657642,75,97
1593659543,67,112
1593661477,68,110
1593663631,68,133
1593665548,66,114
1593667470,69,123
1593669410,87,107
1593671317,63,94
1593674432,130,166
1593676330,70,88
1593678277,64,76
1593680188,118,67
1593682089,117,97
1593684151,57,103
1593686175,76,93
1593688155,53,84
1593690026,68,70
1593691939,48,70
1593693905,59,80
1593695794,73,74
1593697697,59,72
1593699665,66,65
1593701563,56,81
1593703456,61,319
1593705396,73,896
1593707310,73,657
1593709295,81,835
1593711136,83,1151
1593713302,92,1218
1593715219,85,1086
1593717198,116,126
1593719055,85,87
1593720989,83,103
1593722923,87,100
1593724828,75,108
1593726747,86,89
1593728678,99,93
1593730606,93,97
1593732500,70,89
1593734615,90,94
1593736598,76,94
1593738522,87,99
1593740414,79,118
1593742360,70,92
1593744259,77,101
1593746211,89,101
1593748096,73,90
1593750056,73,79
1593751942,74,90
1593753755,55,102
1593755801,86,110
1593757723,289,97
1593759811,63,103
1593761781,84,120
1593763741,67,113
1593765614,77,86
1593767454,78,247
1593769490,88,101
1593771420,56,103
1593773299,68,89
1593775246,81,90
1593777175,57,88
1593779056,190,71
1593781008,205,99
1593782899,175,80
1593785126,358,91
1593787043,387,75
1593788939,141,61
1593790845,122,66
1593792739,56,96
1593794691,90,141
1593796602,62,88
1593798502,58,83
1593800510,59,78
1593802337,85,100
1593804292,91,105
1593806184,94,83
1593808100,74,69
1593810270,107,75
1593812200,61,69
1593814094,72,79
1593816018,75,88
1593817964,91,83
1593819857,78,80
1593821789,149,73
1593823727,85,78
1593825615,69,73
1593827574,100,72
1593829481,83,56
1593831394,52,69
1593833297,66,73
1593835434,72,79
1593837377,78,82
1593839320,86,65
1593841221,74,72
1593843172,62,85
1593845071,68,264
1593846976,66,48
1593848930,77,72
1593850813,57,60
1593852762,66,69
1593854654,291,95
1593856608,91,70
1593858490,66,65
1593860669,104,68
1593862596,90,59
1593864522,88,108
1593866413,77,200
1593868359,68,183
1593870289,51,196
1593872178,73,166
1593874129,75,210
1593876015,58,180
1593877932,68,99
1593879880,55,79
1593881772,70,67
1593883692,61,73
1593885890,70,60
1593887816,90,76
1593889697,76,100
1593891872,99,97
1593893826,74,82
1593895732,82,75
1593897624,77,58
1593899553,108,99
1593901493,71,465
1593903404,83,142
1593905299,84,74
1593907479,94,85
1593909402,98,160
1593911310,69,68
1593913219,66,88
1593915166,56,72
1593917087,73,79
1593919009,69,77
1593920926,83,80
1593922823,79,77
1593924755,76,75
1593926715,58,74
1593928607,73,67
1593930499,216,71
1593932657,101,86
1593934602,65,83
1593936495,46,77
1593938416,68,71
1593940390,53,80
1593942266,82,381
1593944232,122,61
1593946169,124,91
1593948055,86,82
1593950061,80,108
1593951867,61,113
1593953811,364,76
1593955695,460,70
1593957892,70,84
1593959774,71,66
1593961781,68,77
1593963617,57,68
1593965538,62,89
1593967487,60,64
1593969424,69,62
1593971302,59,65
1593973242,78,53
1593975135,65,77
1593977059,77,74
1593979010,83,78
1593980896,72,79
1593983785,128,119
1593985699,88,87
1593987631,77,71
1593989543,75,73
1593991509,80,97
1593993412,73,113
1593995298,68,89
1593997477,93,98
1593999406,87,75
1594001323,74,63
1594003225,81,66
1594005213,87,71
1594007059,66,70
1594009016,79,73
1594010900,72,72
1594012817,79,55
1594014734,58,72
1594016660,74,228
1594018615,79,77
1594020493,59,55
1594022644,77,64
1594024605,107,71
1594026540,100,67
1594028582,75,89
1594030660,66,66
1594032526,95,68
1594034416,84,55
1594036335,71,65
1594038308,66,82
1594040170,60,93
1594042092,72,105
1594044184,83,77
1594046201,70,105
1594048112,60,94
1594050035,66,63
1594051964,66,64
1594053858,61,62
1594056022,75,93
1594057950,69,76
1594059886,85,87
1594061829,84,71
1594063692,131,55
1594065763,107,88
1594067876,99,88
1594069701,69,81
1594071615,54,82
1594073559,97,82
1594075458,100,68
1594077383,73,82
1594079567,79,98
1594081540,584,85
1594083374,1451,69
1594085318,1084,86
1594087366,1574,64
1594089235,1007,114
1594091119,1034,49
1594092971,1112,74
1594094919,981,72
1594096824,1392,82
1594098979,1082,65
1594100893,956,62
1594103012,1009,74
1594105042,1058,765
1594106974,912,55
1594108994,972,66
1594110969,976,81
1594112949,1064,84
1594114815,1072,62
1594116745,939,61
1594118684,1093,83
1594120642,822,73
1594122555,1004,67
1594124418,803,69
1594126385,1058,63
1594128261,855,59
1594130198,834,64
1594132098,799,49
1594134202,1030,61
1594136173,1509,50
1594138094,722,61
1594140120,748,36
1594141942,639,41
1594143885,727,53
1594145772,605,63
1594147717,702,70
1594149616,710,51
1594151724,810,57
1594153775,685,81
1594155926,762,99
1594157777,650,48
1594159814,577,74
1594161646,761,79
1594163536,795,43
1594165600,209,60
1594167656,129,439
1594169674,77,1496
1594171771,101,1134
1594174009,98,1560
1594175853,73,1055
1594177731,91,994
1594179652,78,1115
1594181693,115,988
1594183740,100,1402
1594185627,83,908
1594187538,77,943
1594189490,90,924
1594191407,66,1005
1594193292,90,840
1594195446,72,1019
1594197374,64,947
1594199353,61,1042
1594201246,72,1077
1594203139,73,916
