DateTime,Entries,UniqueIPs
1593223980,6363,6363
1593225856,6354,6354
1593227853,6353,6353
1593229715,6330,6330
1593231627,6342,6342
1593233616,6318,6318
1593235481,6297,6297
1593237376,6276,6276
1593239296,6270,6270
1593241482,6235,6235
1593243442,6209,6209
1593245297,6203,6203
1593247300,6219,6219
1593249159,6206,6206
1593251061,6200,6200
1593253012,6200,6200
1593254906,7374,7374
1593256818,8876,8876
1593258768,10789,10789
1593260794,12110,12110
1593263097,12399,12399
1593265004,12988,12988
1593266906,13582,13582
1593268843,14429,14429
1593270736,14439,14439
1593272774,14448,14448
1593274636,14424,14424
1593276548,14437,14437
1593278524,14457,14457
1593280356,14451,14451
1593282263,14472,14472
1593284261,14477,14477
1593286149,14497,14497
1593288208,14511,14511
1593290080,14508,14508
1593292165,14521,14521
1593294016,14501,14501
1593296222,14522,14522
1593298114,14534,14534
1593300043,14543,14543
1593301972,14542,14542
1593303860,14566,14566
1593305808,14562,14562
1593307698,14558,14558
1593310608,14531,14531
1593312506,14536,14536
1593314440,14575,14575
1593316343,14613,14613
1593318274,14606,14606
1593320274,14613,14613
1593322108,14609,14609
1593324305,14602,14602
1593326203,14664,14664
1593328119,14682,14682
1593330021,14692,14692
1593331960,14696,14696
1593333875,14699,14699
1593335782,14701,14701
1593337722,14704,14704
1593339617,14702,14702
1593341559,14627,14627
1593343458,14530,14530
1593345423,14463,14463
1593347393,14453,14453
1593349329,14432,14432
1593351155,14422,14422
1593353119,14397,14397
1593354974,14370,14370
1593356997,14370,14370
1593358818,14379,14379
1593360761,14369,14369
1593362686,14359,14359
1593364578,14358,14358
1593366523,14375,14375
1593368522,14373,14373
1593370338,14386,14386
1593372277,14385,14385
1593374175,14380,14380
1593376093,14385,14385
1593378123,14398,14398
1593379975,14408,14408
1593383084,14393,14393
1593384982,14397,14397
1593386897,14407,14407
1593389040,14407,14407
1593391004,14396,14396
1593392899,14417,14417
1593394818,14413,14413
1593396758,14428,14428
1593398686,14428,14428
1593400594,13865,13865
1593402520,12538,12538
1593404427,11215,11215
1593406399,9891,9891
1593408309,8977,8977
1593410180,7231,7231
1593412104,6165,6165
1593414214,6171,6171
1593416244,6166,6166
1593418373,6141,6141
1593420285,6151,6151
1593422248,6196,6196
1593424151,6193,6193
1593426036,6186,6186
1593427940,6206,6206
1593429886,6179,6179
1593431794,6217,6217
