DateTime,AddedIPs,RemovedIPs
1593210256,14,4
1593212251,7,4
1593214104,3,10
1593217219,10,11
1593219128,3,2
1593221077,5,4
1593222970,3,8
1593224894,5,12
1593226905,7,19
1593228730,7,6
1593230608,2,5
1593232590,4,6
1593234495,10,5
1593236410,9,7
1593238367,3,10
1593240279,4,5
1593242175,2,2
1593244130,5,4
1593246013,6,2
1593247940,4,5
1593249871,9,14
1593251771,6,423
1593253710,4,654
1593256595,4,1019
1593258516,5,744
1593260470,6,649
1593262483,2,395
1593264535,5,3
1593267423,4,13
1593269297,7,6
1593271249,5,10
1593273280,9,24
1593275308,2,22
1593278215,9,5
1593280096,3,173
1593282014,453,102
1593284045,3,262
1593285855,6,163
1593287822,4,322
1593289695,12,252
1593291801,4,63
1593293774,7,61
1593295801,5,28
1593297614,8,15
1593299533,6,1
1593301494,2,21
1593303403,19,2
1593305299,32,3
1593307237,6,7
1593309138,9,13
1593311061,5,5
1593312993,5,289
1593314909,6,6
1593316832,21,6
1593318751,15,8
1593320706,10,3
1593322592,5,4
1593324502,1,14
1593326415,302,3
1593328370,3,4
1593330257,5,3
1593332178,6,4
1593334134,2,2
1593336014,8,3
1593337934,13,3
1593339856,4,0
1593341788,3,6
1593343720,10,3
1593345777,7,3
1593347612,12,3
1593349731,4,1
1593351613,9,2
1593353541,10,3
1593355486,4,4
1593357508,6,2
1593359320,13,5
1593361235,13,4
1593363143,3,6
1593365076,10,1
1593366974,6,369
1593368910,6,91
1593370998,12,2
1593373012,2,1
1593374910,7,1
1593376814,14,4
1593378753,5,1
1593380650,9,5
1593382570,11,2
1593384515,7,7
1593386426,5,2
1593388352,3,2
1593390275,9,22
1593392171,10,5
1593394097,8,2
1593396175,2,3
1593398195,5,7
1593400096,11,4
1593402019,14,4
1593403959,4,3
1593405859,7,7
1593407774,5,12
1593409729,9,3
1593411614,5,140
1593413534,1,306
1593415477,3,6
1593417385,6,10
1593419289,14,4
1593422249,8,12
1593424152,5,4
1593426037,3,7
1593427941,4,8
1593429886,8,12
1593431794,6,5
1593433754,12,11
1593435802,10,4
1593437796,471,11
1593439701,6,8
1593441627,378,5
1593443572,112,1
1593445457,2,4
1593447382,12,4
1593449320,3,4
1593451226,6,4
1593453171,7,2
1593455077,5,6
1593456985,4,2
1593458916,5,3
1593461088,3,3
1593463012,4,10
1593464922,7,1
1593466819,2,6
1593468754,4,7
1593470656,2,5
1593472580,3,4
1593474517,42,7
