DateTime,AddedIPs,RemovedIPs
1593046331,0,1
1593048281,1,3
1593050171,0,2
1593052126,0,1
1593054154,1,4
1593058356,0,1
1593060253,0,2
1593064119,1,0
1593066023,0,2
1593067959,0,1
1593069855,2,1
1593071792,0,1
1593073693,2,2
1593075838,0,1
1593077786,3,1
1593081618,1,0
1593083542,0,2
1593085478,1,0
1593089294,1,3
1593091240,1,2
1593093164,1,1
1593095062,2,0
1593098896,1,3
1593101092,1,1
1593102975,3,1
1593104965,1,0
1593106814,0,1
1593108811,2,0
1593112577,1,0
1593114518,0,1
1593116443,0,2
1593118334,1,2
1593120298,2,3
1593122182,2,1
1593124105,0,1
1593126317,1,3
1593128193,0,4
1593130102,1,1
1593132015,2,0
1593133953,2,1
1593135858,8,0
1593141622,1,1
1593143428,0,1
1593147162,2,0
1593151021,0,1
1593152902,1,0
1593155781,0,1
1593157700,2,2
1593161551,0,1
1593163462,1,2
1593165403,1,0
1593169467,1,0
1593171375,1,1
1593173366,0,1
1593175221,0,3
1593177197,1,1
1593179072,0,1
1593181166,1,1
1593183112,0,2
1593184942,0,2
1593186835,3,0
1593188858,0,2
1593191014,0,2
1593196917,1,2
1593198839,2,0
1593200735,1,0
1593204523,3,2
1593206432,1,2
1593208334,0,2
1593210257,6,0
1593212252,4,0
1593214105,2,1
1593218226,2,2
1593220100,1,2
1593225856,1,0
1593229716,0,1
1593233617,1,2
1593237376,0,1
1593239297,1,0
1593243443,0,1
1593245297,1,2
1593247301,1,0
1593249160,1,0
1593251064,0,2
1593253013,2,0
1593254907,1,1
1593256818,2,5
1593258769,2,0
1593263100,2,1
1593265005,2,2
1593266906,0,2
1593268844,0,1
1593272787,1,4
1593274654,1,0
1593276551,2,0
1593278526,2,0
1593284280,2,1
1593286150,1,0
1593288266,1,1
1593290081,1,1
1593292166,0,3
1593294018,1,1
1593296237,0,3
1593298115,0,3
1593300048,1,2
1593301974,1,0
1593303864,1,2
1593305809,1,0
1593307699,2,1
1593310609,0,1
1593312511,3,1
1593316344,1,1
1593320277,1,1
1593324306,1,0
1593326205,1,2
1593330022,1,0
1593331961,0,1
1593333876,1,0
1593335785,0,1
1593339618,1,2
1593341566,0,3
1593344413,2,2
1593346353,1,1
1593348275,1,0
1593350219,1,1
1593352100,0,2
1593354059,0,1
1593359836,0,2
1593361703,0,1
1593363917,0,3
1593365837,1,1
1593367746,0,2
1593369616,1,0
1593371555,0,2
1593373473,0,1
1593375384,1,1
1593377321,0,1
1593383084,2,1
1593384983,2,1
1593386897,2,0
1593391004,1,0
1593392899,0,1
1593394818,0,3
1593396759,1,0
1593398686,4,1
1593400595,0,1
1593402521,1,1
1593406400,1,1
1593408311,1,0
1593410181,1,1
1593412105,1,1
1593416245,1,1
1593422249,1,1
1593426038,1,1
1593431795,1,2
1593433754,2,1
1593435807,1,1
1593437797,3,0
1593439701,1,0
1593441628,2,0
1593443573,2,0
1593445458,2,0
1593447383,1,1
1593449321,1,1
1593451227,1,0
1593453177,1,1
1593455077,2,0
1593456986,1,0
1593463012,1,2
1593464923,1,0
1593466820,1,0
1593468754,0,2
1593470656,1,0
1593472581,2,3
1593474518,2,0
1593476445,2,0
1593478361,2,1
1593480294,3,0
