DateTime,AddedIPs,RemovedIPs
1593266670,15,27
1593268456,0,4483
1593269769,4517,0
1593271522,7,25
1593272061,3,7
1593273658,8,25
1593275120,3,6
1593276733,23,30
1593278719,33,34
1593280332,16,26
1593282322,4,70
1593283820,6,44
1593286466,34,75
1593287600,7,6
1593289522,13,103
1593291019,15,67
1593292734,10,31
1593293660,2,14
1593295260,6,193
1593296720,30,4
1593297261,3,130
1593299120,3,72
1593300861,4,5
1593302459,4,85
1593303920,2,3
1593304460,2,10
1593306373,5,65
1593308060,8,36
1593311662,66,107
1593313608,52,61
1593315260,13,7
1593318864,240,52
1593320881,91,5
1593322462,9,5
1593325161,6,12
1593328159,10,48
1593329662,6,3
1593331461,20,13
1593333257,3,30
1593335508,558,325
1593338956,962,77
1593340460,19,11
1593341644,0,4901
1593343519,5136,0
1593344060,1,14
1593345533,17,82
1593347121,4,6
1593347658,2,44
1593348875,4,5
1593350025,22,51
1593351257,2,13
1593354320,30,60
1593355819,49,13
1593356435,3,61
1593357533,13,2
1593358462,9,8
1593360361,59,91
1593361518,17,2
1593362062,1,15
1593363164,29,36
1593364542,3,35
1593365660,1,14
1593366796,38,6
1593367940,1,97
1593369263,5,26
1593370731,40,72
1593371899,4,2
1593372859,4,11
1593376457,46,71
1593379005,42,80
1593380119,5,10
1593383659,50,91
1593386246,39,61
1593388222,54,5
1593390323,5,55
1593393471,154,59
1593394461,34,6
1593395933,38,49
1593397211,12,2
1593398442,63,84
1593399833,14,88
1593401657,4,10
1593404473,44,58
1593405260,21,4
1593408027,11,28
1593408862,1,7
1593412459,151,25
1593414881,89,40
1593416062,0,4772
1593417398,4805,0
1593419126,30,13
1593420252,3,16
1593423262,186,24
1593425428,69,28
1593426760,5,11
1593429341,51,11
1593431422,72,21
1593432641,8,16
1593435028,64,20
1593436970,43,30
1593437665,3,14
1593439994,43,27
1593441264,21,7
1593443668,36,20
1593444861,14,7
1593446917,54,41
1593448140,12,4
1593449420,36,20
1593452059,1,25
1593453201,36,3
1593454422,3,7
1593456038,0,5230
1593457842,5456,0
1593459257,28,21
1593460484,48,9
1593462324,29,14
1593462863,2,9
1593466459,41,68
1593469305,99,8
1593470057,0,7
1593471466,78,7
1593473028,6,4
1593473661,0,6
1593477262,98,17
1593480858,120,75
1593483418,80,48
1593484461,3,28
1593488061,85,151
1593489224,40,52
1593490531,2,51
1593491662,3,18
1593494347,8,9
1593495265,4,7
1593498863,26,12
1593500320,0,5635
1593501587,5634,0
1593502465,7,6
1593503939,0,218
1593506057,14,235
1593507460,29,4
1593508931,0,5221
1593510627,4078,0
1593513260,11,352
1593516863,18,19
1593518622,40,10
1593520463,16,25
1593522638,28,7
1593523794,8,36
1593525025,213,38
1593527662,319,44
1593529062,190,16
1593530230,17,42
1593531379,11,32
1593532540,41,25
1593534321,12,10
1593534860,3,10
1593536186,55,25
1593537918,23,18
1593538457,4,2
1593541520,87,42
1593543024,68,40
1593544451,30,10
1593545562,3,15
1593547122,68,48
1593548269,5,6
1593549865,81,50
1593552321,70,25
1593553824,49,4
1593556461,9,42
1593559522,60,55
