DateTime,Entries,UniqueIPs
1593266670,12450,12450
1593268456,7967,7967
1593269769,12484,12484
1593271522,12466,12466
1593272061,12462,12462
1593273658,12445,12445
1593275120,12442,12442
1593276733,12435,12435
1593278719,12434,12434
1593280332,12424,12424
1593282322,12358,12358
1593283820,12320,12320
1593286466,12279,12279
1593287600,12280,12280
1593289522,12190,12190
1593291019,12138,12138
1593292734,12117,12117
1593293660,12105,12105
1593295260,11918,11918
1593296720,11944,11944
1593297261,11817,11817
1593299120,11748,11748
1593300861,11747,11747
1593302459,11666,11666
1593303920,11665,11665
1593304460,11657,11657
1593306373,11597,11597
1593308060,11569,11569
1593311662,11528,11528
1593313608,11519,11519
1593315260,11525,11525
1593318864,11713,11713
1593320881,11799,11799
1593322462,11803,11803
1593325161,11797,11797
1593328159,11759,11759
1593329662,11762,11762
1593331461,11769,11769
1593333257,11742,11742
1593335508,11975,11975
1593338956,12860,12860
1593340460,12868,12868
1593341644,7967,7967
1593343519,13103,13103
1593344060,13090,13090
1593345533,13025,13025
1593347121,13023,13023
1593347658,12981,12981
1593348875,12980,12980
1593350025,12951,12951
1593351257,12940,12940
1593354320,12910,12910
1593355819,12946,12946
1593356435,12888,12888
1593357533,12899,12899
1593358462,12900,12900
1593360361,12868,12868
1593361518,12883,12883
1593362062,12869,12869
1593363164,12862,12862
1593364542,12830,12830
1593365660,12817,12817
1593366796,12849,12849
1593367940,12753,12753
1593369263,12732,12732
1593370731,12700,12700
1593371899,12702,12702
1593372859,12695,12695
1593376457,12670,12670
1593379005,12632,12632
1593380119,12627,12627
1593383659,12586,12586
1593386246,12564,12564
1593388222,12613,12613
1593390323,12563,12563
1593393471,12658,12658
1593394461,12686,12686
1593395933,12675,12675
1593397211,12685,12685
1593398442,12664,12664
1593399833,12590,12590
1593401657,12584,12584
1593404473,12570,12570
1593405260,12587,12587
1593408027,12570,12570
1593408862,12564,12564
1593412459,12690,12690
1593414881,12739,12739
1593416062,7967,7967
1593417398,12772,12772
1593419126,12789,12789
1593420252,12776,12776
1593423262,12938,12938
1593425428,12979,12979
1593426760,12973,12973
1593429341,13013,13013
1593431422,13064,13064
1593432641,13056,13056
1593435028,13100,13100
1593436970,13113,13113
1593437665,13102,13102
1593439994,13118,13118
1593441264,13132,13132
1593443668,13148,13148
1593444861,13155,13155
1593446917,13168,13168
1593448140,13176,13176
1593449420,13192,13192
1593452059,13168,13168
1593453201,13201,13201
1593454422,13197,13197
1593456038,7967,7967
1593457842,13423,13423
1593459257,13430,13430
1593460484,13469,13469
1593462324,13484,13484
1593462863,13477,13477
1593466459,13450,13450
1593469305,13541,13541
1593470057,13534,13534
1593471466,13605,13605
1593473028,13607,13607
1593473661,13601,13601
1593477262,13682,13682
1593480858,13727,13727
1593483418,13759,13759
1593484461,13734,13734
1593488061,13668,13668
1593489224,13656,13656
1593490531,13607,13607
1593491662,13592,13592
1593494347,13591,13591
1593495265,13588,13588
1593498863,13602,13602
1593500320,7967,7967
1593501587,13601,13601
1593502465,13602,13602
1593503939,13384,13384
1593506057,13163,13163
1593507460,13188,13188
1593508931,7967,7967
1593510627,12045,12045
1593513260,11704,11704
1593516863,11703,11703
1593518622,11733,11733
1593520463,11724,11724
1593522638,11745,11745
1593523794,11717,11717
1593525025,11892,11892
1593527662,12167,12167
1593529062,12341,12341
1593530230,12316,12316
1593531379,12295,12295
1593532540,12311,12311
1593534321,12313,12313
1593534860,12306,12306
1593536186,12336,12336
1593537918,12341,12341
1593538457,12343,12343
1593541520,12388,12388
1593543024,12416,12416
1593544451,12436,12436
1593545562,12424,12424
1593547122,12444,12444
1593548269,12443,12443
1593549865,12474,12474
1593552321,12519,12519
1593553824,12564,12564
1593556461,12531,12531
1593559522,12536,12536
1593561022,12563,12563
1593562921,12563,12563
1593563661,12469,12469
1593566317,12505,12505
1593567259,12509,12509
1593569693,12519,12519
1593570859,12521,12521
1593573663,12591,12591
1593575424,12626,12626
1593576524,12631,12631
1593578063,12634,12634
1593580924,12572,12572
1593582625,12619,12619
1593583740,12550,12550
1593585227,12557,12557
1593587366,12573,12573
1593588879,12569,12569
1593590508,12561,12561
1593591867,12569,12569
1593593430,12562,12562
1593596066,12552,12552
1593598219,12600,12600
1593599663,12601,12601
1593601555,12643,12643
1593603265,12651,12651
1593604742,12681,12681
1593606864,12666,12666
1593608919,12707,12707
1593610043,12734,12734
1593610466,12721,12721
1593612532,12733,12733
1593614063,12718,12718
1593616211,12724,12724
1593617442,12697,12697
1593621262,12710,12710
1593622767,12721,12721
1593624321,12721,12721
1593624857,12698,12698
1593626904,12550,12550
1593628460,12489,12489
1593632063,12463,12463
1593633951,12457,12457
1593635663,12452,12452
1593637136,12417,12417
1593638718,12411,12411
1593639262,12395,12395
1593641386,12363,12363
1593642859,12364,12364
1593644591,12348,12348
1593645919,12365,12365
1593647420,12374,12374
1593650062,12324,12324
1593653662,12322,12322
1593654880,12348,12348
1593656667,12321,12321
1593658225,12330,12330
1593659685,12291,12291
1593661069,12313,12313
1593662894,12342,12342
1593664463,12361,12361
1593668063,12376,12376
1593669806,12367,12367
1593671124,12369,12369
1593672625,12359,12359
1593674725,12408,12408
1593676207,12438,12438
1593678321,12425,12425
1593678860,12425,12425
1593681075,12452,12452
1593682464,12453,12453
1593683630,12463,12463
1593686058,7967,7967
1593688681,12441,12441
1593689953,12438,12438
1593692486,12437,12437
1593693267,12429,12429
1593694489,12440,12440
1593696088,12112,12112
1593696866,12073,12073
1593700462,11845,11845
1593701804,11876,11876
1593703000,11841,11841
1593704063,11847,11847
1593707662,11809,11809
1593709898,11795,11795
1593711262,11754,11754
1593714858,11686,11686
1593717390,11665,11665
1593718460,11621,11621
1593721524,11471,11471
1593722668,11433,11433
1593724343,11423,11423
1593726007,11446,11446
1593729261,11378,11378
1593730443,11411,11411
1593732320,11369,11369
1593733820,11368,11368
1593735232,11325,11325
1593737424,11333,11333
1593739521,11322,11322
1593741017,11341,11341
1593743667,11339,11339
1593747266,11328,11328
1593749000,11374,11374
1593750862,11350,11350
