DateTime,AddedIPs,RemovedIPs
1593250472,6,19
1593251739,8,16
1593253175,6,28
1593254070,7,12
1593255799,23,21
1593257134,4,0
1593258623,3,38
1593260735,6,132
1593262231,8,38
1593263683,7,40
1593265469,20,72
1593266681,14,27
1593268469,20,9
1593269781,27,4
1593272072,11,33
1593275131,11,30
1593276750,22,30
1593278730,34,33
1593280347,15,26
1593282334,4,70
1593283831,6,44
1593286477,33,75
1593287611,7,6
1593289537,13,103
1593291032,4,66
1593292744,8,31
1593293671,1,14
1593295680,14,193
1593297274,25,134
1593299133,3,72
1593300873,4,5
1593302510,5,85
1593304473,3,13
1593306385,5,66
1593308071,10,36
1593311676,64,107
1593313619,52,61
1593315272,14,7
1593318878,243,52
1593320899,88,6
1593322474,9,5
1593325173,6,12
1593328170,10,47
1593329672,6,3
1593331473,18,12
1593333269,3,30
1593335518,557,324
1593338971,962,76
1593340471,19,10
1593341662,30,1
1593343531,273,67
1593344073,1,14
1593345544,18,82
1593347135,2,6
1593347668,2,44
1593348886,3,5
1593350036,23,51
1593351270,0,13
1593354331,31,60
1593355833,49,12
1593356457,2,61
1593357907,17,2
1593358473,6,9
1593360379,60,91
1593361528,17,3
1593362076,1,14
1593363174,29,36
1593364569,3,35
1593365673,1,14
1593366806,37,6
1593367951,1,97
1593369273,5,26
1593370743,39,72
1593371910,4,2
1593372871,5,11
1593376472,45,70
1593379016,42,80
1593380131,4,9
1593383673,50,91
1593386259,39,61
1593388235,54,5
1593390337,5,55
1593393486,154,59
1593394472,34,6
1593395947,38,49
1593397229,12,2
1593398459,59,84
1593399857,14,87
1593401672,4,10
1593404495,45,58
1593405272,20,4
1593408040,12,27
1593408876,0,7
1593412470,151,26
1593414894,89,39
1593416069,1,11
1593417409,46,3
1593420264,29,25
1593422511,182,15
1593423277,4,9
1593425441,69,27
1593426779,5,11
1593429367,52,11
1593431437,69,21
1593432655,8,15
1593435045,63,21
1593436985,41,27
1593437679,2,14
1593440018,44,27
1593441278,22,7
1593443680,35,20
1593444871,14,7
1593446931,55,41
1593448181,8,18
1593449431,36,6
1593452069,1,25
1593453211,35,3
1593454437,3,7
1593456064,71,29
1593457854,207,22
1593459271,28,21
1593460496,48,7
1593462339,29,14
1593462878,1,8
1593466470,41,68
1593469317,99,7
1593470069,0,7
1593471478,78,7
1593473039,6,4
1593473673,0,6
1593477276,99,17
1593480870,118,74
1593483444,80,47
1593484474,3,28
1593488075,85,151
1593489236,40,52
1593490551,2,51
1593491677,3,18
1593494363,8,9
1593495276,4,7
1593498877,26,12
1593500325,6,16
1593501601,12,1
1593502478,6,6
1593503955,0,218
1593506072,14,234
1593507472,29,4
1593508947,5,869
1593510642,9,288
1593513273,11,353
1593516877,18,18
1593518644,40,9
1593520474,15,25
1593522661,28,6
1593523815,8,36
1593525041,214,38
1593527673,319,43
1593529074,188,18
1593530252,17,42
1593531393,11,33
1593532562,39,25
1593534874,16,20
1593536197,55,25
1593537929,21,17
1593538468,5,2
1593541533,86,41
1593543043,67,40
1593544465,31,10
1593545578,2,4
1593547137,68,48
1593548281,5,6
1593549886,81,49
1593552334,69,25
1593553835,42,4
1593556473,9,42
1593559534,59,55
1593561035,49,23
1593562941,37,37
1593563673,4,98
1593566331,80,44
1593567273,19,24
1593569721,65,55
1593570872,14,12
1593573681,114,41
1593575437,60,29
1593576536,16,12
1593578080,12,10
1593580943,58,120
1593582639,86,42
1593583755,16,82
1593585256,21,12
