DateTime,AddedIPs,RemovedIPs
1593184353,18,5
1593186252,36,30
1593188192,30,29
1593190114,29,39
1593192268,32,34
1593194171,33,28
1593196113,38,36
1593198013,34,51
1593199944,40,39
1593201849,26,0
1593203767,27,33
1593207609,26,55
1593209776,21,32
1593211693,34,28
1593215529,28,77
1593217475,15,27
1593219369,26,32
1593221289,15,22
1593223223,12,27
1593225131,16,30
1593227048,13,27
1593228996,13,36
1593230969,16,28
1593232813,18,31
1593234745,18,33
1593236654,20,21
1593238569,23,27
1593240511,15,30
1593242408,17,29
1593244331,28,29
1593246268,9,18
1593248170,9,14
1593250087,9,30
1593252033,8,22
1593253931,11,22
1593255879,7,36
1593257770,7,24
1593259697,37,33
1593261616,36,0
1593263548,19,26
1593265447,29,28
1593267394,24,11
1593269290,9,18
1593271217,5,18
1593273155,7,37
1593275054,10,34
1593276968,5,27
1593278908,24,34
1593280816,22,37
1593282731,19,35
1593284669,30,35
1593286573,19,42
1593288516,21,29
1593290416,32,31
1593292577,22,0
1593294492,21,29
1593296425,22,24
1593298329,30,34
1593300251,29,0
1593302186,21,27
1593304087,26,18
1593306009,28,30
1593307944,21,19
1593309849,26,16
1593311767,31,13
1593313718,21,13
1593315611,18,10
1593317530,25,19
1593319466,23,20
1593321371,27,22
1593323318,18,14
1593325225,20,30
1593327127,33,15
1593329070,27,18
1593330968,34,23
1593332886,10,9
1593334830,9,8
1593336733,10,11
1593338986,9,7
1593340830,12,11
1593343709,10,8
1593345619,24,10
1593347592,27,39
1593349723,31,27
1593351606,21,22
1593353530,35,26
1593355476,17,23
1593357410,9,7
1593359304,2,7
1593361220,12,5
1593363137,14,6
1593365068,12,3
1593366965,12,25
1593368904,11,22
1593370841,8,15
1593372757,19,25
1593374681,17,21
1593376606,18,20
1593378493,17,31
1593380408,14,24
1593382345,21,23
1593384248,17,20
1593386169,27,27
1593388108,16,23
1593390005,19,24
1593391924,30,25
1593393865,17,30
1593395765,35,18
1593397684,24,28
1593399622,32,32
1593401526,20,25
1593403527,22,15
1593405385,32,34
1593407295,34,27
1593409209,28,28
1593411149,28,22
1593413048,28,18
1593414971,32,26
1593416911,28,32
1593420726,8,51
1593422676,11,8
1593424565,10,13
1593426493,25,11
1593428481,48,14
1593430328,47,13
1593432253,35,23
1593434185,30,26
1593436092,42,0
1593438008,38,54
1593439947,26,35
1593441850,30,0
1593445710,16,37
1593447606,41,0
1593449544,58,29
1593451465,27,0
1593453365,58,10
1593455287,28,16
1593457222,57,13
1593459125,49,5
1593461294,45,47
1593463209,41,14
1593465149,29,14
1593467049,33,13
1593468970,36,21
1593470907,39,18
1593472808,28,27
1593474727,27,15
1593476668,33,17
1593478570,39,24
1593480729,40,20
1593482657,39,36
1593484589,39,24
1593486494,29,29
1593488411,29,22
1593490354,39,20
1593492250,24,30
1593496112,41,57
1593498031,33,27
1593499925,33,28
1593501866,34,34
1593505686,17,27
1593507629,31,7
1593509531,18,8
1593511770,26,12
1593513611,20,23
1593515547,26,40
1593517446,27,44
1593519368,34,38
1593521308,39,35
1593523205,24,37
1593525124,28,42
1593527067,32,29
1593529050,38,30
1593530910,26,0
1593532811,30,13
1593534753,25,42
1593536648,27,57
1593538566,15,29
1593540515,22,61
1593542409,22,23
1593544360,25,53
1593546250,18,47
1593548175,26,48
1593550115,17,37
1593552007,22,27
1593553925,22,37
1593556115,14,26
1593558012,37,30
1593559952,38,31
1593561850,36,18
1593563767,18,39
1593565719,22,33
1593567608,19,42
1593569529,24,42
1593571471,26,29
1593573376,37,36
1593575293,27,30
1593577206,30,34
1593579128,27,31
1593581068,30,0
1593582965,28,35
1593586096,20,41
1593588256,22,30
1593590198,26,31
1593592092,13,18
1593594040,28,24
1593595929,45,0
1593598218,36,50
1593600030,37,26
1593601949,17,34
1593603848,34,34
1593605798,29,35
1593607689,33,0
1593609607,31,68
1593611551,21,29
1593613453,17,0
1593615367,23,39
1593617287,16,37
1593619209,14,23
1593621127,23,28
1593623297,38,51
1593625377,21,16
1593627371,22,24
1593629314,19,18
1593631207,22,26
1593633126,41,17
1593635067,31,27
1593636966,29,18
1593638885,30,18
1593640831,36,20
1593642727,38,18
1593644933,37,38
1593646811,32,34
1593648732,37,32
1593650668,33,21
1593652570,34,26
1593654736,34,17
1593656651,38,19
1593658587,28,29
1593660485,27,35
1593662413,40,24
1593664325,33,27
1593666507,22,22
1593668441,18,29
1593670340,28,28
1593672254,17,0
1593674174,24,18
1593676095,21,20
1593678013,15,19
1593679935,22,15
1593681879,17,31
1593683770,24,38
1593685709,21,38
1593687616,20,39
1593689551,20,14
1593691452,14,42
1593693369,25,25
1593695325,24,24
1593697213,34,27
1593699134,30,20
1593701071,27,18
1593702975,36,28
1593704894,28,13
1593706814,33,17
1593708733,35,23
1593710679,34,31
1593712569,22,21
1593714489,30,19
1593716434,29,13
1593718329,28,21
1593720494,27,41
1593722415,34,29
1593724355,32,32
1593726256,33,25
1593728171,36,36
1593732007,31,69
1593733925,33,31
1593735879,31,35
1593737768,27,40
1593739687,31,31
1593741641,26,36
1593743531,35,37
1593745698,33,27
1593747636,26,32
1593749536,28,41
1593751475,25,34
1593753376,19,24
1593755294,23,20
1593757234,18,26
1593759137,22,22
1593761047,21,29
1593764891,11,41
1593766822,21,19
1593768754,25,14
1593770648,24,23
1593772566,23,16
1593774524,19,15
1593776413,14,16
1593778331,16,14
1593782171,29,51
1593784093,34,29
1593786032,28,27
1593787928,38,30
1593791791,5,74
1593793717,6,32
1593795635,5,30
1593801420,25,89
1593803295,31,29
1593805293,26,28
1593807205,31,25
1593809053,31,36
1593810971,27,34
1593812915,27,35
1593814807,24,30
1593816730,26,0
1593818674,29,29
1593820569,30,40
1593822484,28,31
1593826411,24,66
1593828273,26,27
1593830172,20,28
1593832119,24,37
1593834012,25,0
