DateTime,Entries,UniqueIPs
1593184353,6018,6362
1593186252,6041,6386
1593188192,6033,6377
1593190114,6032,6374
1593192268,6039,6381
1593194171,6037,6379
1593196113,6059,6399
1593198013,6069,6408
1593199944,6082,6421
1593201849,6087,6425
1593203767,6078,6420
1593207609,6036,6378
1593209776,6026,6367
1593211693,6025,6367
1593215529,6005,6347
1593217475,6000,6342
1593219369,6022,6364
1593221289,6032,6374
1593223223,6026,6366
1593225131,6015,6357
1593227048,6015,6357
1593228996,6001,6343
1593230969,6010,6352
1593232813,6018,6360
1593234745,6030,6372
1593236654,6006,6348
1593238569,6024,6366
1593240511,6024,6366
1593242408,6033,6375
1593244331,6045,6386
1593246268,6036,6377
1593248170,6018,6359
1593250087,6024,6365
1593252033,6005,6345
1593253931,6010,6352
1593255879,5986,6324
1593257770,5989,6327
1593259697,5998,6335
1593261616,5999,6335
1593263548,6007,6343
1593265447,5997,6332
1593267394,6012,6347
1593269290,6003,6338
1593271217,5988,6323
1593273155,5976,6308
1593275054,5964,6298
1593276968,5955,6288
1593278908,5965,6296
1593280816,5965,6295
1593282731,5950,6280
1593284669,5946,6277
1593286573,5949,6280
1593288516,5939,6269
1593290416,5943,6274
1593292577,5958,6289
1593294492,5948,6279
1593296425,5942,6273
1593298329,5946,6276
1593300251,5953,6283
1593302186,5944,6272
1593304087,5955,6283
1593306009,5953,6278
1593307944,5954,6279
1593309849,5952,6275
1593311767,5957,6281
1593313718,5947,6271
1593315611,5959,6283
1593317530,5961,6279
1593319466,5962,6280
1593321371,5953,6271
1593323318,5943,6260
1593325225,5945,6261
1593327127,5933,6249
1593329070,5931,6246
1593330968,5947,6262
1593332886,5944,6258
1593334830,5940,6253
1593336733,5934,6247
1593338986,5928,6241
1593340830,5919,6234
1593343709,5889,6201
1593345619,5884,6193
1593347592,5887,6195
1593349723,5884,6193
1593351606,5878,6187
1593353530,5875,6186
1593355476,5868,6179
1593357410,5853,6163
1593359304,5841,6145
1593361220,5832,6133
1593363137,5821,6121
1593365068,5798,6097
1593366965,5805,6104
1593368904,5802,6101
1593370841,5797,6095
1593372757,5791,6090
1593374681,5789,6088
1593376606,5790,6089
1593378493,5802,6101
1593380408,5798,6097
1593382345,5794,6095
1593384248,5794,6096
1593386169,5801,6102
1593388108,5790,6093
1593390005,5802,6105
1593391924,5809,6111
1593393865,5801,6103
1593395765,5809,6115
1593397684,5800,6106
1593399622,5818,6124
1593401526,5828,6134
1593403527,5807,6113
1593405385,5822,6129
1593407295,5822,6128
1593409209,5813,6119
1593411149,5810,6117
1593413048,5811,6119
1593414971,5823,6127
1593416911,5829,6133
1593420726,5827,6130
1593422676,5825,6128
1593424565,5818,6121
1593426493,5822,6125
1593428481,5843,6147
1593430328,5867,6170
1593432253,5879,6181
1593434185,5896,6198
1593436092,5906,6208
1593438008,5918,6220
1593439947,5925,6228
1593441850,5913,6213
1593445710,5883,6181
1593447606,5882,6180
1593449544,5904,6202
1593451465,5920,6219
1593453365,5944,6243
1593455287,5946,6241
1593457222,5963,6258
1593459125,5990,6285
1593461294,6001,6296
1593463209,6011,6308
1593465149,5991,6287
1593467049,5992,6288
1593468970,5993,6288
1593470907,5999,6296
1593472808,5994,6290
1593474727,6004,6302
1593476668,6003,6301
1593478570,6030,6328
1593480729,6045,6342
1593482657,6059,6356
1593484589,6078,6375
1593486494,6074,6371
1593488411,6072,6369
1593490354,6082,6378
1593492250,6085,6382
1593496112,6085,6379
1593498031,6082,6377
1593499925,6088,6385
1593501866,6089,6386
1593505686,6079,6375
1593507629,6081,6377
1593509531,6082,6378
1593511770,6086,6382
1593513611,6084,6378
1593515547,6082,6376
1593517446,6084,6378
1593519368,6088,6381
1593521308,6082,6375
1593523205,6077,6370
1593525124,6071,6366
1593527067,6072,6367
1593529050,6079,6374
1593530910,6067,6362
1593532811,6069,6362
1593534753,6051,6344
1593536648,6052,6346
1593538566,6035,6328
1593540515,6030,6323
1593542409,6031,6323
1593544360,6018,6309
1593546250,6004,6295
1593548175,6003,6294
1593550115,5988,6278
1593552007,5983,6273
1593553925,5978,6267
1593556115,5966,6253
1593558012,5978,6265
1593559952,5991,6278
1593561850,6018,6305
1593563767,6015,6301
1593565719,6007,6293
1593567608,5997,6282
1593569529,6004,6289
1593571471,6004,6289
1593573376,6008,6292
1593575293,6007,6289
1593577206,6005,6287
1593579128,6002,6284
1593581068,6010,6292
1593582965,6013,6295
1593586096,5995,6278
1593588256,5996,6279
1593590198,5993,6275
1593592092,5995,6277
1593594040,5994,6276
1593595929,6015,6298
1593598218,6024,6307
1593600030,6020,6307
1593601949,6008,6295
1593603848,6006,6295
1593605798,6012,6301
1593607689,6018,6307
1593609607,6015,6306
1593611551,6019,6309
1593613453,6015,6305
1593615367,6015,6305
1593617287,6026,6316
1593619209,6016,6300
1593621127,6023,6307
1593623297,6019,6303
1593625377,6010,6296
1593627371,6008,6294
1593629314,6000,6285
1593631207,5985,6270
1593633126,5996,6281
1593635067,5988,6273
1593636966,5993,6277
1593638885,5994,6278
1593640831,6002,6285
1593642727,6012,6295
1593644933,6016,6299
1593646811,6020,6303
1593648732,6026,6309
1593650668,6025,6308
1593652570,6030,6313
1593654736,6035,6315
1593656651,6050,6330
1593658587,6051,6331
1593660485,6049,6329
1593662413,6068,6344
1593664325,6088,6365
1593666507,6089,6367
1593668441,6082,6361
1593670340,6077,6357
1593672254,6065,6346
1593674174,6072,6353
1593676095,6076,6356
1593678013,6076,6355
1593679935,6078,6356
1593681879,6072,6350
1593683770,6068,6346
1593685709,6066,6344
1593687616,6066,6344
1593689551,6060,6338
1593691452,6062,6340
1593693369,6059,6337
1593695325,6063,6341
1593697213,6071,6349
1593699134,6081,6359
1593701071,6085,6363
1593702975,6109,6387
1593704894,6098,6376
1593706814,6094,6372
1593708733,6084,6362
1593710679,6075,6353
1593712569,6066,6344
1593714489,6055,6334
1593716434,6036,6314
1593718329,6030,6309
1593720494,6049,6329
1593722415,6056,6336
1593724355,6051,6330
1593726256,6056,6334
1593728171,6054,6335
1593732007,6023,6303
1593733925,6024,6304
1593735879,6027,6307
1593737768,6025,6305
1593739687,6027,6311
1593741641,6018,6302
1593743531,6016,6300
1593745698,6014,6299
1593747636,6005,6290
1593749536,6008,6291
1593751475,6000,6283
1593753376,5991,6275
1593755294,5992,6275
1593757234,5988,6270
1593759137,5979,6261
1593761047,5974,6258
1593764891,5953,6237
1593766822,5957,6240
1593768754,5956,6240
1593770648,5961,6246
1593772566,5965,6249
1593774524,5955,6238
1593776413,5951,6234
1593778331,5943,6225
1593782171,5947,6229
1593784093,5947,6229
1593786032,5952,6233
1593787928,5957,6238
1593791791,5922,6202
