DateTime,AddedIPs,RemovedIPs
1593184353,46,43
1593186252,59,50
1593188192,62,60
1593190114,54,62
1593192268,55,52
1593194171,62,52
1593196113,58,64
1593198013,62,60
1593199944,65,60
1593201849,49,67
1593203767,63,48
1593207609,57,55
1593209776,47,60
1593211693,66,50
1593215529,51,69
1593217475,37,51
1593219369,54,38
1593221289,37,53
1593223223,36,38
1593225131,42,35
1593227048,46,42
1593228996,29,45
1593230969,35,29
1593232813,44,36
1593234745,44,40
1593236654,32,46
1593238569,46,36
1593240511,35,46
1593242408,36,34
1593244331,51,35
1593246268,20,53
1593248170,21,19
1593250087,24,21
1593252033,17,25
1593253931,20,16
1593255879,18,21
1593257770,20,17
1593259697,67,22
1593261616,63,62
1593263548,48,62
1593265447,57,46
1593267394,46,58
1593269290,17,52
1593271217,10,18
1593273155,21,10
1593275054,16,21
1593276968,8,14
1593278908,52,10
1593280816,48,47
1593282731,38,49
1593284669,52,38
1593286573,53,51
1593288516,42,49
1593290416,58,45
1593292577,49,52
1593294492,51,56
1593296425,57,50
1593298329,52,57
1593300251,59,50
1593302186,56,57
1593304087,50,56
1593306009,66,55
1593307944,46,60
1593309849,59,47
1593311767,60,61
1593313718,49,61
1593315611,49,47
1593317530,50,49
1593319466,62,52
1593321371,59,66
1593323318,54,51
1593325225,42,55
1593327127,64,44
1593329070,61,67
1593330968,69,62
1593332886,25,71
1593334830,18,27
1593336733,23,16
1593338986,24,23
1593340830,31,24
1593343709,25,31
1593345619,46,27
1593347592,48,44
1593349723,61,43
1593351606,58,63
1593353530,56,57
1593355476,41,59
1593357410,27,41
1593359304,8,30
1593361220,23,8
1593363137,29,22
1593365068,17,30
1593366965,31,17
1593368904,20,31
1593370841,17,19
1593372757,47,13
1593374681,48,46
1593376606,41,50
1593378493,31,37
1593380408,37,35
1593382345,39,37
1593384248,33,42
1593386169,46,30
1593388108,38,49
1593390005,34,34
1593391924,48,33
1593393865,28,49
1593395765,67,29
1593397684,53,66
1593399622,60,50
1593401526,46,60
1593403527,55,46
1593405385,50,53
1593407295,63,55
1593409209,52,64
1593411149,55,49
1593413048,54,58
1593414971,56,56
1593416911,53,55
1593420726,19,56
1593422676,19,18
1593424565,23,18
1593426493,47,24
1593428481,65,43
1593430328,71,70
1593432253,61,67
1593434185,62,62
1593436092,56,58
1593438008,68,60
1593439947,56,65
1593441850,54,58
1593445710,24,58
1593447606,63,24
1593449544,74,60
1593451465,52,74
1593453365,78,54
1593455287,52,78
1593457222,73,51
1593459125,62,72
1593461294,64,61
1593463209,69,65
1593465149,56,64
1593467049,52,55
1593468970,63,57
1593470907,64,61
1593472808,65,64
1593474727,49,62
1593476668,62,47
1593478570,63,67
1593480729,65,65
1593482657,63,61
1593484589,65,68
1593486494,58,59
1593488411,61,64
1593490354,66,62
1593492250,63,64
1593496112,62,63
1593498031,70,64
1593499925,66,65
1593501866,57,70
1593505686,34,58
1593507629,60,36
1593509531,44,56
1593511770,58,43
1593513611,53,55
1593515547,49,55
1593517446,62,53
1593519368,61,60
1593521308,66,63
1593523205,60,62
1593525124,58,60
1593527067,53,53
1593529050,54,58
1593530910,51,55
1593532811,45,51
1593534753,42,44
1593536648,38,43
1593538566,36,38
1593540515,36,35
1593542409,43,34
1593544360,46,46
1593546250,43,49
1593548175,41,40
1593550115,32,43
1593552007,38,33
1593553925,43,33
1593556115,36,47
1593558012,55,37
1593559952,55,55
1593561850,55,50
1593563767,40,52
1593565719,43,45
1593567608,43,41
1593569529,42,42
1593571471,55,44
1593573376,66,55
1593575293,55,65
1593577206,51,52
1593579128,54,52
1593581068,47,59
1593582965,49,47
1593586096,46,51
1593588256,41,44
1593590198,40,41
1593592092,31,43
1593594040,65,29
1593595929,65,61
1593598218,67,65
1593600030,64,66
1593601949,37,67
1593603848,63,36
1593605798,50,60
1593607689,57,53
1593609607,53,53
1593611551,44,55
1593613453,42,49
1593615367,44,40
1593617287,28,48
1593619209,31,28
1593621127,45,30
1593623297,53,44
1593625377,56,54
1593627371,38,55
1593629314,30,40
1593631207,49,28
1593633126,72,47
1593635067,61,73
1593636966,52,57
1593638885,51,52
1593640831,63,55
1593642727,65,63
1593644933,67,63
1593646811,59,66
1593648732,66,59
1593650668,69,69
1593652570,67,68
1593654736,62,66
1593656651,70,64
1593658587,67,67
1593660485,60,68
1593662413,63,59
1593664325,62,66
1593666507,61,59
1593668441,41,63
1593670340,46,40
1593672254,43,50
1593674174,53,43
1593676095,51,54
1593678013,37,47
1593679935,37,34
1593681879,36,40
1593683770,39,37
1593685709,38,37
1593687616,42,40
1593689551,48,39
1593691452,42,46
1593693369,51,44
1593695325,49,52
1593697213,55,48
1593699134,58,55
1593701071,57,60
1593702975,59,59
1593704894,64,57
1593706814,53,65
1593708733,66,53
1593710679,64,67
1593712569,48,66
1593714489,63,44
1593716434,51,65
1593718329,56,49
1593720494,47,52
1593722415,65,47
1593724355,63,66
1593726256,66,66
1593728171,66,67
1593732007,50,63
1593733925,60,54
1593735879,68,58
1593737768,55,66
1593739687,63,56
1593741641,58,61
1593743531,58,61
1593745698,66,52
1593747636,55,67
1593749536,72,62
1593751475,64,70
1593753376,36,64
1593755294,43,36
1593757234,41,45
1593759137,43,39
1593761047,39,45
1593764891,21,38
1593766822,45,24
1593768754,52,41
1593770648,45,52
1593772566,43,45
1593774524,50,44
1593776413,44,51
1593778331,42,43
1593782171,63,43
1593784093,57,62
1593786032,49,53
1593787928,68,53
1593791791,12,71
1593793717,14,13
1593795635,11,14
1593801420,61,11
1593803295,56,55
1593805293,48,61
1593807205,67,48
1593809053,54,65
1593810971,53,55
1593812915,51,45
1593814807,52,50
1593816730,55,54
1593818674,62,57
