DateTime,AddedIPs,RemovedIPs
1592539205,60,59
1592541122,15,3596
1592543042,3583,0
1592544962,45,33
1592548802,21,23
1592552644,23,32
1592556482,31,30
1592560322,33,19
1592564162,19,27
1592568004,21,27
1592569923,12,3500
1592571842,3489,0
1592573762,22,23
1592577603,24,28
1592581444,20,16
1592585283,22,20
1592589122,28,24
1592592962,21,25
1592596805,28,23
1592600642,20,24
1592602564,25,25
1592604483,24,30
1592608322,50,26
1592614081,46,64
1592616003,67,55
1592617923,76,41
1592622010,46,53
1592623923,57,66
1592626082,50,41
1592629921,133,126
1592631842,142,152
1592635682,25,22
1592639522,30,22
1592643362,27,17
1592645281,28,46
1592647202,48,38
1592651042,19,27
1592652962,17,24
1592655122,17,29
1592657042,29,17
1592658962,17,29
1592660882,26,28
1592664721,19,20
1592670722,42,38
1592672641,18,22
1592678641,20,25
1592680562,18,19
1592686322,30,27
1592690162,27,36
1592694004,22,32
1592695922,0,4407
1592698082,4444,2
1592700003,41,20
1592703843,34,47
1592707682,62,47
1592712483,52,55
1592714402,43,42
1592720162,40,46
1592722082,26,26
1592725922,20,19
1592729762,30,25
1592733604,27,21
1592735523,19,25
1592737683,20,22
1592743443,20,37
1592747283,25,25
1592751122,20,21
1592754964,20,18
1592758805,21,19
1592760722,7,4259
1592762643,4246,0
1592764561,24,20
1592768402,26,21
1592772242,21,21
1592776081,22,28
1592779922,25,24
1592783762,57,25
1592787603,23,206
1592789524,12,3707
1592791681,3690,0
1592795521,50,50
1592797442,58,59
1592803202,42,43
1592805122,48,36
1592808962,22,31
1592814722,13,4672
1592816641,4678,0
1592818562,23,27
1592822401,19,20
1592826243,25,33
1592828163,33,25
1592830322,46,59
1592834162,29,21
1592836082,26,27
1592839922,14,3073
1592841841,3057,0
1592843762,24,27
1592847602,39,28
1592851442,24,18
1592855282,29,28
1592859123,21,28
1592862963,25,32
1592866808,27,28
1592870883,54,31
1592872802,24,31
1592876642,39,28
1592878563,52,61
1592884322,59,61
1592888161,35,37
1592892003,39,32
1592893922,4,4110
1592895842,4089,0
1592897762,30,21
1592901603,17,23
1592903521,40,28
1592909283,27,24
1592913123,25,23
1592915042,33,31
1592920804,23,27
1592922722,27,26
1592926802,31,21
1592930642,21,26
1592934482,25,36
1592938322,25,19
1592942162,31,26
1592946004,25,20
1592947924,22,33
1592950082,31,27
1592955842,48,36
1592959682,26,27
1592963521,52,36
1592967362,44,59
1592969281,71,65
1592973122,18,3534
1592975065,3519,0
1592976962,45,52
1592980802,28,24
1592984642,35,15
1592988482,20,33
1592990403,48,55
1592992322,49,48
1592996162,22,23
1593000004,22,29
1593001923,20,19
1593005763,25,26
1593009604,18,31
1593013444,34,25
1593017522,27,30
1593021362,23,26
1593025442,31,39
1593027362,45,25
1593031202,15,20
1593035042,40,29
1593038882,36,26
1593042721,51,25
1593046562,20,20
1593050403,39,46
1593052322,42,59
1593056163,58,52
1593060003,36,35
1593061922,58,50
1593063842,50,58
1593065762,58,50
1593067682,25,23
1593071522,31,25
1593073442,18,23
1593081122,20,25
1593083042,11,25
1593084962,34,26
1593086883,19,21
1593092643,34,19
1593096482,23,25
1593100322,32,27
1593106083,29,53
1593108005,20,28
1593109922,21,24
1593113761,30,32
1593115682,24,24
1593121442,19,21
1593125281,16,22
1593127203,54,30
1593131041,27,31
1593134881,43,38
1593138722,39,51
1593142802,57,54
1593146881,35,42
1593150722,37,37
1593154562,31,37
1593160322,10,4129
1593162242,4118,0
1593164162,31,16
1593168002,14,24
1593171842,22,24
1593175682,12,21
1593179762,27,17
1593181999,23,21
1593185762,16,24
1593187682,18,34
1593193442,30,25
1593197282,28,17
1593201121,22,31
1593204962,16,26
1593208804,25,19
1593210811,40,26
1593216482,46,27
1593218402,29,24
