DateTime,AddedIPs,RemovedIPs
1593357617,24,0
1593360318,19,0
1593360617,75,0
1593361217,1,0
1593363917,4,0
1593364217,10,0
1593364517,1,0
1593367517,1,1
1593367817,8,0
1593371418,9,0
1593371716,6,0
1593372018,1,0
1593375016,5,0
1593375319,1,0
1593378319,1,0
1593378616,4,0
1593379217,1,0
1593385817,1,0
1593389417,2,0
1593390017,54,0
1593392717,0,1
1593393017,1,0
1593399917,1,0
1593403516,0,1
1593405316,5,0
1593405618,6,0
1593407118,1,1
1593410718,28,3
1593411016,76,0
1593411921,2,0
1593414319,4,1
1593414617,14,0
1593415217,0,1
1593415516,6,0
1593415815,0,1
1593417917,1,0
1593418217,9,0
1593420916,0,1
1593421516,2,3
1593421816,1,0
1593425416,1,0
1593425719,2,0
1593428717,1,0
1593429017,3,0
1593429918,2,0
1593432317,1,0
1593432616,2,0
1593432916,6,0
1593435317,1,0
1593435619,7,0
1593435920,1,0
1593439517,14,2
1593439816,27,0
1593443117,4,4
1593443417,8,0
1593444317,1,0
1593446717,1,0
1593447016,2,0
1593447918,2,0
1593450317,0,4
1593450616,2,0
1593457816,1,0
1593461119,2,1
1593464718,17,0
1593465016,111,0
1593468316,4,0
1593468616,17,0
1593471918,2,1
1593472216,8,0
1593475217,6,0
1593475518,5,0
1593475817,9,0
1593479416,1,0
1593483016,5,0
1593487816,1,0
1593489916,1,1
1593490216,1,0
1593491417,10,0
1593493516,2,0
1593493817,1,0
1593497116,2,0
1593498319,0,3
1593500716,1,2
1593507917,0,1
1593508217,1,0
1593509716,0,1
1593515416,0,1
1593518718,0,1
1593519016,1,0
1593525919,1,2
1593529517,0,2
1593529816,1,0
1593543916,34,0
1593544216,112,0
1593547518,12,1
1593547817,19,0
1593551117,4,1
1593551416,8,0
1593554718,3,0
1593555318,7,0
1593558318,1,0
1593558616,3,0
1593561918,1,0
1593565518,1,0
1593569117,0,1
1593572717,1,1
1593573918,2,0
1593576616,1,0
1593579917,0,1
1593581121,1,0
1593582616,0,2
