DateTime,AddedIPs,RemovedIPs
1593395765,21,10
1593397684,19,19
1593397802,123,0
1593398168,63,77
1593399622,21,20
1593401526,46,12
1593403527,14,8
1593405385,22,17
1593405849,17,0
1593407295,138,9
1593409209,14,16
1593410402,289,0
1593411149,16,12
1593413048,17,10
1593414002,128,0
1593414971,21,12
1593416911,15,22
1593417602,128,0
1593420726,5,36
1593421202,122,0
1593422676,8,5
1593424565,4,7
1593424801,136,0
1593426493,15,8
1593428167,769,725
1593428481,36,6
1593430328,191,7
1593432253,159,19
1593434185,25,20
1593436092,149,0
1593438008,28,22
1593439947,18,16
1593441850,17,0
1593442802,262,0
1593445710,11,12
1593447606,33,0
1593449544,48,15
1593450002,425,0
1593451465,20,0
1593453365,50,6
1593455287,18,5
1593457222,41,7
1593459125,481,4
1593461294,32,20
1593463209,30,9
1593465149,129,4
1593465302,136,0
1593467049,20,6
1593468970,110,9
1593470907,26,10
1593472502,105,0
1593472808,18,18
1593474727,9,3
1593475210,36,70
1593476668,17,9
1593478570,25,16
1593479701,152,2039
1593480729,28,7
1593482657,28,21
1593483128,38,0
1593484589,22,14
1593486494,15,15
1593486967,34,63
1593488411,253,10
1593490354,23,10
1593490812,103,15
1593492250,8,18
1593496112,26,26
1593498031,128,11
1593499925,107,12
1593501866,25,17
1593505686,129,13
1593507629,12,4
1593509531,254,7
1593511770,18,6
1593513611,11,12
1593515547,15,24
1593517446,157,35
1593519370,785,780
1593520201,238,0
1593521308,25,25
1593523205,13,27
1593523802,132,0
1593525124,16,29
1593527067,21,17
1593527401,120,0
1593529050,22,9
1593530910,19,0
1593532811,15,10
1593534753,17,28
1593536648,366,42
1593538566,11,18
1593540515,14,46
1593542409,204,13
1593544360,14,38
1593546250,11,38
1593548175,20,27
1593550115,142,25
1593552007,11,13
1593552601,172,0
1593553925,12,20
1593556115,5,13
1593558012,32,20
1593559952,27,19
1593560167,145,0
1593560701,108,0
1593561850,23,6
1593563767,5,16
1593564301,120,3091
1593565719,12,27
1593567608,13,35
1593569529,18,35
1593571471,18,19
1593571698,71,74
1593573376,244,9
1593575293,18,19
1593577206,16,22
1593577448,18,35
1593579128,270,14
1593581068,21,0
1593582965,20,26
1593586096,11,24
1593588256,194,16
1593590198,17,19
1593591302,287,0
1593592092,10,11
1593594040,20,7
1593595929,32,0
1593598218,27,27
1593600030,138,9
1593601949,8,18
1593602102,221,0
1593603848,17,14
1593605798,20,22
1593607689,19,0
1593609607,152,35
1593610114,568,757
1593611551,12,16
1593613453,7,0
1593615367,255,23
1593617287,9,25
1593619209,8,13
1593621127,147,19
1593623297,23,35
1593624601,212,0
1593625377,10,11
1593627371,15,11
1593629314,9,13
1593631207,17,15
1593631802,161,0
1593633126,28,8
1593635067,16,13
1593636966,16,9
1593638885,20,12
1593640831,118,13
1593642727,25,7
1593644933,347,31
1593645369,39,35
1593646811,23,26
1593648732,18,24
1593650668,160,7
1593652570,11,13
1593653402,125,2765
1593654736,22,9
1593656651,25,13
1593656887,68,29
1593658587,15,16
1593660485,15,24
1593662413,133,12
1593664325,20,12
1593666507,247,31
1593668441,9,18
1593670340,19,20
1593672254,158,0
1593672302,75,0
1593674174,18,9
1593676095,137,8
1593678013,10,14
1593679935,16,6
1593681879,7,17
1593683102,221,0
1593683770,13,25
1593685709,12,24
1593687616,14,17
1593689556,759,7
1593690302,242,0
1593691452,8,16
1593693369,14,17
1593695325,14,14
1593697213,27,18
1593699134,133,12
1593701071,16,4
1593701102,264,0
1593702975,22,18
1593704894,15,7
1593706814,23,7
1593708733,126,12
1593710679,19,20
1593711611,735,568
1593712569,12,12
1593714489,230,15
1593716434,22,8
1593718329,15,14
1593720494,235,28
1593722415,21,16
1593723601,95,0
1593724355,19,16
1593726256,20,16
1593727203,95,0
1593728171,17,17
1593730803,70,0
1593732007,24,42
1593733686,32,69
1593733925,25,18
1593734403,83,2900
1593735879,21,21
1593737768,19,19
1593738002,87,0
1593739687,16,15
1593741365,36,39
1593741641,13,19
1593743531,135,23
1593745207,37,66
1593745698,141,15
1593747636,13,19
1593749536,14,26
1593751208,25,0
1593751475,18,16
1593753376,198,12
1593755294,12,6
1593757234,11,14
1593759137,16,11
1593759602,233,0
1593761053,778,18
1593764891,4,26
1593766822,12,13
1593768754,155,7
1593770648,19,11
1593771301,250,0
1593772566,15,7
1593774524,7,10
1593776413,8,7
1593778331,7,7
1593778502,204,0
1593782171,21,31
1593784093,10,21
1593786032,134,19
1593787928,147,19
1593791791,2,42
1593792901,231,0
1593793717,3,17
1593795635,3,17
1593796502,119,0
1593801420,15,48
1593802120,728,1432
1593803295,14,16
1593803701,259,0
1593805293,7,14
1593807205,25,17
1593809053,14,21
1593810971,13,16
1593812915,179,21
1593814807,14,16
1593816730,12,0
1593818167,41,0
1593818674,101,21
1593820569,15,25
1593822484,10,22
1593822601,140,2555
1593826411,18,34
1593828273,19,13
1593829686,73,82
1593830172,228,11
1593832119,9,22
1593834012,14,0
1593835930,24,40
1593837002,171,0
1593837875,18,34
1593839772,11,0
1593841691,14,8
1593843668,10,24
1593844202,179,0
1593845527,9,0
1593847478,10,32
1593849367,13,0
1593851567,6,5
1593853475,237,11
1593855370,5,13
1593857317,10,20
1593859210,115,14
1593861136,6,7
1593863074,212,9
1593864972,20,8
1593866889,14,0
1593868805,17,21
1593870730,129,12
1593872675,15,12
1593873901,232,0
1593874567,8,17
1593876489,2,0
1593877502,135,0
1593878444,4,2
1593880328,11,4
1593881102,95,0
1593882493,5,2
1593884445,11,0
1593884702,78,0
1593886355,15,0
1593888251,19,12
1593890172,12,18
1593892113,8,9
1593893554,677,814
1593893777,410,705
1593896167,14,37
1593898099,13,12
1593899102,171,0
1593900034,17,7
1593901930,18,13
1593903852,9,11
1593905793,7,12
1593906730,179,74
1593907695,9,14
1593909690,16,7
1593911554,15,0
1593913449,8,14
1593913502,273,2621
1593914407,42,0
1593915375,14,24
1593917316,20,9
1593918489,28,69
1593919206,14,13
1593921126,136,6
1593923071,98,9
1593924971,20,41
1593926885,11,11
1593928834,184,14
1593931713,19,10
1593933603,7,7
1593935525,95,14
1593937473,10,11
1593939365,15,9
1593939602,205,0
1593941284,13,8
1593943221,14,5
1593945128,91,12
1593946802,78,0
1593948969,13,16
1593950919,109,12
1593952812,22,18
1593954002,102,0
1593954732,8,10
1593956676,12,11
1593957602,99,0
1593958571,16,9
1593960491,11,12
1593961202,96,0
1593962434,4,5
1593964802,102,0
1593966250,5,4
1593968402,70,0
1593970086,7,12
1593972016,10,14
1593973962,2,9
1593975849,4,11
1593977768,175,7
1593979720,11,10
1593981611,14,0
1593982802,148,0
1593983529,12,13
1593985210,805,907
1593985478,14,15
1593987615,13,13
1593989528,13,16
1593990002,238,0
1593991483,52,11
1593993367,8,7
1593995286,11,9
1593997243,12,11
1593999131,169,2499
1594001294,20,14
1594002969,69,78
1594003214,9,14
1594005155,109,16
1594005302,103,0
1594007049,12,18
1594008902,123,0
1594009685,20,0
1594010890,15,24
1594012808,16,10
1594013051,788,0
1594016101,185,0
1594016650,22,25
1594018593,10,17
1594020484,20,8
1594022416,11,12
1594023302,254,0
1594024355,13,8
1594026528,15,19
1594028408,14,13
1594030502,261,0
1594032251,25,18
1594034172,7,0
1594036115,24,13
1594038010,114,22
1594039929,18,20
1594041883,12,12
1594043767,253,9
1594045688,11,16
1594047644,17,14
1594049531,133,5
1594051448,4,0
1594052101,302,0
1594053426,14,5
1594059160,25,18
1594061055,265,3
1594062967,14,7
1594064915,111,11
1594066805,14,12
1594067403,236,0
1594068729,27,14
1594072571,25,22
1594074485,11,7
1594076443,123,9
1594078327,17,12
1594079102,210,0
1594080276,51,85
1594082166,13,10
1594082702,55,2283
1594084337,17,16
1594086249,13,13
1594088170,65,17
1594090088,20,7
1594092034,235,74
1594093929,20,9
1594095853,19,0
1594097791,195,15
1594098494,25,45
1594099689,18,13
1594101609,13,0
1594104492,871,1581
1594106432,241,11
1594108325,12,18
1594110245,8,7
1594112191,128,13
1594114089,29,16
1594116012,240,8
1594117954,17,0
1594120138,11,20
1594122011,17,9
1594123962,127,25
1594125861,21,17
1594125901,243,0
1594127800,25,16
1594129687,18,12
1594131669,10,12
1594133528,139,9
1594135450,7,12
1594137394,5,4
1594137602,232,0
1594139335,5,2
1594141202,94,0
1594143156,8,11
1594145054,105,0
1594146970,10,24
1594148972,115,13
1594151182,21,12
1594153372,8,21
1594155255,21,24
1594155602,174,0
1594157295,8,0
1594159225,21,22
1594161155,83,7
1594163048,12,18
1594165057,8,14
1594165204,40,0
1594166925,104,11
1594168805,86,2862
1594170738,7,0
1594172655,7,27
1594173129,34,43
1594173602,142,0
1594174593,7,21
1594176525,8,22
1594176966,31,0
1594178405,8,0
1594180324,7,17
1594180803,135,0
1594183450,19,0
1594184165,15,37
1594186084,9,14
1594188035,8,39
1594190884,206,0
1594192808,12,28
1594194724,13,13
1594196174,617,874
1594196647,9,20
1594198592,7,16
1594198802,372,0
1594200531,9,21
1594202404,12,0
