DateTime,AddedIPs,RemovedIPs
1593822121,1,0
1593822722,3,0
1593823921,1,0
1593824403,16,15
1593824521,2,0
1593825722,1,0
1593826322,37,26
1593828242,2,117
1593829321,2,0
1593830162,149,47
1593830521,4,0
1593831121,3,0
1593831721,4,1
1593832322,5,0
1593832921,6,0
1593834002,59,57
1593834122,2,0
1593835582,1,0
1593836521,7,0
1593837842,34,30
1593838921,4,0
1593839521,4,0
1593840121,1,0
1593841321,8,0
1593842521,3,0
1593843603,34,23
1593843721,3,0
1593844921,1,0
1593845521,14,18
1593846121,4,0
1593847321,5,0
1593848521,1,0
1593849362,13,16
1593849721,3,0
1593850922,2,0
1593851555,6,2478
1593851998,1,0
1593852122,1,0
1593853442,2477,0
1593853921,1,0
1593854521,3,0
1593855361,17,17
1593855721,2,0
1593856921,2,1
1593857522,5,0
1593858121,7,0
1593858721,2,0
1593859202,24,17
1593859322,0,1
1593859922,1,0
1593861122,2,0
1593861791,4,0
1593862321,2,0
1593862381,1,0
1593863044,13,18
1593864722,3,0
1593865921,1,0
1593866521,1,0
1593866882,20,19
1593867121,1,0
1593867721,1,0
1593868921,2,0
1593869521,2,0
1593870722,19,16
1593871922,9,1
1593873121,3,0
1593873721,7,0
1593874562,16,17
1593874921,1,0
1593875521,3,0
1593877321,1,1
1593878405,17,17
1593879721,2,0
1593880322,11,11
1593883321,0,1
1593883921,2,0
1593884402,16,13
1593884521,4,0
1593885122,1,0
1593885721,5,0
1593886922,1,0
1593887521,4,0
1593888245,10,26
1593890162,30,20
1593890521,1,0
1593891122,1,0
1593891721,1,0
1593892322,0,1
1593892921,1,0
1593894121,3,0
1593894722,4,0
1593896162,12,12
1593896521,4,0
1593897721,2,0
1593898921,6,0
1593900003,14,13
1593900121,4,0
1593901322,4,0
1593901922,13,1041
1593902521,10,0
1593903843,1029,0
1593904921,6,0
1593905761,36,11
1593906121,8,0
1593906721,5,0
1593907321,0,1
1593908522,3,0
1593909602,17,16
1593909721,2,0
1593910921,3,0
1593912121,5,0
1593913442,44,25
1593914521,5,0
1593915721,2,0
1593916921,7,0
1593917282,34,42
1593918122,2,0
1593919322,8,0
1593920521,11,0
1593921122,48,50
1593921722,4,0
1593922921,1,0
1593924122,6,0
1593924962,33,38
1593925321,7,0
1593926521,6,0
1593927181,1,0
1593927721,1,0
1593928322,2,0
1593928803,35,28
1593930121,4,0
1593930724,5,2173
1593931321,5,0
1593932881,2171,0
1593933722,13,1
1593934802,19,18
1593934921,1,0
1593936121,4,1
1593937321,1,0
1593938642,19,14
1593939121,1,0
1593940048,3,0
1593940921,1,0
1593941522,6,0
1593942121,2,0
1593942482,11,14
1593942721,1,0
1593943321,3,0
1593944521,3,0
1593945121,2,0
1593945721,1,0
1593947521,1,0
1593948242,17,33
1593948721,1,0
1593949321,2,0
1593949922,4,0
1593950406,12,15
1593950521,2,0
1593951121,1,0
1593951721,1,1
1593952387,16,17
1593952921,3,1
1593953521,1,0
1593954121,3,0
1593956162,22,9
1593958081,12,15
1593958321,1,1
1593960121,4,2
1593960721,1,0
1593961921,3,0
1593962521,8,0
1593963461,1,0
1593963842,17,18
1593964921,4,0
1593965521,1,0
1593966721,4,0
1593967321,1,0
1593967921,2,0
1593968521,2,0
1593969601,17,23
1593969721,1,0
1593971521,15,15
1593972121,3,0
1593973321,0,1
1593973921,1,0
1593975362,16,21
1593975722,1,0
1593976921,0,1
1593978121,5,0
1593978721,2,0
1593979205,19,27
1593979321,1,0
1593980521,1,0
1593981121,3,2647
1593981721,4,0
1593983042,2648,0
1593984121,1,0
1593984961,14,13
1593985321,3,0
1593986522,1,0
1593987121,1,1
1593987721,1,0
1593988381,2,0
1593989042,21,15
1593990375,1,0
1593991321,4,0
1593992521,1,1
1593992881,31,19
1593993756,6,0
1593994921,2,0
1593995521,3,0
1593996122,4,0
1593996722,24,19
1593997321,4,0
1593998521,2,0
1593999121,1,0
1593999721,4,0
1594000564,41,23
1594000922,6,0
1594002121,3,1
1594002721,1,0
1594003322,5,0
1594003921,9,1
1594004408,43,45
1594004521,1,1
1594005721,4,0
1594006322,19,1756
1594006922,5,0
1594008482,1744,1
1594008721,1,0
1594009921,2,0
1594010402,26,30
1594010521,5,0
1594010697,1,0
1594011721,6,0
1594012322,47,23
1594012921,3,0
1594013521,1,0
1594014122,5,0
1594015321,7,0
1594015921,7,0
1594016521,1,0
1594017121,7,0
1594017721,3,2
1594018082,20,16
1594018921,8,0
1594019522,1,0
1594020121,1,0
1594021322,2,0
1594021921,13,13
1594022522,14,0
1594023721,6,0
1594024921,4,0
1594025521,5,0
1594025762,13,20
1594026122,1,0
1594026721,9,0
1594027322,5,0
1594027683,16,15
1594027981,1,0
1594028521,1,0
1594029121,1,0
1594030321,3,0
1594030921,4,0
1594031522,31,12
1594032121,4,0
1594032722,16,0
1594033321,1,1
1594034521,10,0
1594035602,15,26
1594035721,4,0
1594036321,7,0
1594036921,2,0
1594037522,17,17
1594038121,2,0
1594039321,1,1
1594040521,1,0
1594041121,3,0
1594042321,12,0
1594042921,2,0
1594043282,19,22
1594043521,2,0
1594044121,5,0
1594044722,2,0
1594045321,2,0
1594045922,1,0
1594046522,2,0
1594047122,22,16
1594047721,2,0
1594048322,3,1
1594048921,2,0
1594049582,4,0
1594050121,14,0
1594050962,22,49
1594051321,1,0
1594051921,2,0
1594052522,1,0
1594053181,7,0
1594053721,4,0
1594054322,1,0
1594054805,26,21
1594054954,1,0
1594056121,9,0
1594056722,18,26
1594056781,2,0
1594057321,2,0
1594058522,5,1
1594059721,5,0
1594060562,35,20
1594060921,6,0
1594062484,25,22
1594062721,2,0
1594063321,3,0
1594064522,7,0
1594065721,0,2
1594068242,32,18
