DateTime,AddedIPs,RemovedIPs
1593745921,1,0
1593747721,5,0
1593748322,4,0
1593748921,5,0
1593749521,1,0
1593750121,3,0
1593751322,3,0
1593751921,4,0
1593752521,1,1
1593754322,5,0
1593754921,3,0
1593756121,3,0
1593757322,7,0
1593758522,5,0
1593759721,1,0
1593760321,1,0
1593761582,2,0
1593762122,2,0
1593764521,1,0
1593765721,1,0
1593766922,1,0
1593767521,1,1
1593768121,26,1
1593768781,21,0
1593769921,1,0
1593770521,1,0
1593771722,5,0
1593773522,5,0
1593775321,1,0
1593775921,1,0
1593776522,2,0
1593777721,2,0
1593778921,1,0
1593780121,1,1
1593780721,1,0
1593781322,4,1
1593783721,3,0
1593784922,1,5
1593786122,2,0
1593787921,3,0
1593788522,1,0
1593790322,3,0
1593790921,3,0
1593791521,3,1
1593792122,1,0
1593792721,1,0
1593793321,1,0
1593793982,0,1
1593794521,0,1
1593795121,1,0
1593796921,3,0
1593797521,1,0
1593798721,6,0
1593799321,3,0
1593799922,3,0
1593800522,4,0
1593801121,4,1
1593801721,1,0
1593802322,3,0
1593802921,2,0
1593804121,1,0
1593805322,1,0
1593806522,1,0
1593807121,3,0
1593807721,2,0
1593808921,9,0
1593809522,3,0
1593810121,5,0
1593811322,2,0
1593812521,1,0
1593813721,3,0
1593814921,2,0
1593815581,1,0
1593816121,2,0
1593816721,3,0
1593817321,2,0
1593819721,5,1
1593820321,1,0
1593820921,3,0
1593822121,1,0
1593822722,3,0
1593823921,1,0
1593824521,2,0
1593825722,1,0
1593826321,1,0
1593828121,2,0
1593829321,2,0
1593830521,4,0
1593831121,3,0
1593831721,4,1
1593832322,5,0
1593832921,6,0
1593834122,2,0
1593835321,1,0
1593836521,7,0
1593837721,2,0
1593838921,4,0
1593839521,4,0
1593840121,1,0
1593841321,8,0
1593842521,3,0
1593843721,3,0
1593844921,1,0
1593846121,4,0
1593847321,5,0
1593848521,1,0
1593849721,3,0
1593850922,2,0
1593851521,2,0
1593852122,1,0
1593853921,1,0
1593854521,3,0
1593855721,2,0
1593856921,2,1
1593857522,5,0
1593858121,7,0
1593858721,2,0
1593859322,0,1
1593859922,1,0
1593861122,2,0
1593861722,4,0
1593862321,2,0
1593862381,1,0
1593864722,3,0
1593865921,1,0
1593866521,1,0
1593867121,1,0
1593867721,1,0
1593868921,2,0
1593869521,2,0
1593870721,1,0
1593871922,9,1
1593873121,3,0
1593873721,7,0
1593874921,1,0
1593875521,3,0
1593877321,1,1
1593877921,3,0
1593879721,2,0
1593880321,1,0
1593883321,0,1
1593883921,2,0
1593884521,4,0
1593885122,1,0
1593885721,5,0
1593886922,1,0
1593887521,4,0
1593888122,3,1
1593890521,1,0
1593891122,1,0
1593891721,1,0
1593892322,0,1
1593892921,1,0
1593894121,3,0
1593894722,4,0
1593896521,4,0
1593897721,2,0
1593898921,6,0
1593900121,4,0
1593901322,4,0
1593901921,2,0
1593902521,10,0
1593903721,1,0
1593904921,6,0
1593906121,8,0
1593906721,5,0
1593907321,0,1
1593908522,3,0
1593909721,2,0
1593910921,3,0
1593912121,5,0
1593913321,6,0
1593914521,5,0
1593915721,2,0
1593916921,7,0
1593918122,2,0
1593919322,8,0
1593920521,11,0
1593921722,4,0
1593922921,1,0
1593924122,6,0
1593925321,7,0
1593926521,6,0
1593927181,1,0
1593927721,1,0
1593928322,2,0
1593930121,4,0
1593930721,1,0
1593931321,5,0
1593933722,13,1
1593934921,1,0
1593936121,4,1
1593937321,1,0
1593938521,3,0
1593939121,1,0
1593939721,3,0
1593940921,1,0
1593941522,6,0
1593942121,2,0
1593942721,1,0
1593943321,3,0
1593944521,3,0
1593945121,2,0
1593945721,1,0
1593947521,1,0
1593948121,0,11
1593948721,1,0
1593949321,2,0
1593949922,4,0
1593950521,2,0
1593951121,1,0
1593951721,1,1
1593952321,1,0
1593952921,3,1
1593953521,1,0
1593954121,3,0
1593955982,6,0
1593957721,2,0
1593958321,1,1
1593960121,4,2
1593960721,1,0
1593961921,3,0
1593962521,8,0
1593963721,1,0
1593964921,4,0
1593965521,1,0
1593966721,4,0
1593967321,1,0
1593967921,2,0
1593968521,2,0
1593969721,1,0
1593972121,3,0
1593973321,0,1
1593975722,1,0
1593976921,0,1
1593978121,5,0
1593978721,2,0
1593979321,1,0
1593980521,1,0
1593981121,1,0
1593981721,4,0
1593984121,1,0
1593985321,3,0
1593986522,1,0
1593987121,1,1
1593987721,1,0
1593988381,2,0
1593990122,3,0
1593991321,1,0
1593992521,1,1
1593993721,6,0
1593994921,2,0
1593995521,3,0
1593996122,4,0
1593997321,4,0
1593998521,2,0
1593999121,1,0
1593999721,4,0
1594000922,6,0
1594002121,3,1
1594002721,1,0
1594003322,5,0
1594003921,9,1
1594004521,1,1
1594005721,4,0
