DateTime,AddedIPs,RemovedIPs
1593234744,43,39
1593236654,53,47
1593238569,53,46
1593240511,57,68
1593242407,41,37
1593244330,59,60
1593246267,48,37
1593248169,50,61
1593250086,46,42
1593252032,50,2937
1593253929,60,64
1593255878,1456,0
1593257768,71,80
1593259696,74,43
1593261615,60,69
1593263547,64,62
1593265445,50,46
1593267393,59,75
1593269288,39,68
1593271215,61,53
1593273153,54,51
1593275052,53,74
1593276966,95,64
1593278906,53,48
1593280815,66,81
1593282729,65,66
1593284668,43,54
1593286571,76,58
1593288514,80,57
1593290414,84,62
1593292575,73,72
1593294489,72,70
1593296423,72,75
1593298329,86,61
1593300251,1267,0
1593302186,51,50
1593304087,103,41
1593306009,89,60
1593307944,110,51
1593309849,47,51
1593311766,63,69
1593313717,44,42
1593315611,68,52
1593317529,71,47
1593319466,70,57
1593321371,48,55
1593323317,29,56
1593325225,39,77
1593327128,66,51
1593329069,48,49
1593330967,61,45
1593332885,43,56
1593334829,33,63
1593336732,33,56
1593338985,71,2886
1593340829,61,76
1593342796,1257,0
1593344670,80,60
1593346569,58,61
1593348491,67,39
1593350426,80,74
1593352327,44,46
1593354250,55,44
1593356182,104,66
1593358087,47,49
1593360008,88,52
1593361925,41,62
1593364097,51,60
1593366006,62,51
1593367947,59,53
1593369851,103,55
1593371768,94,53
1593373706,52,49
1593375606,82,42
1593377527,93,51
1593379468,75,49
1593381365,72,53
1593383284,52,53
1593385225,1068,0
1593387126,47,47
1593389296,46,53
1593391210,73,34
1593393148,47,35
1593395048,64,31
1593396970,61,49
1593398908,39,46
1593400808,62,45
1593402726,52,38
1593404664,61,45
1593406566,51,57
1593408488,42,49
1593410436,70,40
1593412349,39,47
1593414494,44,54
1593416406,39,45
1593418355,58,49
1593420249,57,38
1593422170,72,54
1593424108,47,41
1593426006,44,2853
1593427926,95,86
1593429867,1330,0
1593431764,77,52
1593433684,62,102
1593435631,91,95
1593437523,62,52
1593439445,62,47
1593441383,65,66
1593443297,69,42
1593445207,53,54
1593447144,60,82
1593449050,37,69
1593451213,44,51
1593453124,31,26
1593455063,157,35
1593456965,97,76
1593458884,71,43
1593460824,74,68
1593462729,38,40
1593464646,81,31
1593466584,192,49
1593468485,60,57
1593470412,51,59
1593472346,1141,0
1593474246,40,42
1593476169,88,83
1593478106,103,65
1593480006,50,51
1593481928,39,53
1593483870,32,45
1593485766,45,46
1593487929,160,57
1593489927,60,68
1593491787,44,65
1593493690,46,33
1593495611,38,34
1593497548,75,25
1593499453,67,57
1593501369,71,54
1593503308,40,44
1593505205,43,48
1593507127,58,36
1593509068,54,29
1593510975,72,70
1593512887,52,2886
1593514833,68,88
1593516728,1274,11
1593518647,65,42
1593520588,76,63
1593522500,59,59
1593524407,46,53
1593526348,49,61
1593528557,56,44
1593530405,69,61
1593532361,96,58
1593534243,73,63
1593536190,91,53
1593538089,55,37
1593540007,49,66
1593541950,70,52
1593543847,57,33
1593545791,85,47
1593547692,72,46
1593549605,56,55
1593551552,61,75
1593553447,70,43
1593555611,90,61
1593557553,60,83
1593559447,1160,0
1593561390,71,39
1593563286,44,44
1593565212,65,59
1593567154,55,48
1593569049,59,48
1593570967,44,44
1593572913,41,42
1593574807,40,52
1593576756,48,63
1593578647,62,44
1593580811,95,52
1593582726,42,54
1593584674,44,44
1593586565,66,39
1593588763,50,42
1593590653,86,45
1593592597,64,58
1593594492,45,60
1593596412,83,54
1593598217,49,3055
1593600029,87,61
1593601947,1438,0
1593603847,97,42
1593605796,100,97
1593607688,78,100
1593609605,73,48
1593611549,67,37
1593613452,44,30
1593615365,36,43
1593617285,36,141
1593619207,63,55
1593621125,67,53
1593623300,66,52
1593625376,75,42
1593627369,76,82
1593629313,88,67
1593631205,80,63
1593633124,73,46
1593635065,74,45
1593636963,74,52
1593638883,93,53
1593640829,118,71
1593642725,59,59
1593644934,1273,0
1593646812,70,42
1593648733,49,71
1593650668,70,88
1593652570,61,55
1593654736,66,31
1593656651,50,22
1593658587,67,38
1593660485,48,124
1593662413,64,53
1593664325,58,36
1593666506,53,49
1593668441,63,38
1593670340,51,67
1593672254,54,69
1593674174,59,63
1593676095,56,38
1593678013,53,48
1593679934,46,44
1593681879,42,54
1593683769,78,66
1593685709,62,2927
1593687615,1358,0
1593689550,73,64
1593691452,64,60
1593693369,69,76
1593695324,86,37
1593697212,109,59
1593699133,61,65
1593701070,47,36
1593702974,79,41
1593704893,57,60
1593706813,68,32
1593708732,51,72
1593710678,61,76
1593712568,101,54
1593714488,66,38
1593716432,75,62
1593718328,82,51
1593720492,96,91
1593722413,83,67
1593724354,71,52
1593726254,55,71
1593728169,80,54
1593730112,73,89
1593732008,1213,0
1593733926,72,57
1593735879,66,33
1593737768,76,56
1593739687,51,42
1593741641,54,59
1593743531,50,30
1593745698,47,46
1593747636,54,43
1593749536,48,31
1593751475,53,53
1593753376,71,72
1593755294,40,43
1593757235,68,43
1593759138,50,56
1593761047,59,38
1593762991,79,84
1593764890,67,58
1593766821,60,55
1593768754,50,61
1593770647,46,3049
1593772566,65,72
1593774523,1373,0
1593776412,76,84
1593778330,60,53
1593780270,60,63
1593782170,55,64
1593784092,68,57
1593786031,124,66
1593787926,56,55
1593789845,43,68
1593791790,71,76
1593793716,55,58
1593795634,70,49
1593797620,48,73
1593799447,49,44
1593801418,57,66
1593803293,60,47
1593805292,68,65
1593807204,84,51
1593809051,54,46
1593810969,55,57
1593812913,77,56
1593814805,62,62
1593816730,99,82
1593818674,1262,0
1593820569,41,58
1593822484,36,52
1593824430,46,50
1593826411,41,49
1593828273,54,54
1593830171,50,55
1593832119,38,49
1593834011,53,53
1593835930,46,55
1593837875,64,45
1593839772,82,67
1593841691,33,42
1593843667,56,58
1593845527,43,46
1593847478,40,46
1593849366,73,66
1593851566,46,59
1593853474,41,41
1593855369,49,59
1593857316,73,3046
1593859209,104,71
1593861135,1354,0
1593863073,75,69
1593864971,71,84
1593866888,77,74
1593868804,71,64
1593870729,88,45
1593872674,77,54
1593874566,71,57
1593876487,45,37
1593878443,64,58
1593880327,46,36
1593882491,82,83
1593884443,59,44
1593886353,45,54
1593888249,60,47
1593890170,94,57
1593892111,82,53
1593894275,92,80
1593896165,78,52
1593898097,62,53
1593900032,76,53
1593901930,73,56
1593903852,1166,0
1593905793,56,56
1593907695,44,66
1593909689,98,80
1593911554,187,60
1593913449,65,28
1593915375,85,49
1593917315,44,48
1593919206,37,35
1593921125,49,47
1593923070,63,31
1593924970,65,48
1593926884,31,44
1593928834,64,51
1593930794,60,40
1593932891,75,59
1593934811,36,48
1593936758,35,71
1593938651,71,45
1593940570,33,57
1593942489,49,47
1593944405,43,2794
1593946352,71,118
1593948246,1283,0
1593950417,163,63
1593952419,53,41
1593954247,101,34
1593956168,74,47
1593958114,59,61
1593960010,45,48
1593961929,53,34
1593963876,61,58
1593965769,42,56
1593967689,46,68
1593969708,59,80
1593971526,68,40
1593973448,84,39
1593975392,83,59
1593977284,57,36
1593979210,78,75
1593981152,52,40
1593983046,65,38
1593984964,59,53
1593987162,67,86
1593989050,67,89
1593990970,1130,0
1593992927,68,42
1593994807,51,38
1593996726,43,32
1593998678,60,27
1594000572,60,50
1594002486,52,43
1594004438,48,40
1594006329,48,47
1594008569,51,52
1594010438,41,65
1594012339,29,61
1594014279,35,41
1594016182,38,44
1594018088,49,40
1594020033,44,52
1594021926,44,56
1594023851,38,36
1594025791,50,43
1594027686,54,35
1594029717,75,3174
1594031526,79,53
1594033696,1385,0
1594035610,87,64
1594037559,65,51
1594039447,81,83
1594041368,69,123
1594043314,64,75
1594045204,41,86
1594047130,71,65
1594049077,55,40
1594050965,68,56
1594052885,66,60
1594054840,108,66
1594056724,38,33
1594058645,63,57
1594060590,64,71
1594062493,71,60
1594064406,86,30
