DateTime,AddedIPs,RemovedIPs
1593304206,757,645
1593306006,541,481
1593307806,464,307
1593309605,461,324
1593311406,413,343
1593313205,468,809
1593315005,338,868
1593316806,398,1049
1593318606,426,1752
1593320407,741,1293
1593322207,683,1198
1593324007,549,770
1593325808,539,491
1593327608,516,670
1593329410,534,1216
1593331208,568,1036
1593333009,411,653
1593334809,553,688
1593336609,492,594
1593338411,383,571
1593340212,365,587
1593342013,332,469
1593343813,432,395
1593345613,989,364
1593347414,1335,539
1593349215,753,1286
1593351018,567,1027
1593352818,489,744
1593354619,340,622
1593356422,471,359
1593358221,688,316
1593360020,525,383
1593361822,320,522
1593363623,315,363
1593365422,247,397
1593367224,460,287
1593369024,558,440
1593370825,413,230
1593372623,272,474
1593374424,252,101
1593376223,228,212
1593378022,321,292
1593379821,369,171
1593381620,478,174
1593383419,324,78
1593385219,237,184
1593387019,222,228
1593388821,268,147
1593390619,719,266
1593392415,550,567
1593394216,543,694
1593396015,545,219
1593397817,458,447
1593399614,582,635
1593401415,565,599
1593403212,707,479
1593405014,856,793
1593406813,1018,601
1593408612,861,765
1593410412,761,822
1593412212,652,497
1593414011,719,1022
1593415810,813,570
1593417612,690,756
1593419411,869,711
1593421211,679,724
1593423011,458,956
1593424812,309,769
1593426613,319,668
1593428412,397,1077
1593430212,468,449
1593432014,446,416
1593433813,347,340
1593435613,377,294
1593437414,434,645
1593439212,342,229
1593441013,389,291
1593442812,335,285
1593444612,377,336
1593446414,271,385
1593448214,308,885
1593450013,773,870
1593451813,668,313
1593453613,580,633
1593455416,630,678
1593457215,472,547
1593459016,502,492
1593460816,522,594
1593462615,460,458
1593464419,445,567
1593466217,396,542
1593468015,376,466
1593469816,550,494
1593471618,469,452
1593473418,439,540
1593475217,545,470
1593477018,409,414
1593478822,364,535
1593480619,333,344
1593482421,338,297
1593484227,1107,425
1593486024,328,285
1593487822,234,363
1593489622,310,946
1593491423,266,333
1593493221,421,287
1593495023,528,356
1593496824,633,326
1593498623,880,283
1593500425,914,569
1593502224,731,679
1593504021,736,1064
1593505822,688,752
1593507622,597,892
1593509420,492,843
1593511223,591,523
1593513020,691,409
1593514819,675,260
1593516622,679,416
1593518420,767,677
1593520219,769,984
1593522020,679,1065
1593523818,543,829
1593525619,553,587
1593527423,543,592
1593529222,557,530
1593531018,523,503
1593532818,542,458
1593534620,470,453
1593536418,665,592
1593538221,849,730
1593540019,806,797
1593541820,816,855
1593543619,656,509
1593545418,654,291
1593547218,486,462
1593549017,570,259
1593550818,589,344
1593552618,464,196
1593554419,445,219
1593556217,382,568
1593558017,946,490
1593559815,1112,143
1593561616,666,296
1593563415,444,700
1593565215,598,380
1593567014,620,481
1593568814,578,321
1593570614,531,569
1593572415,500,2164
1593574213,772,1656
1593576016,822,1070
1593577815,982,609
1593579612,988,457
1593581412,840,402
1593583214,852,1226
1593585013,810,1113
1593586812,829,1126
1593588612,845,745
1593590412,845,714
1593592213,818,841
1593594014,774,1124
1593595813,716,1124
1593597612,844,776
1593599411,838,368
1593601212,864,485
1593603014,755,466
1593604814,922,334
1593606614,931,655
1593608414,1108,978
1593610212,955,546
1593612013,791,835
1593613813,894,606
1593615614,620,564
1593617413,714,852
1593619212,1665,732
1593621013,646,459
1593622812,582,906
1593624613,582,451
1593626413,529,1254
1593628212,986,1465
1593630012,666,1523
1593631812,599,1379
1593633612,601,454
1593635411,612,265
1593637210,738,747
1593639011,616,388
1593640812,554,704
1593642613,461,414
1593644412,444,706
1593646212,623,932
1593648011,571,797
1593649810,512,607
