DateTime,Entries,UniqueIPs
1593304206,6774,6774
1593306006,6834,6834
1593307806,6991,6991
1593309605,7128,7128
1593311406,7198,7198
1593313205,6857,6857
1593315005,6327,6327
1593316806,5676,5676
1593318606,4350,4350
1593320407,3798,3798
1593322207,3283,3283
1593324007,3062,3062
1593325808,3110,3110
1593327608,2956,2956
1593329410,2274,2274
1593331208,1806,1806
1593333009,1564,1564
1593334809,1429,1429
1593336609,1327,1327
1593338411,1139,1139
1593340212,917,917
1593342013,780,780
1593343813,817,817
1593345613,1442,1442
1593347414,2238,2238
1593349215,1705,1705
1593351018,1245,1245
1593352818,990,990
1593354619,708,708
1593356422,820,820
1593358221,1192,1192
1593360020,1334,1334
1593361822,1132,1132
1593363623,1084,1084
1593365422,934,934
1593367224,1107,1107
1593369024,1225,1225
1593370825,1408,1408
1593372623,1206,1206
1593374424,1357,1357
1593376223,1373,1373
1593378022,1402,1402
1593379821,1600,1600
1593381620,1904,1904
1593383419,2150,2150
1593385219,2203,2203
1593387019,2197,2197
1593388821,2318,2318
1593390619,2771,2771
1593392415,2754,2754
1593394216,2603,2603
1593396015,2929,2929
1593397817,2940,2940
1593399614,2887,2887
1593401415,2853,2853
1593403212,3081,3081
1593405014,3144,3144
1593406813,3561,3561
1593408612,3657,3657
1593410412,3596,3596
1593412212,3751,3751
1593414011,3448,3448
1593415810,3691,3691
1593417612,3625,3625
1593419411,3783,3783
1593421211,3738,3738
1593423011,3240,3240
1593424812,2780,2780
1593426613,2431,2431
1593428412,1751,1751
1593430212,1770,1770
1593432014,1800,1800
1593433813,1807,1807
1593435613,1890,1890
1593437414,1679,1679
1593439212,1792,1792
1593441013,1890,1890
1593442812,1940,1940
1593444612,1981,1981
1593446414,1867,1867
1593448214,1290,1290
1593450013,1193,1193
1593451813,1548,1548
1593453613,1495,1495
1593455416,1447,1447
1593457215,1372,1372
1593459016,1382,1382
1593460816,1310,1310
1593462615,1312,1312
1593464419,1190,1190
1593466217,1044,1044
1593468015,954,954
1593469816,1010,1010
1593471618,1027,1027
1593473418,926,926
1593475217,1001,1001
1593477018,996,996
1593478822,825,825
1593480619,814,814
1593482421,855,855
1593484227,1537,1537
1593486024,1580,1580
1593487822,1451,1451
1593489622,815,815
1593491423,748,748
1593493221,882,882
1593495023,1054,1054
1593496824,1361,1361
1593498623,1958,1958
1593500425,2303,2303
1593502224,2355,2355
1593504021,2027,2027
1593505822,1963,1963
1593507622,1668,1668
1593509420,1317,1317
1593511223,1385,1385
1593513020,1667,1667
1593514819,2082,2082
1593516622,2345,2345
1593518420,2435,2435
1593520219,2220,2220
1593522020,1834,1834
1593523818,1548,1548
1593525619,1514,1514
1593527423,1465,1465
1593529222,1492,1492
1593531018,1512,1512
1593532818,1596,1596
1593534620,1613,1613
1593536418,1686,1686
1593538221,1805,1805
1593540019,1814,1814
1593541820,1775,1775
1593543619,1922,1922
1593545418,2285,2285
1593547218,2309,2309
1593549017,2620,2620
1593550818,2865,2865
1593552618,3133,3133
1593554419,3359,3359
1593556217,3173,3173
1593558017,3629,3629
1593559815,4598,4598
1593561616,4968,4968
1593563415,4712,4712
1593565215,4930,4930
1593567014,5069,5069
1593568814,5326,5326
1593570614,5288,5288
1593572415,3624,3624
1593574213,2740,2740
1593576016,2492,2492
1593577815,2865,2865
1593579612,3396,3396
1593581412,3834,3834
1593583214,3460,3460
1593585013,3157,3157
1593586812,2860,2860
1593588612,2960,2960
1593590412,3091,3091
1593592213,3068,3068
1593594014,2718,2718
1593595813,2310,2310
1593597612,2378,2378
1593599411,2848,2848
1593601212,3227,3227
1593603014,3516,3516
1593604814,4104,4104
1593606614,4380,4380
1593608414,4510,4510
1593610212,4919,4919
1593612013,4875,4875
1593613813,5163,5163
1593615614,5219,5219
1593617413,5081,5081
1593619212,6014,6014
1593621013,6201,6201
1593622812,5877,5877
1593624613,6008,6008
1593626413,5283,5283
1593628212,4804,4804
1593630012,3947,3947
1593631812,3167,3167
1593633612,3314,3314
1593635411,3661,3661
1593637210,3652,3652
1593639011,3880,3880
1593640812,3730,3730
1593642613,3777,3777
1593644412,3515,3515
1593646212,3206,3206
1593648011,2980,2980
1593649810,2885,2885
1593651610,3204,3204
1593653411,3413,3413
1593655211,3591,3591
1593657010,3521,3521
1593658811,3702,3702
1593660612,3683,3683
1593662412,3313,3313
1593664211,3795,3795
1593666010,3709,3709
1593667812,4191,4191
1593669611,4710,4710
1593671411,5277,5277
1593673211,5787,5787
1593675011,5991,5991
1593676810,6512,6512
1593678611,6364,6364
1593680410,5905,5905
1593682211,5348,5348
1593684011,4540,4540
1593685811,3955,3955
1593687611,3920,3920
1593689410,4749,4749
1593691210,5040,5040
1593693011,5079,5079
1593694812,5170,5170
1593696611,4087,4087
1593698410,3981,3981
1593700213,3840,3840
1593702013,3950,3950
1593703814,4017,4017
1593705614,3651,3651
1593707413,3440,3440
1593709213,3288,3288
1593711013,3465,3465
1593712812,3515,3515
1593714614,3732,3732
1593716415,3719,3719
1593718212,3612,3612
1593720014,3429,3429
1593721813,3439,3439
1593723615,3430,3430
1593725415,3351,3351
1593727214,3162,3162
1593729014,3004,3004
1593730813,2691,2691
1593732614,2369,2369
1593734413,2430,2430
1593736216,2038,2038
1593738014,1925,1925
1593739814,1485,1485
1593741614,1137,1137
1593743418,979,979
1593745216,1023,1023
1593747017,1244,1244
1593748817,1550,1550
1593750618,1640,1640
1593752419,1577,1577
1593754220,1706,1706
1593756019,1649,1649
1593757821,1519,1519
1593759617,1368,1368
1593761419,1668,1668
1593763219,1773,1773
1593765017,2304,2304
1593766822,2256,2256
1593768622,2344,2344
1593770422,2147,2147
1593772220,2315,2315
1593774023,2380,2380
1593775822,2269,2269
1593777621,2946,2946
1593779423,4177,4177
1593781221,4925,4925
1593783023,5257,5257
1593784823,4890,4890
1593786619,3712,3712
1593788421,3302,3302
1593790220,3374,3374
1593792020,3304,3304
1593793819,3184,3184
1593795617,2976,2976
1593797421,2642,2642
1593799218,2368,2368
1593801022,2116,2116
1593802823,1767,1767
1593804619,1436,1436
1593806418,1277,1277
1593808219,1225,1225
1593810018,1414,1414
1593811819,1684,1684
1593813619,1700,1700
1593815416,1857,1857
1593817214,1809,1809
1593819016,1682,1682
1593820816,1501,1501
1593822615,1645,1645
1593824416,1938,1938
1593826217,2143,2143
1593828016,2095,2095
1593829817,2208,2208
1593831615,1998,1998
1593833416,1657,1657
1593835218,1834,1834
1593837015,1936,1936
1593838814,2297,2297
1593840614,2821,2821
1593842413,3044,3044
1593844213,3233,3233
1593846015,2999,2999
1593847815,2865,2865
1593849613,2615,2615
1593851412,2490,2490
1593853212,2252,2252
1593855016,2213,2213
1593856816,1737,1737
1593858614,1622,1622
1593860413,1237,1237
1593862214,1053,1053
1593864017,883,883
1593865815,1170,1170
1593867613,1549,1549
1593869414,1714,1714
1593871215,1741,1741
1593873014,1583,1583
1593874815,1063,1063
1593876614,1039,1039
1593878415,987,987
1593880216,960,960
1593882015,1137,1137
1593883815,1249,1249
1593885615,1445,1445
1593887414,1620,1620
1593889215,1689,1689
1593891015,1819,1819
1593892818,2015,2015
1593894614,1829,1829
1593896415,1678,1678
1593898213,1408,1408
1593900014,1334,1334
1593901813,1025,1025
1593903612,1059,1059
1593905412,1129,1129
1593907212,1230,1230
1593909012,1275,1275
1593910813,1421,1421
1593912613,1415,1415
1593914413,1831,1831
1593916213,2056,2056
1593918011,2306,2306
1593919811,2465,2465
1593921612,2880,2880
1593923413,2969,2969
1593925211,3152,3152
1593927012,3256,3256
1593928812,3222,3222
1593930610,2755,2755
1593932411,2666,2666
1593934213,2194,2194
1593936013,2020,2020
1593937813,2331,2331
1593939613,2298,2298
1593941412,2433,2433
1593943213,2651,2651
1593945013,2900,2900
1593946813,3079,3079
1593948613,3440,3440
1593950414,3338,3338
1593952214,3273,3273
1593954014,3636,3636
1593955813,4459,4459
1593957612,4638,4638
1593959413,4706,4706
1593961213,4900,4900
1593963012,3625,3625
1593964816,2837,2837
1593966614,2763,2763
1593968414,2997,2997
1593970215,2783,2783
1593972013,2819,2819
1593973816,2233,2233
1593975615,2179,2179
1593977416,1797,1797
1593979215,1702,1702
1593981017,1497,1497
1593982814,1761,1761
1593984619,1935,1935
1593986417,2332,2332
1593988216,3846,3846
1593990013,5046,5046
1593991815,5631,5631
1593993614,6399,6399
1593995414,7012,7012
1593997213,7643,7643
1593999011,8513,8513
1594000813,9459,9459
1594002657,10200,10200
1594004412,10493,10493
1594006212,10848,10848
1594008012,11098,11098
1594009812,11588,11588
1594011610,12047,12047
1594013409,12477,12477
1594015210,13157,13157
1594017009,13780,13780
1594018807,14320,14320
1594020606,14954,14954
1594022407,15592,15592
1594024205,16202,16202
1594026004,16853,16853
1594027804,17468,17468
1594029604,17907,17907
1594031403,17568,17568
1594033202,16222,16222
1594035003,16225,16225
1594036803,16057,16057
1594038603,16288,16288
1594040403,16236,16236
1594042203,16136,16136
1594044003,15802,15802
1594045802,15572,15572
1594047602,15782,15782
1594049403,16071,16071
1594051202,16471,16471
1594053002,16832,16832
1594054802,16830,16830
1594056602,17013,17013
1594058402,17178,17178
1594060202,16998,16998
1594062002,16804,16804
1594063802,16728,16728
1594065602,16532,16532
1594067403,16361,16361
1594069202,16135,16135
1594071002,16039,16039
1594072803,15848,15848
1594074602,15577,15577
1594076402,15270,15270
1594078203,14937,14937
1594080002,14487,14487
1594081802,13916,13916
1594083602,13242,13242
1594085402,12525,12525
1594087201,11929,11929
1594089007,11311,11311
1594090802,10640,10640
1594092602,9749,9749
1594094401,9018,9018
1594096201,8481,8481
1594098001,8041,8041
1594099802,7604,7604
1594101602,7078,7078
1594103402,6601,6601
1594105201,6125,6125
1594107002,5729,5729
1594108801,5345,5345
1594110601,5005,5005
1594112401,4709,4709
1594114201,4692,4692
1594116002,4438,4438
1594117801,3988,3988
1594119601,3646,3646
1594121401,3358,3358
1594123201,2951,2951
1594125001,2950,2950
1594126801,2922,2922
1594128602,2890,2890
1594130401,2839,2839
1594132201,2819,2819
1594134001,2725,2725
1594135801,2555,2555
1594137601,2523,2523
1594139401,2584,2584
1594141201,2589,2589
1594143002,2537,2537
1594144802,2487,2487
1594146601,2450,2450
1594148401,2498,2498
1594150201,2416,2416
1594152001,2317,2317
1594153801,2276,2276
1594155601,2263,2263
1594157401,2356,2356
1594159201,2377,2377
1594161001,2334,2334
1594162801,2322,2322
1594164602,2317,2317
1594166401,2312,2312
1594168201,2315,2315
1594170001,2295,2295
1594171801,2356,2356
1594174509,2459,2459
1594176305,2517,2517
1594178101,2600,2600
1594179901,2656,2656
1594181702,2765,2765
1594183501,2955,2955
1594185301,3071,3071
1594187102,3148,3148
1594188901,3233,3233
1594190701,3350,3350
1594192501,3388,3388
1594194301,3486,3486
1594196101,3564,3564
1594197901,3650,3650
1594199701,3724,3724
1594201502,3807,3807
1594203301,3930,3930
