DateTime,AddedIPs,RemovedIPs
1593763921,24,33
1593764521,13,0
1593765721,10,20
1593766922,14,20
1593767521,19,11
1593768121,22,0
1593769322,19,13
1593769921,13,38
1593770521,35,47
1593771722,14,0
1593772321,10,29
1593773522,7,21
1593774121,17,0
1593775321,20,16
1593775921,19,33
1593776522,23,0
1593777721,29,45
1593778921,22,49
1593780121,19,18
1593781322,25,9
1593781922,25,17
1593783121,21,18
1593783721,22,0
1593784922,23,64
1593786122,25,0
1593787322,8,33
1593787921,10,10
1593788522,9,3
1593789722,21,75
1593790322,15,0
1593790921,20,27
1593791521,20,24
1593792122,23,0
1593793321,17,52
1593794521,8,5
1593795121,7,0
1593795721,8,23
1593796921,17,0
1593797521,14,29
1593798721,49,53
1593799321,26,0
1593799922,35,24
1593800522,37,0
1593801121,20,18
1593801721,12,9
1593802322,24,0
1593802921,20,6
1593803521,15,20
1593804721,28,18
1593805322,30,36
1593806522,33,0
1593807121,36,20
1593807721,22,0
1593808921,41,57
1593809522,13,0
1593810121,11,4
1593811322,18,32
1593812521,9,23
1593813721,28,41
1593814921,19,0
1593816121,11,40
1593817321,24,3
1593818521,21,20
1593819721,27,0
1593820921,24,25
1593822121,11,13
1593822722,13,24
1593823921,20,8
1593824521,45,0
1593825722,23,76
1593826321,22,43
1593826921,36,0
1593828121,23,30
1593829321,14,13
1593830361,9,57
1593831121,24,0
1593831721,15,5
1593832322,18,10
1593832921,32,47
1593834122,11,0
1593835321,14,54
1593836521,22,57
1593837121,18,0
1593837721,26,10
1593838921,21,14
1593839521,19,7
1593840121,36,0
1593841321,17,67
1593842521,13,0
1593843721,24,22
1593844921,28,28
1593846121,24,13
1593847321,27,26
1593848521,18,25
1593849721,15,20
1593850922,33,59
1593851521,31,0
1593852122,22,0
1593853321,32,10
1593853921,32,7
1593854521,25,10
1593855721,9,31
1593856921,12,13
1593857522,25,0
1593858121,21,52
1593858721,30,0
1593859322,11,8
1593859922,21,0
1593861122,9,46
1593861722,16,12
1593862321,16,0
1593863521,9,31
1593864121,17,0
1593864722,30,17
1593865322,14,0
1593865921,14,10
1593866521,5,21
1593867121,11,0
1593867721,9,0
1593868921,21,36
1593869521,18,9
1593870121,20,41
1593870721,18,0
1593871321,33,13
1593873121,23,8
1593873721,14,0
1593874321,14,3
1593874921,8,7
1593875521,13,8
1593876121,16,0
1593877321,15,50
1593879121,13,31
1593879721,12,0
1593880321,6,14
1593880922,7,0
1593881521,11,8
1593882121,17,21
1593883321,21,0
1593883921,17,13
1593884521,16,29
1593885122,30,0
1593885721,15,43
1593886922,18,55
1593887521,15,0
1593888122,13,21
1593889321,8,21
1593890521,18,20
1593891122,15,29
1593891721,24,22
1593892921,15,20
1593893522,18,94
1593894121,11,0
1593895321,19,16
1593896521,20,15
1593897721,24,33
1593898921,28,8
1593899522,19,21
1593901322,15,25
1593901921,18,0
1593902521,32,0
1593903721,23,34
1593904921,39,0
1593906121,33,32
1593906721,18,0
1593907321,11,18
1593908522,25,0
1593909721,22,30
1593910921,16,49
1593911521,34,0
1593912722,29,46
1593913321,19,0
1593914521,21,47
1593915721,22,5
1593916921,21,8
1593918122,22,12
1593918721,35,40
1593919921,18,0
1593920521,12,0
1593921722,24,14
1593922921,25,13
1593924122,33,42
1593925321,28,13
1593926521,20,71
1593927121,15,0
1593927721,14,0
1593928322,15,48
1593928922,21,0
1593930121,33,42
1593930721,16,0
1593931321,20,0
1593932521,15,36
1593933722,19,0
1593934921,21,22
1593936121,16,0
1593937321,16,10
1593938521,21,54
1593939721,13,12
1593940321,11,0
1593940921,11,37
1593941522,20,0
1593942121,20,0
1593942721,15,26
1593943321,23,0
1593944521,14,37
1593945121,5,34
1593945721,14,39
1593946322,4,34
1593946921,6,27
1593947521,6,0
1593948121,15,19
1593948721,13,16
1593949321,32,18
1593949922,22,0
1593950521,17,44
1593951121,28,0
1593951721,22,58
1593952321,9,6
1593952921,12,0
1593953521,15,6
1593954121,20,29
1593954721,18,0
1593955921,24,32
1593956521,15,20
1593957721,9,22
1593958321,17,0
1593958921,7,52
1593960121,18,29
1593960721,7,31
1593961921,33,19
1593962521,21,0
1593963721,22,20
1593964321,17,24
1593964921,29,0
1593965521,19,0
1593966121,14,20
1593966721,3,0
1593967921,15,76
1593968521,15,0
1593969721,19,10
1593970321,15,48
1593971521,15,24
1593972121,22,0
1593973321,8,39
1593973921,9,25
1593974521,6,0
1593975722,8,22
1593976921,15,35
1593978121,27,23
1593978721,25,32
1593979321,17,0
1593979921,6,10
1593981121,25,36
1593981721,14,0
1593982921,21,52
1593984121,26,0
1593985321,40,29
1593985921,24,20
1593986522,23,0
1593987121,7,28
1593987721,11,0
1593988321,3,88
1593989522,23,0
1593990122,16,20
1593991321,11,44
1593992521,16,0
1593993721,25,11
1593994921,14,22
1593995521,10,49
1593996122,18,20
1593997321,7,22
1593998521,30,37
1593999721,17,10
1594000922,25,15
1594002121,17,16
1594002721,18,15
1594003322,30,0
1594004521,37,39
1594005721,22,0
1594006322,20,12
1594006922,8,36
1594008121,20,21
1594009321,13,32
1594010521,25,0
1594011721,27,26
1594012921,19,21
1594013521,18,12
1594014122,23,24
1594015321,19,39
1594015921,26,0
1594016521,21,0
1594017121,23,51
1594017721,23,6
1594018321,30,0
1594019522,18,29
1594020121,21,0
1594021322,13,43
1594022522,20,14
1594023721,22,14
1594024321,22,0
1594025521,30,11
1594026721,36,8
1594027322,18,52
1594028521,15,32
1594030321,14,20
1594030921,20,23
1594031521,23,0
1594032121,31,8
1594032722,34,0
1594033321,23,12
1594034521,24,71
1594035121,34,14
1594035721,25,0
1594036321,26,17
1594036921,20,17
1594037522,25,63
1594038121,19,0
1594039321,15,32
1594039922,4,0
1594040521,11,32
1594041121,16,0
1594041722,13,15
1594042321,24,0
1594042921,15,53
1594043521,19,0
1594044121,20,16
1594045321,12,9
1594045922,16,7
1594047121,13,8
1594047721,11,30
1594048921,18,38
1594050121,44,0
1594051321,15,30
1594051921,28,23
1594052522,15,9
1594053721,13,22
1594054322,4,0
1594054921,14,42
1594056121,22,15
1594057321,23,0
1594058522,43,31
1594059721,32,24
1594060921,22,27
1594062121,11,55
1594063321,19,0
1594064522,29,21
1594065721,10,56
1594066322,14,0
1594066921,8,12
1594067521,8,32
1594068721,21,0
1594069321,27,20
1594070521,25,32
1594071722,10,60
1594072921,31,28
1594074121,22,13
1594075322,20,15
1594075921,18,0
1594076522,11,28
1594077721,29,72
1594078321,38,12
1594079522,23,0
1594080121,17,0
1594081321,12,13
1594082521,16,34
1594083721,17,23
1594084321,21,22
1594085522,38,25
1594086121,21,19
1594086721,16,0
1594087322,13,0
1594087922,7,57
1594089121,19,16
1594090321,30,22
1594091521,27,25
1594092121,24,20
1594093321,22,28
1594094521,12,0
1594095722,26,17
1594096922,25,13
1594098121,24,28
1594099322,29,12
1594100522,17,5
1594101721,19,26
1594102921,26,63
1594103521,27,29
1594104721,8,18
1594105321,19,20
1594106522,15,39
1594107122,10,0
1594107721,19,0
1594108921,23,37
1594109521,25,0
1594110121,22,0
1594110721,22,29
1594111922,23,56
1594112521,30,0
1594113722,9,7
1594114321,13,0
1594114921,9,28
1594115521,14,26
1594116121,12,0
1594116722,18,17
1594117321,17,0
1594117921,20,15
1594118521,26,23
1594119121,18,47
1594120921,29,16
1594121521,15,61
1594122721,16,48
1594123321,26,16
1594124522,22,27
1594125722,13,12
1594126321,19,15
1594126921,11,5
1594127521,24,15
1594128121,22,0
1594128721,24,47
1594129322,29,0
1594129921,12,91
1594130522,12,0
1594131121,34,22
1594131721,19,11
1594132321,18,9
1594133522,19,11
1594134121,11,11
1594135321,26,20
1594135921,16,0
1594137122,27,33
1594137721,18,16
1594138921,35,33
1594139522,18,0
1594140121,8,0
1594140721,7,22
1594141321,14,9
1594141921,8,0
1594143122,19,48
1594143721,21,0
1594144921,28,99
1594145521,21,0
1594146122,22,0
1594147322,14,20
1594147921,5,15
1594148521,16,0
1594149121,21,14
1594150321,22,18
1594150922,23,24
1594152122,26,0
1594152722,16,15
1594153921,21,23
1594154521,4,84
1594155722,18,0
1594156921,30,34
1594158121,23,17
1594158722,26,22
1594159321,30,16
1594160521,19,8
1594161722,17,26
1594162922,29,12
1594164121,33,17
1594165322,25,19
1594165921,19,39
1594167122,12,11
1594167722,6,13
1594168921,8,0
1594169521,26,29
1594170121,26,0
1594170722,20,18
1594171921,18,65
1594172521,44,0
1594173121,21,23
1594173721,20,0
1594174321,12,24
1594176122,29,15
1594177321,22,33
1594178522,22,20
1594179721,30,14
1594180921,15,37
1594181521,13,0
1594182722,22,16
1594183321,19,22
1594184521,24,0
1594185721,35,14
1594186921,24,27
1594188122,18,10
1594188721,6,0
1594189921,12,7
1594190521,16,0
1594191721,21,25
1594192921,34,22
1594194121,19,40
1594195321,24,20
1594196522,8,71
1594197721,19,47
1594198921,27,18
1594200121,16,15
1594200721,30,5
1594201321,44,5
1594201921,16,48
1594203121,10,30
1594203721,7,0
