DateTime,AddedIPs,RemovedIPs
1593745921,18,0
1593746521,8,0
1593747721,8,15
1593748921,14,9
1593749521,3,4
1593750721,4,11
1593752521,3,18
1593753121,3,0
1593753721,1,17
1593754322,5,0
1593754921,2,0
1593756121,3,3
1593757322,4,5
1593758521,6,10
1593759122,1,4
1593760321,12,6
1593762121,14,5
1593763321,2,6
1593764521,12,16
1593765721,3,6
1593766321,3,4
1593767521,28,2
1593768721,26,5
1593769322,10,1
1593770521,13,8
1593771722,10,0
1593772321,6,25
1593773522,6,14
1593774121,2,0
1593775321,4,13
1593776522,9,16
1593777122,10,0
1593778921,9,0
1593780121,0,11
1593780721,6,0
1593781322,1,23
1593781922,4,0
1593783121,2,7
1593783721,1,0
1593784322,1,11
1593785522,3,2
1593786122,2,2
1593787322,1,0
1593787921,0,10
1593789121,7,5
1593789722,4,0
1593790322,0,2
1593790921,4,2
1593791521,0,8
1593792721,7,11
1593793321,0,2
1593795121,9,3
1593796321,16,16
1593796921,13,0
1593797521,10,14
1593798721,12,22
1593799321,2,0
1593800522,10,6
1593801121,3,9
1593801721,12,0
1593802321,7,8
1593802921,8,2
1593804121,28,9
1593805322,18,18
1593805921,5,3
1593807121,24,13
1593807721,24,0
1593808921,13,28
1593810121,13,26
1593811321,16,7
1593812521,21,13
1593813721,12,7
1593814921,17,35
1593816721,21,14
1593817321,3,0
1593818521,19,30
1593819121,9,0
1593820321,15,13
1593820921,1,0
1593822121,14,20
1593822722,3,6
1593823921,15,23
1593824521,5,6
1593825721,11,31
1593826321,1,10
1593826921,1,9
1593828121,5,0
1593829321,9,3
1593830521,9,34
1593831121,1,41
1593831721,11,0
1593832322,3,18
1593832921,0,13
1593833522,1,0
1593834721,3,10
1593835321,5,0
1593835921,4,18
1593837721,3,6
1593838921,6,0
1593839521,5,8
1593840121,0,1
1593841321,16,21
1593842521,5,0
1593843721,1,5
1593844322,1,7
1593845521,2,2
1593846121,2,0
1593847321,7,28
1593847921,7,0
1593849122,11,8
1593850321,12,13
1593850922,1,7
1593851521,3,0
1593852122,13,0
1593853321,21,10
1593853921,14,0
1593854521,9,21
1593855121,7,0
1593855721,5,15
1593857522,12,15
1593858721,13,23
1593859322,2,16
1593859922,2,0
1593860521,0,17
1593861121,5,0
1593862321,10,6
1593863521,10,3
1593864121,2,0
1593864722,5,15
1593865921,1,4
1593866521,6,10
1593867721,11,4
1593868921,1,2
1593870121,9,7
1593870721,8,0
1593871922,12,5
1593872521,1,10
1593873721,8,5
1593874321,1,0
1593874921,1,1
1593875521,6,8
1593876121,2,8
1593876721,1,8
1593877921,5,3
1593879121,1,1
1593880321,7,0
1593880922,4,9
1593882121,1,9
1593883321,4,6
1593883921,1,11
1593884521,5,0
1593885122,0,13
1593885721,6,18
1593886922,8,6
1593887521,4,0
1593888122,5,7
1593889321,7,8
1593889921,21,6
1593891721,10,12
1593892322,9,9
1593892921,12,0
1593894121,19,51
1593894722,1,0
1593895321,5,0
1593896521,6,15
1593897721,14,26
1593898921,18,11
1593900121,7,16
1593901322,10,0
1593901921,19,0
1593902521,2,18
1593903721,22,23
1593904921,18,0
1593906121,17,24
1593906721,2,0
1593907321,1,18
1593908522,30,0
1593909721,6,10
1593910921,14,4
1593912121,9,11
1593913321,16,3
1593914521,15,9
1593915721,18,9
1593916921,21,0
1593918122,7,6
1593919322,5,3
1593920521,21,0
1593921722,5,4
1593922921,13,2
1593924122,0,7
1593925321,20,5
1593926521,3,14
1593927121,6,0
1593927721,9,0
1593928322,8,7
1593929522,7,2
1593930121,6,0
1593930721,4,1
1593932521,2,9
1593933722,12,0
1593934921,2,10
1593936121,14,8
1593936722,1,0
1593937321,2,3
1593937921,5,15
1593939121,18,0
1593939721,9,8
1593940321,1,0
1593941522,3,20
1593942121,1,0
1593943321,6,15
1593943921,8,11
1593945121,9,4
1593946322,7,5
1593946921,2,0
1593948121,0,8
1593948721,2,0
1593949922,1,7
1593950521,2,1
1593951121,1,0
1593951721,4,2
1593952321,0,4
1593952921,6,6
1593954721,5,3
1593955921,12,11
1593956521,2,13
1593958321,11,0
1593960121,9,8
1593960721,3,10
1593961921,5,8
1593963721,1,0
1593964321,0,5
1593964921,3,1
1593965521,3,0
1593966121,0,5
1593966721,22,5
1593967321,6,2
1593968521,6,3
1593969721,9,4
1593970321,3,8
1593970921,7,1
1593971521,4,4
1593972121,4,0
1593973321,7,14
1593974521,12,2
1593975722,16,5
1593976921,2,26
1593977521,3,0
1593978721,3,12
1593979321,0,23
1593980521,26,0
1593981121,11,6
1593981721,4,19
1593982921,5,0
1593984121,12,12
1593985321,7,14
1593985921,6,8
1593986521,1,0
1593987121,9,8
1593988321,11,18
1593988921,0,19
1593989522,1,0
1593990122,3,17
1593991321,14,18
1593992521,18,0
1593993121,29,7
1593994321,16,14
1593995521,15,13
1593996121,4,8
1593997321,11,16
1593998521,14,11
1593999121,1,0
1593999721,7,0
1594000922,6,16
1594002121,4,13
1594002721,5,21
1594003921,18,11
