DateTime,AddedIPs,RemovedIPs
1593758521,61,61
1593759122,23,23
1593760321,78,77
1593760921,13,13
1593762121,82,82
1593763321,44,45
1593764521,86,87
1593765721,41,41
1593766321,16,15
1593767521,50,49
1593768721,67,68
1593769322,53,52
1593770521,79,80
1593771722,76,76
1593772321,53,53
1593773522,70,70
1593774121,30,31
1593775321,55,55
1593776522,55,54
1593777122,49,49
1593778921,74,74
1593780121,22,21
1593780721,34,35
1593781322,12,12
1593781922,28,28
1593783121,21,21
1593783721,9,9
1593784322,11,11
1593785522,23,23
1593786122,39,38
1593787322,33,33
1593787921,10,10
1593789121,69,70
1593789722,47,47
1593790322,15,14
1593790921,24,24
1593791521,8,8
1593792721,33,33
1593793321,16,16
1593795121,53,54
1593796321,72,72
1593796921,47,47
1593797521,63,63
1593798721,66,66
1593799321,18,18
1593800522,52,52
1593801121,19,19
1593801721,56,56
1593802321,36,35
1593802921,39,40
1593804121,89,88
1593805322,92,92
1593805921,38,38
1593807121,88,88
1593807721,72,73
1593808921,75,74
1593810121,66,66
1593811321,54,54
1593812521,81,82
1593813721,57,58
1593814921,84,82
1593816721,92,93
1593817321,50,49
1593818521,91,91
1593819121,42,43
1593820321,80,80
1593820921,17,16
1593822121,70,70
1593822722,10,10
1593823921,80,80
1593824521,38,38
1593825721,62,62
1593826321,7,9
1593826921,22,22
1593828121,42,42
1593829321,41,39
1593830521,58,58
1593831121,10,10
1593831721,34,34
1593832322,17,17
1593832921,6,6
1593833522,7,7
1593834721,28,28
1593835321,25,25
1593835921,30,30
1593836521,6,6
1593837721,22,22
1593838921,44,44
1593839521,39,39
1593840121,11,11
1593841321,79,80
1593842521,40,39
1593843721,31,31
1593844322,18,18
1593845521,26,26
1593846121,17,17
1593847321,39,39
1593847921,54,54
1593849122,65,66
1593850321,60,60
1593850922,20,19
1593851521,16,16
1593852122,53,54
1593853321,84,84
1593853921,60,59
1593854521,42,42
1593855121,54,54
1593855721,47,47
1593857522,68,69
1593858721,72,71
1593859322,17,18
1593859922,28,28
1593860521,11,11
1593861121,31,31
1593862321,50,49
1593863521,76,76
1593864121,13,13
1593864722,53,53
1593865322,13,13
1593865921,13,13
1593866521,58,60
1593867721,84,83
1593868921,30,30
1593870121,76,76
1593870721,31,31
1593871922,67,66
1593872521,14,14
1593873721,40,40
1593874321,51,52
1593874921,20,20
1593875521,34,34
1593876121,19,18
1593876721,11,11
1593877921,40,40
1593878522,11,11
1593879121,21,21
1593880321,55,55
1593880922,30,30
1593882121,32,32
1593883321,43,43
1593883921,13,13
1593884521,38,39
1593885122,16,16
1593885721,41,42
1593886922,52,51
1593887521,29,28
1593888122,25,25
1593889321,59,59
1593889921,77,77
1593891721,82,82
1593892322,45,45
1593892921,41,41
1593894121,96,96
1593894722,39,39
1593895321,36,36
1593896521,61,61
1593897721,80,81
1593898921,85,85
1593900121,77,78
1593901322,64,62
1593901921,64,64
1593902521,27,27
1593903721,73,73
1593904921,79,79
1593906121,81,81
1593906721,20,20
1593907321,21,21
1593908522,94,94
1593909721,55,56
1593910921,67,67
1593912121,49,48
1593913321,82,82
1593914521,76,76
1593915721,86,86
1593916921,93,93
1593918122,48,48
1593919322,47,47
1593920521,83,84
1593921722,49,48
1593922921,70,70
1593924122,40,40
1593925321,94,94
1593926521,39,39
1593927121,37,37
1593927721,46,46
1593928322,53,53
1593929522,86,86
1593930121,61,61
1593930721,44,44
1593931321,15,16
1593932521,38,38
1593933722,46,45
1593934921,59,59
1593936121,90,90
1593936722,33,33
1593937321,20,20
1593937921,34,34
1593939121,85,85
1593939721,57,57
1593940321,15,15
1593941522,85,85
1593942121,14,14
1593943321,68,69
1593943921,63,62
1593945121,82,83
1593946322,82,82
1593946921,41,41
1593948121,19,19
1593948721,16,16
1593949922,14,14
1593950521,27,27
1593951121,34,34
1593951721,46,46
1593952321,29,29
1593952921,34,33
1593954721,60,60
1593955921,72,72
1593956521,9,9
1593958321,84,84
1593958921,9,9
1593960121,60,60
1593960721,11,11
1593961921,53,53
1593962521,12,12
1593963721,20,20
1593964321,7,7
1593964921,21,21
1593965521,22,23
1593966121,11,10
1593966721,62,62
1593967321,56,56
1593968521,62,62
1593969721,59,59
1593970321,25,25
1593970921,53,53
1593971521,17,17
1593972121,32,32
1593973321,78,78
1593974521,96,96
1593975722,92,92
1593976921,38,38
1593977521,25,25
1593978721,56,56
1593979321,17,17
1593980521,95,95
1593981121,57,57
1593981721,42,42
1593982921,63,63
1593984121,79,80
1593985321,83,82
1593985921,55,55
1593986521,20,20
1593987121,54,54
1593988321,80,81
1593988921,21,20
1593989522,22,22
1593990122,25,25
1593991321,85,85
1593992521,93,93
1593993121,52,52
1593994321,93,94
1593995521,81,80
1593996121,44,44
1593997321,63,63
1593998521,85,85
1593999121,22,22
1593999721,41,41
1594000922,35,35
1594002121,24,24
1594002721,32,32
1594003921,61,61
1594004521,20,20
1594005721,27,27
1594006921,34,34
1594008121,75,76
1594008721,27,27
1594009321,27,27
1594009921,40,39
1594010521,57,57
1594011721,53,54
1594012321,30,30
1594012921,24,25
1594013521,50,49
1594014121,14,14
1594015321,75,74
1594015921,55,55
1594016521,36,36
1594017121,37,37
