DateTime,AddedIPs,RemovedIPs
1591902002,143,0
1591905603,131,0
1591912802,219,0
1591916402,120,0
1591923602,236,3145
1591927201,144,0
1591930802,150,0
1591934402,128,0
1591938901,163,0
1591946102,285,0
1591949702,125,0
1591956902,265,0
1591960502,138,0
1591964102,103,0
1591967701,117,1
1591975801,239,0
1591979402,97,0
1591986601,192,0
1591993802,200,0
1591997403,127,0
1592001002,95,0
1592004602,113,0
1592008202,71,3238
1592011801,125,0
1592015402,142,0
1592019901,153,0
1592023502,131,0
1592027102,104,0
1592034302,272,0
1592037902,141,0
1592042401,133,0
1592046002,122,0
1592049602,149,0
1592053202,108,0
1592056802,102,0
1592060401,111,0
1592064002,109,0
1592067603,98,0
1592071202,91,0
1592074802,73,0
1592082001,186,0
1592085601,83,0
1592089201,78,0
1592092802,66,2911
1592096402,91,0
1592100002,151,0
1592103602,131,0
1592107202,95,0
1592111702,126,0
1592115302,105,0
1592122501,241,0
1592129701,230,0
1592133302,116,0
1592136901,103,0
1592140502,86,0
1592144102,84,0
1592147702,97,0
1592152202,106,0
1592155802,97,0
1592159402,98,0
1592163002,83,0
1592166601,113,0
1592170202,87,0
1592174702,119,0
1592178302,91,0
1592181901,72,2668
1592185502,122,0
1592192702,291,0
1592196302,146,0
1592199902,128,0
1592203502,149,0
1592210702,293,0
1592212502,76,0
1592226002,325,0
1592229601,174,0
1592233202,144,0
1592236802,163,0
1592240402,107,0
1592244002,98,0
1592247602,106,0
1592254802,232,0
1592258402,98,0
1592266501,152,2533
1592273702,235,0
1592280902,251,0
1592284502,91,0
1592288103,122,0
1592291702,124,0
1592296202,164,0
1592299801,140,0
1592303402,134,0
1592307001,129,0
1592314201,295,0
1592317801,140,0
1592321402,122,0
1592325001,102,0
1592332202,216,0
1592335802,136,0
1592340301,119,0
1592343902,106,0
1592351101,228,0
1592354702,86,2880
1592358302,141,0
1592361902,122,0
1592369102,233,0
1592373602,183,0
1592377201,108,0
1592380802,119,0
1592384402,151,0
1592391602,248,0
1592395202,133,0
1592398801,108,0
1592402402,136,0
1592406002,158,0
1592409601,123,0
1592413203,87,0
1592417701,149,0
1592424902,253,0
1592428502,113,0
1592432101,79,0
1592435702,110,0
1592440201,100,2686
1592443802,113,0
1592451002,245,0
1592454602,108,0
1592458202,127,0
1592461802,132,0
1592465402,161,0
1592469002,194,0
1592473502,228,0
1592477102,152,0
1592480702,166,0
1592487902,258,0
1592495102,235,0
1592498701,145,0
1592502302,123,0
1592505902,110,0
1592513102,180,0
1592517602,131,0
1592521202,101,0
1592524802,84,2928
1592532002,290,0
1592535603,140,0
1592539202,114,0
1592542802,126,0
1592546402,119,0
1592553602,257,2
1592560802,297,0
1592564402,123,0
1592568902,146,0
1592572502,121,0
1592576102,140,0
1592580602,159,0
1592584201,95,0
1592591401,263,0
1592598602,190,0
1592602202,81,0
1592605802,64,0
1592609402,72,0
1592613002,120,3075
1592616602,93,0
1592623802,230,0
1592628302,113,0
1592635501,194,0
1592639102,98,0
1592642702,124,0
1592646301,107,0
1592653501,237,0
1592658002,131,0
1592661601,97,0
1592665202,122,0
