DateTime,AddedIPs,RemovedIPs
1590019492,1,0
1590041097,1,0
1590062705,1,1
1590066339,17,55
1590073490,1,0
1590084286,1,0
1590087888,0,4
1590091491,0,4
1590113093,0,1
1590116690,1,1
1590127494,0,1
1590131096,0,2
1590145491,9,1
1590149090,0,3
1590152699,0,20
1590156286,0,2
1590163486,1,0
1590167085,1,0
1590174284,1,0
1590181485,0,1
1590188684,0,2
1590192295,0,4
1590195888,0,2
1590210296,1,0
1590231908,3,0
1590239110,0,2
1590242701,1,0
1590246287,8,19
1590249887,4,0
1590253488,1,0
1590267887,1,0
1590271488,1,2
1590275090,0,1
1590278688,0,1
1590285889,1,0
1590293087,0,1
1590303890,1,0
1590314703,2,0
1590318301,0,1
1590321891,7,4
1590325489,0,1
1590329090,2,0
1590336289,0,1
1590339891,2,0
1590347088,1,0
1590354289,0,1
1590357892,2,2
1590361490,1,0
1590372291,1,0
1590386693,0,1
1590390291,1,0
1590393895,0,2
1590401105,1,0
1590404719,1,0
1590411889,7,11
1590415492,2,0
1590422693,0,1
1590437091,1,0
1590440689,1,0
1590444291,1,1
1590447890,0,1
1590451492,0,1
1590458692,0,1
1590473092,0,1
1590476697,0,3
1590487499,0,2
1590491126,2,0
1590494705,0,1
1590498297,48,12
1590501890,3,0
1590505492,0,1
1590509096,1,0
1590512692,3,0
1590519896,1,0
1590523493,3,1
1590527090,2,0
1590530691,0,1
1590534287,1,0
1590537889,0,1
1590541491,0,4
1590548695,1,1
1590559496,1,0
1590563098,1,1
1590566697,4,1
1590577516,1,2
1590581107,7,0
1590584688,9,14
1590588292,1,0
1590609892,7,0
1590617092,1,1
1590627894,1,0
1590635092,1,0
1590645897,0,1
1590649495,1,0
1590653093,1,0
1590656693,0,1
1590660311,2,0
1590671093,9,22
1590674693,1,0
1590678293,1,0
1590692694,1,1
1590696294,1,0
1590699894,1,0
1590703496,1,1
1590707094,0,1
1590710693,1,1
1590721497,1,0
1590728691,0,1
1590732295,0,1
1590735897,1,0
1590739493,1,2
1590743094,0,2
1590746728,1,1
1590750303,2,7
1590753900,7,0
1590757489,3,1
1590761091,1,0
1590768293,1,0
1590771889,0,1
1590779090,2,1
1590786291,2,0
1590789890,1,1
1590797091,3,0
1590800688,1,1
1590804293,1,0
1590811489,6,0
1590815090,1,0
1590822293,2,0
1590825894,0,1
1590829490,3,1
1590833104,0,1
1590836703,0,1
1590843884,12,0
1590847487,4,0
1590851086,2,6
1590869085,3,0
1590876285,1,0
1590879887,0,2
1590890685,4,0
1590926702,2,5
1590937489,1,0
1590951888,1,0
1590955488,2,1
1590959089,1,0
1590966295,1,1
1590969895,1,1
1590995092,0,4
1591002294,2,0
1591009516,0,1
1591016692,0,56
1591020292,1,2
1591027492,1,0
1591052691,0,2
1591056294,0,1
1591077896,1,0
1591081501,0,1
1591085104,2,0
1591092345,2,0
1591095935,0,1
1591099504,2,0
1591103092,0,37
1591110293,1,0
1591117494,1,0
1591124692,1,0
1591131913,1,0
1591139095,1,0
1591142696,0,1
1591149894,1,0
1591153499,0,1
1591164297,1,0
1591175133,133,0
1591189496,0,13
1591196691,1,0
1591211096,1,0
1591214697,1,0
1591218296,1,0
1591221899,1,0
1591229102,1,0
1591236292,1,0
1591250703,3,0
1591265096,7,0
1591275898,0,13
