DateTime,AddedIPs,RemovedIPs
1592393582,2,4
1592397182,5,0
1592400782,5,5
1592404381,4,5
1592407981,7,8
1592411581,9,5
1592415181,3,0
1592418781,8,2
1592422382,3,1
1592425981,5,4
1592429581,3,7
1592433181,3,5
1592436781,4,0
1592440381,1,10
1592443981,4,0
1592447581,5,9
1592451181,3,0
1592454782,2,4
1592461981,6,1
1592465581,5,6
1592469182,1,9
1592472781,4,0
1592476382,3,2
1592479982,9,4
1592483581,9,7
1592487181,2,0
1592490782,6,3
1592494382,3,2
1592497982,8,6
1592501581,8,6
1592505182,7,4
1592508781,4,8
1592512382,4,8
1592515981,3,0
1592519582,3,2
1592523182,5,5
1592526782,3,2
1592530381,5,3
1592533982,4,4
1592537581,5,4
1592541181,2,4
1592544781,5,6
1592548381,5,0
1592551981,5,12
1592555581,2,0
1592559181,2,9
1592562781,5,0
1592566381,5,5
1592569982,5,0
1592573582,4,14
1592577181,5,0
1592580782,3,9
1592584381,9,6
1592587981,3,6
1592591581,2,0
1592595182,7,9
1592598782,3,0
1592602382,8,1
1592605981,1,2
1592609581,5,8
1592613181,1,7
1592616782,2,7
1592620381,2,7
1592623981,3,0
1592627582,7,8
1592631181,4,0
1592634781,2,3
1592638382,3,11
1592641982,7,7
1592645581,3,0
1592649182,5,5
1592652781,3,8
1592656381,2,6
1592659981,7,0
1592663582,8,5
1592667181,4,11
1592670782,3,6
1592674382,1,4
1592677982,4,7
1592681582,4,0
1592685182,3,4
1592688781,6,4
1592692381,6,11
1592695982,4,0
1592699582,1,2
1592703181,3,3
1592706781,2,5
1592710381,7,4
1592713981,4,3
1592717581,9,2
1592721181,1,0
1592724781,1,2
1592728382,3,5
1592731981,6,4
1592735581,6,6
1592739182,9,0
1592742781,7,6
1592746381,6,4
1592749982,11,4
1592753581,4,6
1592757181,3,8
1592760781,2,1
1592764381,5,0
1592767982,3,7
1592771581,1,0
1592775182,2,5
1592778781,5,3
1592782382,3,0
1592785981,1,0
1592789581,10,3
1592793182,6,5
1592796781,4,4
1592800381,0,8
1592803981,5,0
1592807581,8,7
1592811182,3,7
1592814781,6,6
1592818382,5,10
1592821982,6,1
1592825581,4,9
1592829181,5,0
1592832781,6,12
1592839981,4,14
1592843581,1,0
1592847181,3,5
1592850781,4,3
1592854382,3,0
1592857981,4,5
1592861582,2,0
1592865181,3,3
1592868781,4,1
1592872381,5,2
1592875982,3,10
1592879582,3,0
1592883182,2,2
1592886782,3,0
1592890381,3,7
1592893982,5,10
1592897581,0,10
1592901181,5,0
1592904781,5,18
1592908381,3,0
1592911981,9,3
1592915581,10,1
1592919182,5,5
1592922782,3,3
1592926382,4,6
1592929981,7,0
1592933581,5,3
1592937181,5,11
1592940781,7,4
1592944381,6,1
1592947981,3,0
1592951581,4,5
1592955181,6,5
1592958781,3,3
1592962382,2,0
1592965982,3,5
1592969581,1,3
1592973182,5,0
1592976781,3,10
1592980382,5,0
1592983982,4,0
1592987582,4,5
1592991182,3,0
1592994781,1,4
1592998381,2,14
1593001982,7,0
1593005581,3,7
1593009181,3,2
1593012782,3,0
1593016381,5,16
1593019981,4,0
1593023581,3,4
1593027181,4,5
1593030782,3,3
1593034382,2,6
1593037981,6,2
1593041582,1,0
1593045181,4,0
1593048782,5,4
1593052382,10,0
1593055981,1,7
1593059581,7,0
1593063181,3,12
1593066782,6,4
1593070382,7,0
1593073981,6,10
1593077581,6,0
1593081181,2,6
1593084781,4,4
1593088381,4,4
1593091982,7,5
1593095581,5,3
1593099181,8,15
1593102782,8,4
1593106382,5,2
1593109981,9,4
1593113582,7,4
1593117182,7,0
1593120781,5,1
1593124381,5,2
1593127981,5,2
1593131581,4,3
1593135181,4,0
1593138782,5,10
1593142381,8,0
1593145981,9,9
1593149581,4,0
1593153182,3,2
1593156781,4,6
1593160382,6,5
1593163981,3,9
1593167581,4,7
1593171182,4,0
1593174782,1,12
1593178382,4,8
1593181981,1,6
1593185581,1,0
1593189182,2,11
1593192781,3,9
1593196382,5,4
1593199981,3,5
1593203581,4,9
1593207181,10,10
1593210782,4,5
1593214381,4,8
1593217982,3,0
1593221581,5,11
1593225182,3,0
1593228781,3,14
1593232381,3,0
1593235982,5,8
1593239582,8,6
1593243182,6,13
1593246782,3,0
1593250381,2,2
1593253981,5,2
1593257581,2,4
1593261181,2,4
1593264782,7,0
1593268381,3,0
1593271982,3,4
1593275581,2,2
1593279181,5,2
1593282781,6,5
1593286382,6,8
1593289981,4,3
1593293581,4,3
1593297181,2,0
1593300781,2,2
1593304381,3,3
1593307982,6,0
1593311581,3,2
1593315181,2,10
1593318781,1,0
1593322382,5,9
1593325982,2,5
1593329581,2,4
1593333182,1,3
1593336782,3,0
1593340381,3,4
1593343981,4,10
1593347582,6,0
1593351182,7,3
1593354781,8,2
1593358382,3,6
1593361982,4,0
1593365582,7,4
1593369182,5,5
1593372781,6,7
1593376381,5,9
1593379982,3,3
1593383582,6,8
1593387181,3,0
1593390781,1,0
1593394381,4,10
1593397981,3,6
1593401581,2,3
1593405181,3,0
1593408782,3,6
1593415982,7,2
1593419581,8,7
1593423181,4,3
1593426781,9,5
1593430381,8,0
1593433982,4,5
1593437582,2,7
1593441181,1,4
1593444782,4,0
1593448381,6,3
1593451981,8,5
1593455581,3,0
1593459181,8,6
1593462781,6,7
1593466382,3,7
1593469981,4,0
1593473582,4,2
1593477181,1,8
1593480781,3,0
1593484381,1,6
1593487982,4,0
1593491581,5,6
1593495182,5,5
1593498781,6,0
1593502385,8,6
1593505982,3,12
1593509581,4,4
1593513181,1,0
1593516781,4,7
1593520382,4,9
1593523982,7,0
1593527582,6,5
1593531181,4,10
1593534781,6,0
1593538381,2,9
1593541981,6,2
1593545582,2,12
1593549181,1,3
1593552782,4,0
1593556381,4,5
1593559981,3,0
1593563581,3,8
1593567181,3,4
1593570782,4,0
1593574381,3,10
1593577981,2,0
1593581581,3,7
1593585182,1,4
1593588782,5,4
1593592381,2,0
1593595981,0,4
1593599581,10,3
1593603182,10,5
1593606782,4,8
1593610382,5,6
1593613981,4,0
1593617582,4,4
1593621181,9,9
1593624781,6,2
1593628381,1,4
1593631982,3,0
1593635581,7,0
1593639182,3,5
1593642781,1,6
1593646382,5,7
1593649981,5,4
1593653581,2,0
1593657181,1,2
1593660782,5,14
1593664382,2,2
1593667981,4,0
1593671582,4,0
1593675181,4,7
1593678782,2,3
1593682381,2,1
1593685981,3,15
1593689582,5,3
1593693182,3,0
1593696781,4,2
1593700382,3,10
1593703981,4,0
1593707581,5,12
1593711182,5,0
1593714782,3,4
1593718381,6,6
1593721981,5,5
1593725581,3,8
1593729182,1,5
1593732782,2,0
1593736382,3,3
1593739981,7,7
1593743581,7,0
1593747182,1,5
1593750781,5,0
1593754381,4,6
1593757981,5,0
1593761582,2,2
1593765182,5,5
1593768781,2,3
1593772382,0,2
1593775981,6,5
1593779581,6,8
1593783181,3,0
1593786782,7,1
1593790382,3,8
1593793982,4,0
1593797581,2,12
1593801181,6,6
1593804781,4,0
1593808382,5,6
1593811981,8,0
1593815581,5,1
1593819182,5,6
1593822781,6,0
1593826381,2,9
1593829982,6,2
1593833581,6,0
1593837181,3,15
1593840782,6,3
1593844381,4,0
1593847982,5,5
1593851581,6,5
1593855181,4,1
1593858781,6,0
1593862381,4,4
1593865982,1,9
1593869582,2,11
1593873181,3,0
1593876782,2,6
1593880381,6,12
1593883982,4,0
1593887581,8,6
1593891181,2,2
1593894781,2,0
1593898381,6,15
1593901982,3,0
1593905582,7,10
1593909182,7,0
1593912781,2,0
1593916381,2,6
1593919981,5,5
1593923581,2,3
1593927181,2,3
1593930781,2,1
1593934381,2,10
1593937981,4,0
1593941581,3,6
1593945182,5,0
1593948781,4,7
1593952381,2,3
1593955982,6,3
1593959582,4,0
1593963182,4,4
1593966781,5,7
1593970382,9,5
1593973981,4,11
1593977581,3,0
1593981182,3,4
1593984781,3,5
1593988381,4,4
1593991982,3,0
1593995581,7,3
1593999181,2,6
1594002782,6,7
1594006381,2,0
1594009981,5,2
1594013581,3,3
1594017181,4,1
1594020782,4,5
1594024382,4,7
1594027981,4,7
1594031581,5,5
1594035181,3,6
1594038782,0,2
1594042381,2,6
1594045982,3,4
1594049582,6,0
1594053181,7,7
1594056781,4,0
1594060381,3,4
1594063982,4,12
1594067582,2,5
1594071181,2,5
1594074782,5,0
1594078381,2,8
1594081982,4,5
1594085582,5,9
1594089181,4,0
1594092782,2,6
1594096381,8,0
1594099981,4,5
1594103582,5,5
1594107182,4,4
1594110781,2,0
1594114381,2,6
1594117981,2,5
1594121581,5,4
